time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/std,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_fraction
32768,60,541,1,,,,,,,,,,,
65536,110,592,2,-0.0030215978622436523,0.9914783239364624,10,0.0001,0.004061428,0.2,-5.655990147590638,142.9449346870184,23.75658416748047,-0.0025012935118866155,0.0235198974609375
98304,160,612,3,0.3439216613769531,0.9908974170684814,20,0.0001,0.0035767737,0.2,-5.640631718188525,61.69069402217865,22.360065460205078,-0.001502109782813932,0.0125640869140625
131072,211,619,4,0.27084171772003174,0.9903269410133362,30,0.0001,0.003967392,0.2,-5.6379658348858355,184.1757028400898,420.2975769042969,-0.0018349321861023781,0.0141510009765625
163840,261,626,5,0.30838602781295776,0.988176167011261,40,0.0001,0.0051159672,0.2,-5.632526753097773,167.44722032845021,30.47522735595703,-0.003046259013353847,0.0299468994140625
196608,311,630,6,0.012440145015716553,0.9833619594573975,50,0.0001,0.004864998,0.2,-5.619463165849448,19014.526734292507,47537.5234375,-0.0009919677209836663,0.0194305419921875
229376,362,632,7,0.7231282293796539,0.9830345511436462,60,0.0001,0.0057703536,0.2,-5.607103028148413,43.66389604210853,25.672351837158203,-0.004191809497206123,0.045025634765625
262144,414,632,8,0.021750986576080322,0.9791977405548096,70,0.0001,0.00502936,0.2,-5.599610470235348,15271.698563367128,13392.71484375,-0.001644606400077464,0.0249755859375
294912,464,635,9,0.7439862191677094,0.9806027412414551,80,0.0001,0.0050390125,0.2,-5.594727128744125,70.5244171321392,32.18897247314453,-0.0032571072446444306,0.03265380859375
327680,515,635,10,0.7159844636917114,0.981804370880127,90,0.0001,0.005823466,0.2,-5.599822656065226,107.24090262055397,45.652099609375,-0.0032231625093118053,0.0389862060546875
360448,567,635,11,0.04015606641769409,0.9811224937438965,100,0.0001,0.0049688956,0.2,-5.601236712932587,11675.489253878593,92.66636657714844,-0.0024410032310697716,0.0296356201171875
393216,621,632,12,0.03899103403091431,0.9818013310432434,110,0.0001,0.003523447,0.2,-5.60073809325695,16250.77567281723,11892.599609375,-0.0015302158459235215,0.014111328125
425984,676,629,13,0.04408061504364014,0.9822672605514526,120,0.0001,0.0046045166,0.2,-5.603480274230241,23550.727236795425,72.04920196533203,-0.001503404844152101,0.0158416748046875
458752,731,627,14,0.05324047803878784,0.9804401397705078,130,0.0001,0.0041342927,0.2,-5.600690228492022,22587.381600761415,20310.181640625,-0.001728532582274056,0.0153106689453125
491520,786,624,15,0.05365949869155884,0.9771149158477783,140,0.0001,0.0041288626,0.2,-5.590071385353804,23027.245321941376,336.4244079589844,-0.0018644356845470612,0.0131011962890625
524288,841,622,16,0.043628036975860596,0.9761462211608887,150,0.0001,0.0037349884,0.2,-5.580838995426893,41947.83669166565,23602.6015625,-0.0014175020292896078,0.0152130126953125
557056,896,621,17,0.08731693029403687,0.9696130752563477,160,0.0001,0.004807481,0.2,-5.5655062541365625,16347.983755064011,234.3478546142578,-0.002379611924334313,0.0278839111328125
589824,949,620,18,0.11811482906341553,0.9683578610420227,170,0.0001,0.0043902006,0.2,-5.549431702494621,12795.60898885727,240.5724334716797,-0.0022625136258284328,0.0249114990234375
622592,1004,619,19,0.08394163846969604,0.9662688374519348,180,0.0001,0.005378516,0.2,-5.542144832015038,27905.94313249588,27782.845703125,-0.0021157058254175354,0.0318817138671875
655360,1060,618,20,0.06201046705245972,0.963881254196167,190,0.0001,0.0040085954,0.2,-5.5344636715948585,52011.79348788261,58551.40234375,-0.0022184499619470445,0.0196563720703125
688128,1115,617,21,0.07299983501434326,0.9610093235969543,200,0.0001,0.0042130835,0.2,-5.5234608463943005,47568.74501476288,44761.8828125,-0.0021763191991340134,0.024200439453125
720896,1170,615,22,0.058146536350250244,0.9581001996994019,210,0.0001,0.0049448847,0.2,-5.511634069681167,84197.57410812378,27263.64453125,-0.002773919011087855,0.0272308349609375
753664,1225,614,23,0.052411794662475586,0.9556979537010193,220,0.0001,0.003782219,0.2,-5.499786288291216,123304.67732315064,54112.0703125,-0.0020806973003345774,0.015533447265625
786432,1281,613,24,0.05674797296524048,0.9508817195892334,230,0.0001,0.0051066275,0.2,-5.48436087295413,124460.27621879577,25751.45703125,-0.002511585591491894,0.0305145263671875
819200,1336,612,25,0.0855599045753479,0.9434447288513184,240,0.0001,0.004961149,0.2,-5.458286495506764,74308.07600173951,51318.66796875,-0.0024256638087535977,0.0273223876953125
851968,1391,612,26,0.07454782724380493,0.9403853416442871,250,0.0001,0.00544714,0.2,-5.436313949525356,103832.1095664978,34671.9296875,-0.00280066991908825,0.033013916015625
884736,1447,611,27,0.05744040012359619,0.9412226676940918,260,0.0001,0.0041650767,0.2,-5.432509282231331,185716.86673812865,85542.859375,-0.0020830486162594754,0.020660400390625
917504,1504,609,28,0.06411761045455933,0.9397690296173096,270,0.0001,0.0045715547,0.2,-5.430543327331543,223802.99201660155,154718.8125,-0.0023338909391895867,0.0254302978515625
950272,1560,609,29,0.062763512134552,0.9389004707336426,280,0.0001,0.0036603673,0.2,-5.426040674746036,221599.8058288574,84396.578125,-0.0019925999295082875,0.0187103271484375
983040,1616,608,30,0.08038103580474854,0.9393187165260315,290,0.0001,0.004668987,0.2,-5.424733687192202,127728.70274276733,67335.9140625,-0.0023360048598988215,0.0261749267578125
1015808,1673,607,31,0.07230854034423828,0.9373754262924194,300,0.0001,0.004109695,0.2,-5.422542518377304,192737.20213928222,89648.734375,-0.002565857117224368,0.0269866943359375
