rew_vec_envs,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/std,train/clip_range,train/value_loss,train/approx_kl,train/loss,train/entropy_loss,train/explained_variance
0.5521245,,,,,,,,,,,,,,,
0.4892392,,,,,,,,,,,,,,,
,16384,1,412,39,,,,,,,,,,,
0.64848703,,,,,10,-0.0029546537380156224,0.0001,0.03148193359375,0.9984309673309326,0.2,62.90043503195047,0.0042875707,10.474942207336426,-5.673399569094181,0.007550656795501709
0.53298676,,,,,,,,,,,,,,,
,32768,2,447,73,,,,,,,,,,,
0.5378915,,,,,20,-0.0022504751779706565,0.0001,0.01722412109375,0.9966075420379639,0.2,19.922231376171112,0.0040291054,7.196499347686768,-5.667560082674027,0.11844950914382935
0.52697194,,,,,,,,,,,,,,,
,49152,3,459,106,,,,,,,,,,,
0.5179028,,,,,30,-0.0025057945433218263,0.0001,0.012750244140625,0.9980979561805725,0.2,26.535533279180527,0.0043825456,11.73996639251709,-5.664674216508866,0.17496436834335327
0.46624714,,,,,,,,,,,,,,,
,65536,4,465,140,,,,,,,,,,,
0.60127366,,,,,40,-0.0023838600553062863,0.0001,0.014141845703125,0.9966505169868469,0.2,30.680630564689636,0.00395043,15.886747360229492,-5.666189460456371,0.18776220083236694
0.57677937,,,,,,,,,,,,,,,
,81920,5,469,174,,,,,,,,,,,
0.6006484,,,,,50,-0.0028926368468091823,0.0001,0.015679931640625,0.9952206611633301,0.2,36.2434061050415,0.003890084,15.14944076538086,-5.659988427162171,0.18308544158935547
0.5023721,,,,,,,,,,,,,,,
,98304,6,471,208,,,,,,,,,,,
0.6151149,,,,,60,-0.004232175933429972,0.0001,0.02130126953125,0.9920660853385925,0.2,41.43062826991081,0.004499873,22.444604873657227,-5.650322738289833,0.18474233150482178
0.6026608,,,,,,,,,,,,,,,
,114688,7,471,243,,,,,,,,,,,
0.48674035,,,,,70,-0.0024856721163814656,0.0001,0.009063720703125,0.9926552176475525,0.2,62.09161033630371,0.0035233558,22.115739822387695,-5.645077784359455,0.2024015188217163
0.5434502,,,,,,,,,,,,,,,
,131072,8,469,279,,,,,,,,,,,
0.64053464,,,,,80,-0.003976416611112654,0.0001,0.022576904296875,0.9925971031188965,0.2,51.00832158327103,0.0042924695,25.657211303710938,-5.646425932645798,0.20260459184646606
0.5858556,,,,,,,,,,,,,,,
,147456,9,467,315,,,,,,,,,,,
