rew_vec_envs,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/loss,train/std,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/clip_range
1.0993004,,,,,,,,,,,,,,,
1.5377692,,,,,,,,,,,,,,,
,1,52,11173888,620,,,,,,,,,,,
1.3269081,,,,,4130,171.09469604492188,0.6530132293701172,-0.004765621286787791,250.8887444257736,0.008081388,0.0001,0.5830599665641785,-3.9554002188146113,0.0698944091796875,0.2
0.9062275,,,,,,,,,,,,,,,
,2,98,11206656,664,,,,,,,,,,,
1.1103809,,,,,4140,145.3822784423828,0.6528534889221191,-0.003966539148314041,592.1763426780701,0.0052890177,0.0001,0.3948410153388977,-3.956732012704015,0.039459228515625,0.2
1.1605184,,,,,,,,,,,,,,,
,3,145,11239424,674,,,,,,,,,,,
1.2484329,,,,,4150,72.275634765625,0.6524535417556763,-0.00495310875994619,299.9885368704796,0.008777054,0.0001,0.6020013689994812,-3.954208057373762,0.071002197265625,0.2
1.2435739,,,,,,,,,,,,,,,
,4,193,11272192,676,,,,,,,,,,,
1.2678828,,,,,4160,158.27297973632812,0.6497364044189453,-0.005261953611989156,297.9941641926765,0.006331238,0.0001,0.6488229632377625,-3.945746240392327,0.053369140625,0.2
1.2879324,,,,,,,,,,,,,,,
,5,241,11304960,677,,,,,,,,,,,
1.1935122,,,,,4170,150.8096466064453,0.6482820510864258,-0.004397102069560788,451.7314450383186,0.007488858,0.0001,0.45190101861953735,-3.9314986504614353,0.057904052734375,0.2
1.1504557,,,,,,,,,,,,,,,
,6,289,11337728,678,,,,,,,,,,,
1.2412807,,,,,4180,48.53526306152344,0.6469395160675049,-0.004493201788136503,212.99000754356385,0.0069711604,0.0001,0.4742245078086853,-3.92178736589849,0.062164306640625,0.2
1.2028571,,,,,,,,,,,,,,,
,7,337,11370496,679,,,,,,,,,,,
1.1738994,,,,,4190,50.90285873413086,0.6473153829574585,-0.005902632969446131,240.72719334363939,0.009620147,0.0001,0.5509960651397705,-3.9200524028390644,0.086761474609375,0.2
1.206342,,,,,,,,,,,,,,,
,8,385,11403264,679,,,,,,,,,,,
1.118866,,,,,4200,101.82987213134766,0.6448665261268616,-0.004493676590573159,189.59237844944,0.009082776,0.0001,0.6749900579452515,-3.909261042997241,0.0891265869140625,0.2
1.3693981,,,,,,,,,,,,,,,
,9,434,11436032,679,,,,,,,,,,,
1.1476853,,,,,4210,82.73761749267578,0.6442249417304993,-0.005120155910844915,199.91999076008796,0.007981624,0.0001,0.6936963498592377,-3.9027030263096094,0.0806884765625,0.2
1.193172,,,,,,,,,,,,,,,
,10,482,11468800,679,,,,,,,,,,,
1.2464838,,,,,4220,53.94086456298828,0.6430239677429199,-0.0038146632305142703,406.62269284725187,0.006430466,0.0001,0.5784357786178589,-3.8972597394138573,0.04603271484375,0.2
1.2355196,,,,,,,,,,,,,,,
,11,530,11501568,679,,,,,,,,,,,
1.2560543,,,,,4230,58.06534957885742,0.6426416635513306,-0.0053909699530777285,283.5206494808197,0.007700466,0.0001,0.5164194405078888,-3.8925280731171368,0.074200439453125,0.2
1.349174,,,,,,,,,,,,,,,
,12,577,11534336,680,,,,,,,,,,,
1.1372566,,,,,4240,80.90229797363281,0.6411727666854858,-0.005522566133004147,180.42646111249923,0.00962722,0.0001,0.6616847217082977,-3.8853282030671834,0.09893798828125,0.2
1.1210006,,,,,,,,,,,,,,,
,13,626,11567104,680,,,,,,,,,,,
1.3018088,,,,,4250,113.09851837158203,0.6415742635726929,-0.003446398479900381,362.3925255894661,0.0056463988,0.0001,0.39805322885513306,-3.8839593555778267,0.0585784912109375,0.2
1.226114,,,,,,,,,,,,,,,
,14,674,11599872,680,,,,,,,,,,,
1.05364,,,,,4260,137.26416015625,0.6408294439315796,-0.004172187092990498,342.3188399195671,0.006235541,0.0001,0.6207719445228577,-3.883011293038726,0.0589080810546875,0.2
1.2357199,,,,,,,,,,,,,,,
,15,723,11632640,679,,,,,,,,,,,
