rew_vec_envs,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/entropy_loss,train/approx_kl,train/std,train/learning_rate,train/n_updates
-61.467995,,,,,,,,,,,,,,,
-51.812958,,,,,,,,,,,,,,,
,1,2064384,44,733,,,,,,,,,,,
-58.147934,,,,,5.960464477539063e-08,-0.0007375997221970465,587925.4806640625,0.2,0.0002960205078125,294185.40625,-5.673805923759938,0.0013811351,0.9994671940803528,0.0001,630
-52.32366,,,,,,,,,,,,,,,
,2,2097152,83,781,,,,,,,,,,,
-56.62445,,,,,4.76837158203125e-07,-0.0008547017248929478,606345.742578125,0.2,0.0011260986328125,298410.0625,-5.67389167547226,0.0017898717,0.9995966553688049,0.0001,640
-44.966064,,,,,,,,,,,,,,,
,3,2129920,112,873,,,,,,,,,,,
-54.814945,,,,,-1.1920928955078125e-07,-0.0003809824356721947,633931.4544921875,0.2,3.0517578125e-06,326598.25,-5.674867235124111,0.00065198407,0.9999839663505554,0.0001,650
-68.086174,,,,,,,,,,,,,,,
,4,2162688,141,926,,,,,,,,,,,
-57.442703,,,,,1.1920928955078125e-07,-0.0006996745945798466,526720.7491210938,0.2,0.0002899169921875,263390.3125,-5.673930586874485,0.0012499026,0.9990744590759277,0.0001,660
-54.864304,,,,,,,,,,,,,,,
,5,2195456,170,962,,,,,,,,,,,
-60.865734,,,,,4.172325134277344e-07,-0.0006841531205282081,665353.588671875,0.2,0.0005645751953125,328554.53125,-5.671561346948147,0.001573182,0.9988514184951782,0.0001,670
-51.17444,,,,,,,,,,,,,,,
,6,2228224,199,987,,,,,,,,,,,
-53.5301,,,,,2.980232238769531e-07,-0.000569230986002367,603326.3783203125,0.2,5.4931640625e-05,292865.46875,-5.671326911449432,0.0010772401,0.998965859413147,0.0001,680
-52.755356,,,,,,,,,,,,,,,
,7,2260992,228,1005,,,,,,,,,,,
-59.13942,,,,,4.112720489501953e-06,-0.0005450033404486021,598088.1873046875,0.2,0.0002288818359375,296381.6875,-5.670858801901341,0.0013836094,0.9985874891281128,0.0001,690
-66.71657,,,,,,,,,,,,,,,
,8,2293760,257,1018,,,,,,,,,,,
-56.55292,,,,,3.0994415283203125e-06,-0.001355212033377029,494927.0450195313,0.2,0.005792236328125,238789.234375,-5.669054324924946,0.0030973463,0.9980165958404541,0.0001,700
-44.455215,,,,,,,,,,,,,,,
,9,2326528,286,1030,,,,,,,,,,,
-56.71488,,,,,1.7881393432617188e-07,-0.0007921344546048204,562750.3337890625,0.2,0.0004974365234375,269715.40625,-5.667732512950897,0.0018280359,0.9979750514030457,0.0001,710
-47.669853,,,,,,,,,,,,,,,
,10,2359296,315,1039,,,,,,,,,,,
