rew_vec_envs,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/loss,train/clip_range,train/approx_kl,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance
2.0396156,,,,,,,,,,,,,,,
2.18969,,,,,,,,,,,,,,,
,749,1,43,3080192,,,,,,,,,,,
6.9925003,,,,,8989.7978515625,0.2,0.002359214,0.930348813533783,16236.043067932129,0.0033233642578125,940,0.0001,-5.387646068632603,-0.0009774208836461184,0.7843852341175079
3.7785225,,,,,,,,,,,,,,,
,868,2,75,3112960,,,,,,,,,,,
4.1184893,,,,,11563.5380859375,0.2,0.0028015582,0.9302408695220947,29930.252139282227,0.0050445556640625,950,0.0001,-5.386807198822498,-0.0013162749899493064,0.7153924107551575
3.1556888,,,,,,,,,,,,,,,
,916,3,107,3145728,,,,,,,,,,,
2.5917873,,,,,18695.720703125,0.2,0.0014219466,0.9305983781814575,36899.915228271486,0.0003204345703125,960,0.0001,-5.3872292503714565,-0.0007446024617820512,0.7079517543315887
3.7453213,,,,,,,,,,,,,,,
,943,4,138,3178496,,,,,,,,,,,
5.114172,,,,,15615.119140625,0.2,0.0012850476,0.9306211471557617,33284.95838317871,0.000457763671875,970,0.0001,-5.388044413924217,-0.0004899620784271974,0.6997756063938141
5.1611223,,,,,,,,,,,,,,,
,957,5,171,3211264,,,,,,,,,,,
1.2786163,,,,,18129.59375,0.2,0.0010564087,0.9302976131439209,34749.13449401855,0.0001129150390625,980,0.0001,-5.387541280686856,-0.000661253003636375,0.7179531157016754
4.1230955,,,,,,,,,,,,,,,
,969,6,202,3244032,,,,,,,,,,,
2.9730089,,,,,15842.001953125,0.2,0.002183046,0.9294720888137817,32458.039840698242,0.0031097412109375,990,0.0001,-5.385207425057888,-0.0010916495753917842,0.7006149291992188
2.0039988,,,,,,,,,,,,,,,
,975,7,235,3276800,,,,,,,,,,,
2.9626107,,,,,29098.8359375,0.2,0.0021329415,0.9290950298309326,47176.20936279297,0.002374267578125,1000,0.0001,-5.382608313858509,-0.0013075965478492435,0.690466046333313
2.2949977,,,,,,,,,,,,,,,
,981,8,267,3309568,,,,,,,,,,,
3.2504072,,,,,18804.189453125,0.2,0.0020030914,0.929161787033081,42853.99109802246,0.0013214111328125,1010,0.0001,-5.381634467840195,-0.0010452937371155714,0.7147812247276306
4.1715174,,,,,,,,,,,,,,,
,981,9,300,3342336,,,,,,,,,,,
2.2900343,,,,,8236.5810546875,0.2,0.0026751324,0.9289767146110535,19424.800156402587,0.00423583984375,1020,0.0001,-5.381611730158329,-0.0010995248179824558,0.7613147348165512
4.1157303,,,,,,,,,,,,,,,
,987,10,331,3375104,,,,,,,,,,,
2.2234874,,,,,15983.44140625,0.2,0.0028706277,0.928854763507843,24509.2444519043,0.0030517578125,1030,0.0001,-5.380797244608402,-0.0011737701595848193,0.7582512050867081
3.6414173,,,,,,,,,,,,,,,
,991,11,363,3407872,,,,,,,,,,,
2.3649654,,,,,5723.40966796875,0.2,0.0014405241,0.9285813570022583,26601.754278564455,0.0003204345703125,1040,0.0001,-5.379914422333241,-0.0008414467512920965,0.7868873178958893
2.2912464,,,,,,,,,,,,,,,
,992,12,396,3440640,,,,,,,,,,,
3.7431152,,,,,14479.1845703125,0.2,0.001191103,0.9285330176353455,29217.017651367187,0.0005462646484375,1050,0.0001,-5.379266059398651,-0.0006918609185959212,0.7578446567058563
3.685543,,,,,,,,,,,,,,,
,995,13,427,3473408,,,,,,,,,,,
3.7172394,,,,,20426.71484375,0.2,0.00073799584,0.9284670352935791,37799.86667175293,9.765625e-05,1060,0.0001,-5.3790078029036525,-0.0004785111188539304,0.7508168816566467
4.84614,,,,,,,,,,,,,,,
,999,14,459,3506176,,,,,,,,,,,
2.9438577,,,,,11907.001953125,0.2,0.0017433416,0.9283729791641235,29278.813739013673,0.0008758544921875,1070,0.0001,-5.378637157380581,-0.0009007044551253785,0.7700050622224808
2.0072365,,,,,,,,,,,,,,,
,1000,15,491,3538944,,,,,,,,,,,
2.876884,,,,,3748.0908203125,0.2,0.0023389584,0.9278764724731445,14888.394897460938,0.0021087646484375,1080,0.0001,-5.37758756428957,-0.0012702095395070502,0.8281205743551254
3.092474,,,,,,,,,,,,,,,
,1002,16,523,3571712,,,,,,,,,,,
2.4830427,,,,,27627.404296875,0.2,0.0017796457,0.9277592897415161,40658.39369812012,0.0007598876953125,1090,0.0001,-5.3759779468178746,-0.0009317797394032823,0.7274492383003235
3.0460968,,,,,,,,,,,,,,,
,1003,17,555,3604480,,,,,,,,,,,
2.1638763,,,,,12059.2001953125,0.2,0.0017315259,0.9269737005233765,27994.682264709474,0.0007568359375,1100,0.0001,-5.37434962540865,-0.0008513565953762736,0.7822436094284058
2.9623022,,,,,,,,,,,,,,,
,1004,18,587,3637248,,,,,,,,,,,
2.4926748,,,,,13516.380859375,0.2,0.0012028135,0.9268849492073059,32156.967935180663,0.0001708984375,1110,0.0001,-5.372119389474392,-0.0006895147889736108,0.7429993450641632
5.7473316,,,,,,,,,,,,,,,
,1005,19,619,3670016,,,,,,,,,,,
4.3477283,,,,,3494.130859375,0.2,0.0025741146,0.92630535364151,22328.653524780275,0.0034576416015625,1120,0.0001,-5.370923203229904,-0.0011698088968842058,0.7876226902008057
4.457164,,,,,,,,,,,,,,,
,1006,20,650,3702784,,,,,,,,,,,
3.0484586,,,,,19691.90234375,0.2,0.00082820747,0.9260047078132629,28660.101950073244,3.0517578125e-05,1130,0.0001,-5.368750570714473,-0.0006290798362897476,0.7815227508544922
3.7819834,,,,,,,,,,,,,,,
,1007,21,683,3735552,,,,,,,,,,,
3.9641416,,,,,10064.177734375,0.2,0.000838978,0.9257186055183411,32081.359463500976,0.0001220703125,1140,0.0001,-5.367517057061195,-0.0005454347872728249,0.7917660921812057
2.1158104,,,,,,,,,,,,,,,
,1008,22,714,3768320,,,,,,,,,,,
2.4364371,,,,,18207.0859375,0.2,0.0011816947,0.9253983497619629,33588.925048828125,0.0002899169921875,1150,0.0001,-5.36627808958292,-0.0006103551299020182,0.7576081305742264
3.0995774,,,,,,,,,,,,,,,
,1009,23,746,3801088,,,,,,,,,,,
2.9221158,,,,,15713.5712890625,0.2,0.0016865339,0.9254815578460693,30273.496215820312,0.0006439208984375,1160,0.0001,-5.365659274160862,-0.0007988304183527362,0.7724029868841171
6.2762275,,,,,,,,,,,,,,,
,1011,24,777,3833856,,,,,,,,,,,
1.8333218,,,,,5510.505859375,0.2,0.0015425034,0.9255578517913818,18629.471325683593,0.00040283203125,1170,0.0001,-5.365991459786892,-0.0007762356923194602,0.813954770565033
4.470911,,,,,,,,,,,,,,,
,1011,25,810,3866624,,,,,,,,,,,
2.599102,,,,,9656.98046875,0.2,0.0016083803,0.925510048866272,34158.35069580078,0.001239013671875,1180,0.0001,-5.36614748686552,-0.0009735609230119735,0.7568236291408539
2.727124,,,,,,,,,,,,,,,
,1011,26,842,3899392,,,,,,,,,,,
4.9457307,,,,,19027.228515625,0.2,0.0013631505,0.9256277084350586,34567.936831665036,0.0006256103515625,1190,0.0001,-5.366154979169369,-0.0007496697075112024,0.7798774242401123
5.0332246,,,,,,,,,,,,,,,
,1011,27,874,3932160,,,,,,,,,,,
6.0579214,,,,,24249.392578125,0.2,0.0006605455,0.9257618188858032,36343.64485168457,2.74658203125e-05,1200,0.0001,-5.366711007058621,-0.0003888905146595789,0.7735025137662888
1.7013721,,,,,,,,,,,,,,,
,1011,28,907,3964928,,,,,,,,,,,
2.64446,,,,,23852.40234375,0.2,0.0007642956,0.9256031513214111,39290.394750976564,7.62939453125e-05,1210,0.0001,-5.366816304624081,-0.0005047644284786656,0.7740313559770584
4.8990974,,,,,,,,,,,,,,,
,1011,29,939,3997696,,,,,,,,,,,
3.426474,,,,,21948.79296875,0.2,0.00093604677,0.925406813621521,31821.226678466795,5.18798828125e-05,1220,0.0001,-5.3659906655550005,-0.0006349659324769164,0.7960757613182068
2.4745686,,,,,,,,,,,,,,,
,1010,30,972,4030464,,,,,,,,,,,
2.2126288,,,,,27177.5703125,0.2,0.0006355523,0.9250293374061584,31000.734060668947,3.0517578125e-06,1230,0.0001,-5.364845821261406,-0.0004270060238923179,0.79510797560215
3.3008835,,,,,,,,,,,,,,,
,1010,31,1004,4063232,,,,,,,,,,,
