rew_vec_envs,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/value_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_range,train/std,train/clip_fraction,train/explained_variance
0.939708,,,,,,,,,,,,,,,
1.5574884,,,,,,,,,,,,,,,
,45,9175040,1,726,,,,,,,,,,,
1.2573161,,,,,13105.257949829102,0.0001,-5.155826704204083,0.00035137145,-0.0003047750637051649,4924.759765625,2800,0.2,0.8783410787582397,0.0,0.8017950654029846
1.8810871,,,,,,,,,,,,,,,
,77,9207808,2,847,,,,,,,,,,,
0.79948336,,,,,12011.619776916505,0.0001,-5.15565677434206,0.0007946502,-0.0005498136117239483,5413.0625,2810,0.2,0.8783556222915649,9.1552734375e-05,0.7975639551877975
2.2947762,,,,,,,,,,,,,,,
,109,9240576,3,897,,,,,,,,,,,
1.7128701,,,,,11122.116329193115,0.0001,-5.155720119178295,0.0006990341,-0.0005277386611851398,6006.470703125,2820,0.2,0.8783454298973083,5.18798828125e-05,0.8240506798028946
1.1197498,,,,,,,,,,,,,,,
,140,9273344,4,930,,,,,,,,,,,
1.8014128,,,,,11637.225728607178,0.0001,-5.155927303433418,0.00047579312,-0.00039436689694412054,3230.52197265625,2830,0.2,0.8785138130187988,6.103515625e-06,0.8080321997404099
1.121165,,,,,,,,,,,,,,,
,172,9306112,5,947,,,,,,,,,,,
1.2954972,,,,,9693.121549987793,0.0001,-5.156152515113353,0.0006039235,-0.0004087720131792594,1818.84228515625,2840,0.2,0.8783689737319946,1.220703125e-05,0.8142525404691696
1.8037491,,,,,,,,,,,,,,,
,205,9338880,6,958,,,,,,,,,,,
1.2499887,,,,,9342.327775192261,0.0001,-5.15560180991888,0.0013234067,-0.0007159349788707914,3876.354736328125,2850,0.2,0.8783247470855713,0.000787353515625,0.8350095748901367
1.9140023,,,,,,,,,,,,,,,
,237,9371648,7,966,,,,,,,,,,,
1.5985003,,,,,14158.343061828613,0.0001,-5.1552759692072865,0.0010483759,-0.0007667037796636577,2624.9501953125,2860,0.2,0.8782163858413696,3.0517578125e-05,0.7519695162773132
1.3631496,,,,,,,,,,,,,,,
,269,9404416,8,973,,,,,,,,,,,
1.7109679,,,,,12201.631460571289,0.0001,-5.154874412715435,0.0003497686,-0.00036940328682248945,3294.861328125,2870,0.2,0.8781390190124512,3.0517578125e-06,0.8321276009082794
1.6945161,,,,,,,,,,,,,,,
,301,9437184,9,978,,,,,,,,,,,
1.8499656,,,,,13864.300505065918,0.0001,-5.15471900254488,0.0014047504,-0.000775001277361298,2209.631103515625,2880,0.2,0.8781975507736206,0.000555419921875,0.8113267570734024
1.5986362,,,,,,,,,,,,,,,
,333,9469952,10,981,,,,,,,,,,,
1.13141,,,,,10652.311366271973,0.0001,-5.15448495298624,0.00041047172,-0.0003993716170953121,2219.822265625,2890,0.2,0.8779577612876892,0.0,0.8296653926372528
1.9941639,,,,,,,,,,,,,,,
,366,9502720,11,984,,,,,,,,,,,
1.0383855,,,,,18283.07255706787,0.0001,-5.153768116235733,0.00019810961,-0.00025485295736871194,3222.347412109375,2900,0.2,0.8779239058494568,0.0,0.8084030747413635
3.0519269,,,,,,,,,,,,,,,
,398,9535488,12,987,,,,,,,,,,,
2.065259,,,,,11562.604565429687,0.0001,-5.153490208089352,0.00037170443,-0.00038232444967434276,1668.2200927734375,2910,0.2,0.8778131008148193,0.0,0.7961197942495346
2.0214443,,,,,,,,,,,,,,,
,430,9568256,13,990,,,,,,,,,,,
2.2102315,,,,,17368.20750732422,0.0001,-5.153035280108452,0.0005542174,-0.0004730513333925046,5504.3466796875,2920,0.2,0.8777122497558594,6.7138671875e-05,0.7825277298688889
1.5293908,,,,,,,,,,,,,,,
,462,9601024,14,992,,,,,,,,,,,
1.4360735,,,,,11390.630346679687,0.0001,-5.152914021909237,0.0009865878,-0.0005899596104427474,4831.59326171875,2930,0.2,0.877769947052002,0.0001007080078125,0.805613562464714
1.4789627,,,,,,,,,,,,,,,
,494,9633792,15,994,,,,,,,,,,,
0.83458376,,,,,13694.829080963134,0.0001,-5.153244921565056,0.0005257082,-0.00043030548040405846,4476.03125,2940,0.2,0.8778406381607056,9.1552734375e-06,0.8012018650770187
1.3795776,,,,,,,,,,,,,,,
,526,9666560,16,995,,,,,,,,,,,
1.1047229,,,,,12659.764075469971,0.0001,-5.153492422401905,0.00041010458,-0.0003715146525792079,2786.19970703125,2950,0.2,0.8778873085975647,6.103515625e-06,0.7903560847043991
3.1030388,,,,,,,,,,,,,,,
,558,9699328,17,997,,,,,,,,,,,
127.698494,,,,,10303.063568878173,0.0001,-5.153392858803272,0.0016991128,-0.0008030579483602196,2898.8515625,2960,0.2,0.877772331237793,0.001080322265625,0.7914819121360779
1.1433997,,,,,,,,,,,,,,,
,590,9732096,18,998,,,,,,,,,,,
2.1179361,,,,,11786.10418624878,0.0001,-5.153188888728619,0.0011230349,-0.000631452644665842,3404.2470703125,2970,0.2,0.8778640031814575,0.0001312255859375,0.8172826617956161
1.3485761,,,,,,,,,,,,,,,
,623,9764864,19,998,,,,,,,,,,,
1.4777219,,,,,10702.224479675293,0.0001,-5.153361390531063,0.00063320703,-0.00043794819212052973,2553.944091796875,2980,0.2,0.8778045177459717,3.96728515625e-05,0.819468080997467
1.5193336,,,,,,,,,,,,,,,
,655,9797632,20,999,,,,,,,,,,,
63.507744,,,,,15055.895713806152,0.0001,-5.152971456944942,0.00044128162,-0.00037963064532959835,3104.00390625,2990,0.2,0.8777186870574951,0.0,0.7882100939750671
1.3759329,,,,,,,,,,,,,,,
,688,9830400,21,1000,,,,,,,,,,,
2.0665462,,,,,11122.66505126953,0.0001,-5.15252525061369,0.00071941654,-0.0005065862322226166,4150.79736328125,3000,0.2,0.877601146697998,4.8828125e-05,0.8430478274822235
2.1408305,,,,,,,,,,,,,,,
,720,9863168,22,1000,,,,,,,,,,,
1.2246165,,,,,12879.724269866943,0.0001,-5.152068300545215,0.00058892206,-0.0005270763751468622,3356.87744140625,3010,0.2,0.8774973750114441,3.0517578125e-06,0.8332045525312424
1.2285448,,,,,,,,,,,,,,,
,752,9895936,23,1001,,,,,,,,,,,
1.8721101,,,,,12538.583628845216,0.0001,-5.1510751217603685,0.0008906075,-0.0005302149860654026,6312.85107421875,3020,0.2,0.8771352171897888,8.23974609375e-05,0.831207349896431
1.0285387,,,,,,,,,,,,,,,
,785,9928704,24,1001,,,,,,,,,,,
0.9815445,,,,,16262.745278930664,0.0001,-5.149532924592495,0.00022762726,-0.0003147700677800458,3060.37939453125,3030,0.2,0.8768196702003479,0.0,0.7921080589294434
1.4716909,,,,,,,,,,,,,,,
,817,9961472,25,1002,,,,,,,,,,,
1.8578848,,,,,8523.588513946534,0.0001,-5.148818871378898,0.0013224446,-0.0006038003626599675,2222.0673828125,3040,0.2,0.8768928050994873,0.000250244140625,0.8438268005847931
1.3362229,,,,,,,,,,,,,,,
,849,9994240,26,1002,,,,,,,,,,,
1.6631907,,,,,10284.17434463501,0.0001,-5.149115204811096,0.0012760505,-0.0006258427565626334,1145.123291015625,3050,0.2,0.8769210577011108,0.0003387451171875,0.8507099747657776
1.8790526,,,,,,,,,,,,,,,
,881,10027008,27,1003,,,,,,,,,,,
2.0472364,,,,,14164.344401550294,0.0001,-5.1492881149053575,0.0005275412,-0.0004363728745374829,3117.90625,3060,0.2,0.876978874206543,3.0517578125e-06,0.8421784788370132
1.8775759,,,,,,,,,,,,,,,
,913,10059776,28,1004,,,,,,,,,,,
