rew_vec_envs,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/clip_range,train/value_loss,train/std,train/loss
0.837673,,,,,,,,,,,,,,,
0.83864343,,,,,,,,,,,,,,,
,618,1,52,10190848,,,,,,,,,,,
1.8635533,,,,,9.1552734375e-06,-0.0004673586670833174,-5.149150308966637,0.65647292137146,0.00057600305,3110,0.0001,0.2,19072.021019744872,0.8770233392715454,3510.481201171875
0.5879773,,,,,,,,,,,,,,,
,703,2,93,10223616,,,,,,,,,,,
-18.117727,,,,,3.96728515625e-05,-0.0006000957640935667,-5.149313254654407,0.5392247140407562,0.00082023244,3120,0.0001,0.2,22014.283027648926,0.8768147230148315,6502.24609375
0.9856548,,,,,,,,,,,,,,,
,742,3,132,10256384,,,,,,,,,,,
0.75833416,,,,,0.0001129150390625,-0.0005749731484684162,-5.148650947213173,0.6162722408771515,0.00093960314,3130,0.0001,0.2,26133.369963073732,0.8768070340156555,7611.9521484375
0.88093865,,,,,,,,,,,,,,,
,762,4,171,10289152,,,,,,,,,,,
0.7954024,,,,,0.0,-0.00017629086505621672,-5.1486588135361675,0.6578527688980103,0.0001384817,3140,0.0001,0.2,19025.634375,0.8768181800842285,4870.90771484375
0.7504157,,,,,,,,,,,,,,,
,773,5,211,10321920,,,,,,,,,,,
0.68243253,,,,,0.000189208984375,-0.0006745579077687581,-5.1484205827116964,0.6427648663520813,0.0012083291,3150,0.0001,0.2,17697.16693572998,0.8766422867774963,3444.51025390625
0.8256878,,,,,,,,,,,,,,,
,781,6,251,10354688,,,,,,,,,,,
0.5203844,,,,,1.220703125e-05,-0.0004989550998288905,-5.148087833821774,0.5774823129177094,0.0006790479,3160,0.0001,0.2,14427.114971160889,0.8767952919006348,2391.16064453125
1.3948182,,,,,,,,,,,,,,,
,787,7,291,10387456,,,,,,,,,,,
0.38383523,,,,,3.662109375e-05,-0.0006398192679625935,-5.14839934706688,0.5707684457302094,0.00086265884,3170,0.0001,0.2,20378.084770202637,0.8766975998878479,3558.8251953125
0.3980108,,,,,,,,,,,,,,,
,792,8,330,10420224,,,,,,,,,,,
1.863976,,,,,0.000103759765625,-0.0005047873477451503,-5.147871486842632,0.5537830889225006,0.00063974684,3180,0.0001,0.2,19259.149139404297,0.8765283823013306,3981.0732421875
0.4524832,,,,,,,,,,,,,,,
,797,9,369,10452992,,,,,,,,,,,
0.46218628,,,,,2.13623046875e-05,-0.0005814286370878108,-5.147173301875592,0.5912350714206696,0.00068290345,3190,0.0001,0.2,18106.237032318117,0.8763803243637085,3627.6474609375
0.96188265,,,,,,,,,,,,,,,
,801,10,408,10485760,,,,,,,,,,,
0.56877184,,,,,0.0,-0.0003098582485108636,-5.146927461028099,0.5720090568065643,0.00031980922,3200,0.0001,0.2,14633.038124847411,0.8765233755111694,1343.92529296875
0.70592076,,,,,,,,,,,,,,,
,804,11,448,10518528,,,,,,,,,,,
0.5660267,,,,,3.35693359375e-05,-0.0005130128905875608,-5.1474692732095715,0.5326890349388123,0.00081717497,3210,0.0001,0.2,18934.0042175293,0.8765225410461426,3546.634765625
-24.009384,,,,,,,,,,,,,,,
,806,12,487,10551296,,,,,,,,,,,
0.5574738,,,,,0.0,-0.00031077964522410186,-5.147294272482395,0.5715578496456146,0.00031820792,3220,0.0001,0.2,20882.150544738768,0.8764568567276001,6128.1689453125
189.92918,,,,,,,,,,,,,,,
,806,13,527,10584064,,,,,,,,,,,
0.55458784,,,,,0.0,-0.000216006005575764,-5.147068133950233,0.6671276092529297,0.0002643597,3230,0.0001,0.2,18199.76319503784,0.876469075679779,3843.882568359375
1.2153074,,,,,,,,,,,,,,,
,805,14,569,10616832,,,,,,,,,,,
1.7724701,,,,,1.8310546875e-05,-0.0004975857507815817,-5.146692061424256,0.5719116926193237,0.0007082559,3240,0.0001,0.2,18266.06893234253,0.8761692047119141,4070.471435546875
0.6858523,,,,,,,,,,,,,,,
,807,15,608,10649600,,,,,,,,,,,
2.2532866,,,,,0.0,-0.00038279159743979105,-5.145737498998642,0.5860766172409058,0.000303943,3250,0.0001,0.2,18715.69937362671,0.8761615753173828,3474.995361328125
0.55407906,,,,,,,,,,,,,,,
,808,16,648,10682368,,,,,,,,,,,
