rew_vec_envs,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/std,train/value_loss,train/clip_range,train/loss,train/entropy_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl
0.2921985,,,,,,,,,,,,,,,
0.3311774,,,,,,,,,,,,,,,
,2064384,41,783,1,,,,,,,,,,,
0.29986435,,,,,0.7416845262050629,-0.0028249690651136914,0.9571131467819214,3.166789334639907,0.2,0.561384379863739,-5.503703762590885,630,0.0001,0.043243408203125,0.0052875075
0.24933428,,,,,,,,,,,,,,,
,2097152,70,935,2,,,,,,,,,,,
0.30491498,,,,,0.8033284693956375,-0.003931066092627588,0.9567844867706299,1.5134717184118927,0.2,0.2512538433074951,-5.500540032982826,640,0.0001,0.066436767578125,0.00690901
0.16537051,,,,,,,,,,,,,,,
,2129920,98,1001,3,,,,,,,,,,,
0.070681706,,,,,0.06189936399459839,-0.0005437223484477727,0.9563051462173462,1825.8355834141373,0.2,3391.502685546875,-5.498400276899337,650,0.0001,0.0364349365234375,0.0033945674
0.2715854,,,,,,,,,,,,,,,
,2162688,127,1029,4,,,,,,,,,,,
0.31066138,,,,,0.8695456236600876,-0.0022036749316612257,0.9550564289093018,2.726009089127183,0.2,0.44427263736724854,-5.493544119596481,660,0.0001,0.0493011474609375,0.0055820234
0.31544012,,,,,,,,,,,,,,,
,2195456,155,1051,5,,,,,,,,,,,
0.41732556,,,,,0.8771227076649666,-0.003527898717584321,0.9550811052322388,1.6816360611468553,0.2,0.5182061195373535,-5.4919320970773695,670,0.0001,0.07093505859375,0.0074245185
0.30339414,,,,,,,,,,,,,,,
,2228224,184,1068,6,,,,,,,,,,,
0.23024885,,,,,0.770225003361702,-0.0034491048005293123,0.9502592086791992,2.1926525117829443,0.2,0.27649056911468506,-5.483236417174339,680,0.0001,0.063360595703125,0.0064382553
0.11636772,,,,,,,,,,,,,,,
,2260992,212,1080,7,,,,,,,,,,,
0.29551524,,,,,0.7336459457874298,-0.0033396462189557497,0.9468039274215698,1.5502700590528549,0.2,0.3281477391719818,-5.465067763626576,690,0.0001,0.072418212890625,0.007598657
0.24317065,,,,,,,,,,,,,,,
,2293760,240,1089,8,,,,,,,,,,,
0.24924518,,,,,0.8414441347122192,-0.004710632401474868,0.9466152787208557,1.1991194136440755,0.2,0.2894681394100189,-5.456336036324501,700,0.0001,0.0808502197265625,0.006776376
0.33136392,,,,,,,,,,,,,,,
,2326528,268,1096,9,,,,,,,,,,,
0.33199006,,,,,0.9012594968080521,-0.0046108868962619455,0.9472097158432007,1.5301951435394585,0.2,3.6286303997039795,-5.456920239329338,710,0.0001,0.084765625,0.008187718
0.24397245,,,,,,,,,,,,,,,
,2359296,297,1101,10,,,,,,,,,,,
0.18302602,,,,,0.8658119291067123,-0.003738186030386714,0.9454224705696106,2.0699984883889555,0.2,0.32054954767227173,-5.4542320892214775,720,0.0001,0.0505218505859375,0.005905451
0.09532149,,,,,,,,,,,,,,,
,2392064,325,1105,11,,,,,,,,,,,
