rew_vec_envs,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss
0.22779207,,,,,,,,,,,,,,,
0.29156792,,,,,,,,,,,,,,,
,2048,176,11,1,,,,,,,,,,,
0.23166883,,,,,0.0001,0.1370725780725479,0.48382294178009033,-0.005997681780718267,0.9994316697120667,0.0050175427,0.037841796875,10,-5.674605369567871,0.2,2.1437980845570563
0.28026614,,,,,,,,,,,,,,,
,4096,179,22,2,,,,,,,,,,,
0.19030435,,,,,0.0001,0.4391573965549469,0.05978655815124512,-0.0012154900352470577,0.9990643262863159,0.002829487,0.002294921875,20,-5.672858238220215,0.2,4.720169305801392
0.20124848,,,,,,,,,,,,,,,
,6144,183,33,3,,,,,,,,,,,
0.16589893,,,,,0.0001,0.2485431283712387,0.8099784553050995,-0.002366677380632609,0.9991832971572876,0.0070333183,0.016357421875,30,-5.6717774868011475,0.2,1.536996379494667
0.27551302,,,,,,,,,,,,,,,
,8192,184,44,4,,,,,,,,,,,
0.24403656,,,,,0.0001,0.43200668692588806,-0.8260835409164429,-0.004996052128262818,0.9993439316749573,0.006939616,0.031787109375,40,-5.673125910758972,0.2,3.6705301493406295
0.16924894,,,,,,,,,,,,,,,
,10240,185,55,5,,,,,,,,,,,
0.29985255,,,,,0.0001,0.27430033683776855,0.7363030016422272,-0.004655944858677685,0.9991629123687744,0.018106349,0.08935546875,50,-5.672664284706116,0.2,1.1281023994088173
0.17799965,,,,,,,,,,,,,,,
,12288,186,66,6,,,,,,,,,,,
0.3227617,,,,,0.0001,0.3262448310852051,-0.7153012752532959,-0.0036708715371787546,0.9993305802345276,0.01024551,0.0419921875,60,-5.672677493095398,0.2,1.7321923702955246
0.23609707,,,,,,,,,,,,,,,
,14336,185,77,7,,,,,,,,,,,
0.24810414,,,,,0.0001,0.39584216475486755,0.6868005394935608,-0.0018833588575944305,0.9999699592590332,0.009662334,0.056396484375,70,-5.673919916152954,0.2,1.0264355391263962
0.34486416,,,,,,,,,,,,,,,
,16384,177,92,8,,,,,,,,,,,
0.25329238,,,,,0.0001,0.6744398474693298,-0.8333408832550049,-0.0016682745655998588,1.0006450414657593,0.006489245,0.012841796875,80,-5.6769238948822025,0.2,2.7800812304019926
0.24608618,,,,,,,,,,,,,,,
,18432,177,103,9,,,,,,,,,,,
0.26486877,,,,,0.0001,0.7253769040107727,0.6643739640712738,-0.006206637993454933,1.0004245042800903,0.0148681905,0.07099609375,90,-5.678371787071228,0.2,1.7207427740097045
0.39894074,,,,,,,,,,,,,,,
,20480,179,114,10,,,,,,,,,,,
0.14388224,,,,,0.0001,0.29213660955429077,0.8936449438333511,-0.0016949924291111528,1.0003607273101807,0.0059533,0.0140625,100,-5.677015471458435,0.2,2.10155768096447
0.15572193,,,,,,,,,,,,,,,
,22528,180,124,11,,,,,,,,,,,
0.3082599,,,,,0.0001,0.39595702290534973,0.672721266746521,-0.005133213719818741,1.0001277923583984,0.011714167,0.069287109375,110,-5.676910781860352,0.2,1.0916579574346543
0.18131882,,,,,,,,,,,,,,,
,24576,180,135,12,,,,,,,,,,,
