time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,time/fps,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_fraction,train/explained_variance,train/std,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/value_loss
5275648,1.7652857,51,1,637,,,,,,,,,,,
5308416,2.275193,90,2,724,-0.00020420490072865506,0.00014505361,11293.4775390625,0.0,0.8535691499710083,0.9488112926483154,-5.465569718182087,1610,0.2,0.0001,22465.710026550292
5341184,3.2054272,127,3,772,-0.0003013456400367431,0.00022658154,9437.931640625,0.0,0.8183052241802216,0.9489548206329346,-5.4653624758124355,1620,0.2,0.0001,27729.710528564454
5373952,4.6440263,168,4,778,-0.0007970503393153194,0.0008788515,7181.0615234375,8.85009765625e-05,0.8339252173900604,0.9489721059799194,-5.465790069103241,1630,0.2,0.0001,17618.173136901856
5406720,66.79398,205,5,796,-0.00021308502873580438,0.00015442612,12911.8369140625,0.0,0.8188486993312836,0.9488577842712402,-5.46560787409544,1640,0.2,0.0001,26977.772412109374
5439488,70.12548,243,6,808,-0.0002941066682978999,0.00027598414,7188.96240234375,0.0,0.8254127949476242,0.9486069679260254,-5.464863102138042,1650,0.2,0.0001,18186.880288696288
5472256,2.5651865,281,7,815,-0.0004715573428256903,0.00049648655,8517.9873046875,3.0517578125e-06,0.8214588314294815,0.9485284686088562,-5.464099915325642,1660,0.2,0.0001,24709.51046600342
5505024,4.0421643,317,8,825,-0.000474626454160898,0.00038545768,4955.33154296875,0.0,0.8127614706754684,0.9486526250839233,-5.464128109812736,1670,0.2,0.0001,21062.40139160156
5537792,3.8309455,355,9,828,-0.0003834917464700993,0.00035322784,12044.9892578125,0.0,0.8262456655502319,0.9486327171325684,-5.46442719399929,1680,0.2,0.0001,27061.881600952147
5570560,2.4886765,390,10,839,-0.00042164912447333335,0.00035854423,14493.4580078125,0.0,0.8442281037569046,0.94869065284729,-5.464451262354851,1690,0.2,0.0001,26820.404888916015
5603328,4.070673,424,11,848,-0.0004313274646847276,0.00036937016,10122.154296875,0.0,0.81917405128479,0.9487382173538208,-5.464689671993256,1700,0.2,0.0001,27253.473391723634
5636096,4.4784784,459,12,855,-0.0003001365177624393,0.00029967815,4758.21728515625,0.0,0.8433657139539719,0.9488917589187622,-5.4650676369667055,1710,0.2,0.0001,18818.077880859375
5668864,4.6288376,495,13,859,-0.00018492165618226862,0.00013976396,9682.5244140625,0.0,0.8294611722230911,0.9487541913986206,-5.465225096046924,1720,0.2,0.0001,22837.277325439452
5701632,130.16545,532,14,861,-0.000301221970221377,0.00023382292,10731.21875,0.0,0.8395334184169769,0.9486363530158997,-5.464640614390373,1730,0.2,0.0001,27037.1526550293
5734400,4.3941097,567,15,866,-0.00036009379364259074,0.00027250353,7613.5810546875,0.0,0.8535128533840179,0.9485491514205933,-5.464210341870785,1740,0.2,0.0001,21871.386277770995
5767168,65.746506,607,16,862,-0.0004601848482707283,0.00037934876,13522.1279296875,0.0,0.8405120223760605,0.9487376809120178,-5.464284916222096,1750,0.2,0.0001,23658.218656921388
5799936,4.7958355,648,17,859,-0.0002550334724219283,0.00019897493,11461.69140625,0.0,0.841609925031662,0.9485254287719727,-5.464453910291195,1760,0.2,0.0001,29861.77575378418
5832704,5.2256956,685,18,860,-0.00019216980872442945,0.00013031287,7896.3349609375,0.0,0.8464847207069397,0.9484415054321289,-5.463723807036876,1770,0.2,0.0001,29630.24222717285
5865472,4.4096675,722,19,861,-0.00032021863262343686,0.00027682233,7040.212890625,0.0,0.8571307063102722,0.948495626449585,-5.463648387789727,1780,0.2,0.0001,17181.773666381836
5898240,3.4565158,758,20,864,-0.00029043984395684677,0.00022872859,8718.177734375,0.0,0.85678631067276,0.9485315084457397,-5.463839486241341,1790,0.2,0.0001,21078.049954223632
5931008,4.6801844,795,21,864,-0.00043745673610828817,0.00042609908,6545.63671875,0.0,0.8338594734668732,0.9484219551086426,-5.4637479647994045,1800,0.2,0.0001,20411.091563415528
5963776,1.5087407,831,22,866,-0.00022408444492612035,0.00017071795,7027.95654296875,0.0,0.8559942543506622,0.9483692646026611,-5.463367307186127,1810,0.2,0.0001,18313.050611877443
5996544,2.1778905,868,23,867,-0.0002323536838957807,0.00016528156,13522.888671875,0.0,0.8311194032430649,0.9481422305107117,-5.462845572829247,1820,0.2,0.0001,22250.018421936034
6029312,2.9966698,905,24,868,-0.00016791615926194935,0.00010172445,5005.3623046875,0.0,0.8277700841426849,0.9480625987052917,-5.462145335972309,1830,0.2,0.0001,24899.588041687013
6062080,7.079733,942,25,869,-0.00015232347213895993,6.571728e-05,9809.6904296875,0.0,0.8210068047046661,0.948002278804779,-5.461825460195541,1840,0.2,0.0001,27037.264526367188
6094848,3.247517,978,26,870,-0.0004251004334946629,0.00030684195,9380.46484375,0.0,0.839877724647522,0.9478155374526978,-5.46137110888958,1850,0.2,0.0001,27073.200482177734
6127616,3.858415,1014,27,871,-0.00021293336867529434,0.00014181457,4939.376953125,0.0,0.8534693270921707,0.9478607177734375,-5.460962621867656,1860,0.2,0.0001,18455.76157989502
6160384,3.0679364,1051,28,872,-0.0002909436574555002,0.00019773468,8006.453125,0.0,0.8588117808103561,0.9479303359985352,-5.461219465732574,1870,0.2,0.0001,23456.98861694336
6193152,2.9139817,1087,29,873,-0.00015590445254929364,9.058792e-05,9221.1162109375,0.0,0.8469330370426178,0.947854220867157,-5.461248824000359,1880,0.2,0.0001,20444.350030517577
6225920,256.62283,1123,30,875,-0.0005828617002407554,0.00047852338,7878.2314453125,0.0,0.8824242278933525,0.9477419257164001,-5.460855022072792,1890,0.2,0.0001,19121.90305328369
6258688,4.4080553,1159,31,875,-0.00029923311303718946,0.00018595425,10605.580078125,0.0,0.8601473122835159,0.9475765228271484,-5.460311499238014,1900,0.2,0.0001,22217.902629089356
6291456,2.768034,1196,32,876,-0.0002606755781016545,0.00016309819,4591.05908203125,0.0,0.8560290932655334,0.947608232498169,-5.459955267608166,1910,0.2,0.0001,19357.21638946533
