time/time_elapsed,rew_vec_envs,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/entropy_loss,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance
50,18.30204376578331,1,1306,65536,,,,,,,,,,,
92,17.945085495710373,2,1418,131072,0.2,0.0057800263,0.0001,10,0.04936676025390625,0.11602796614170074,-5.657994942739606,0.9855762199498713,0.9923655390739441,-0.0050801495556697775,0.13252025842666626
134,20.331363648176193,3,1464,196608,0.2,0.00531081,0.0001,20,0.04175872802734375,0.24813422560691833,-5.638435545191169,0.8965583247132599,0.9887567758560181,-0.005009426829383301,0.6286540627479553
176,22.94987490773201,4,1486,262144,0.2,0.0069047776,0.0001,30,0.06827545166015625,0.3112778961658478,-5.621281979978084,1.1098281383281574,0.9847775101661682,-0.006275283068498538,0.6954537928104401
217,24.566896855831146,5,1503,327680,0.2,0.0068396297,0.0001,40,0.06730499267578124,1.0970964431762695,-5.608543794602156,11.947331869415938,0.9818072319030762,-0.004895661753107561,0.4527522325515747
260,28.273619174957275,6,1511,393216,0.2,0.0066081863,0.0001,50,0.0634735107421875,1.1594393253326416,-5.589043520018459,9.66488130344078,0.9755163788795471,-0.004508946904115874,0.6903621554374695
302,41.890502631664276,7,1515,458752,0.2,0.0071310415,0.0001,60,0.06570892333984375,8.378347396850586,-5.562351577356457,44.51533898217603,0.9680143594741821,-0.0037789411826452124,0.5038374662399292
345,24.12741431593895,8,1518,524288,0.2,0.0070953346,0.0001,70,0.06556396484375,5.059406757354736,-5.548192247748375,38.06096419505775,0.9686562418937683,-0.004556737094571872,0.7327929139137268
388,41.83542776107788,9,1519,589824,0.2,0.006239938,0.0001,80,0.05594024658203125,6.1078104972839355,-5.530738154426217,41.49871208779514,0.9601544141769409,-0.0035426493098384528,0.7155413925647736
432,40.3522344827652,10,1515,655360,0.2,0.0070755077,0.0001,90,0.0718109130859375,3.4646921157836914,-5.505706398934126,58.74059948213399,0.9569772481918335,-0.004041263181534305,0.5070016980171204
477,33.46478235721588,11,1508,720896,0.2,0.0058337417,0.0001,100,0.043731689453125,41.04264831542969,-5.4985636353492735,121.10344289802015,0.9556535482406616,-0.0032158546928258147,0.6971407532691956
522,36.38138848543167,12,1505,786432,0.2,0.0063739736,0.0001,110,0.05429534912109375,12.437355041503906,-5.490244656801224,135.727008716017,0.9540272951126099,-0.0028212535715283595,0.640761137008667
567,30.115412928164005,13,1500,851968,0.2,0.007968662,0.0001,120,0.09086761474609376,8.582172393798828,-5.4796572051942345,12.266314002685249,0.951406717300415,-0.006620108517745393,0.898166112601757
612,46.08152383565903,14,1496,917504,0.2,0.006997237,0.0001,130,0.0636260986328125,68.44933319091797,-5.461660335958004,80.16389346644283,0.9445234537124634,-0.003973441923881183,0.7376374304294586
658,69.63568669557571,15,1492,983040,0.2,0.006408003,0.0001,140,0.05885467529296875,22.57159423828125,-5.437201924622059,108.63754408434033,0.9393202066421509,-0.004080348528805189,0.7922512590885162
704,56.08233368396759,16,1489,1048576,0.2,0.007511435,0.0001,150,0.067108154296875,199.32662963867188,-5.422704437375069,143.31773443892598,0.9375734925270081,-0.0038016200700440096,0.7777090817689896
