time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rew_vec_envs,train/loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/std,train/explained_variance,train/clip_range,train/learning_rate,train/value_loss,train/entropy_loss
1,65536,1309,50,8.31615985929966,,,,,,,,,,,
2,131072,1424,92,8.26385798305273,0.12007550895214081,10,-0.006368889221448626,0.0063853106,0.06479644775390625,0.9948046207427979,-0.02021491527557373,0.2,0.0001,0.45324275905732064,-5.665071287378669
3,196608,1473,133,10.298878476023674,0.10486873984336853,20,-0.005417761977332703,0.0066013187,0.06370849609375,0.9899353384971619,0.060886919498443604,0.2,0.0001,9.327876160002779,-5.646339646354318
4,262144,1482,176,12.121474742889404,0.09811291098594666,30,-0.00811721485315502,0.007368429,0.0816497802734375,0.9858651161193848,0.6950241029262543,0.2,0.0001,0.44781293988926335,-5.62620649933815
5,327680,1496,218,13.705353021621704,170.91156005859375,40,-0.0036190774022543336,0.006932675,0.06815948486328124,0.9799898862838745,0.09297525882720947,0.2,0.0001,51.68303573485464,-5.60685585141182
6,393216,1500,262,16.781150847673416,0.274476021528244,50,-0.010506831993734523,0.008942535,0.1067626953125,0.9724470376968384,0.7471981346607208,0.2,0.0001,0.85095330523327,-5.574022034555673
7,458752,1498,306,20.028842464089394,26.209930419921875,60,-0.004126921848865095,0.0077496697,0.0792449951171875,0.9697998762130737,0.23322302103042603,0.2,0.0001,50.33210164313205,-5.557933894917369
8,524288,1493,351,18.17456479370594,2.3126511573791504,70,-0.002992197642743122,0.006488798,0.05451507568359375,0.9643906950950623,0.40926647186279297,0.2,0.0001,60.78414484038949,-5.541713418811559
9,589824,1486,396,22.707022488117218,1.4808961153030396,80,-0.005467874081568879,0.008114306,0.0899932861328125,0.959257960319519,0.3811403512954712,0.2,0.0001,24.649425860028714,-5.517777083441615
10,655360,1465,447,20.82146406173706,95.46233367919922,90,-0.0019406032000006234,0.0061902683,0.045037841796875,0.9583641290664673,0.23990273475646973,0.2,0.0001,278.39187779482455,-5.507991696894169
11,720896,1457,494,-29.69496300816536,3.2891554832458496,100,-0.004663879988765984,0.00751713,0.068780517578125,0.9474672675132751,0.6816125214099884,0.2,0.0001,30.62995178233832,-5.478617621585727
12,786432,1455,540,23.70732319355011,224.40286254882812,110,-0.0030928393893191243,0.0063526677,0.06573028564453125,0.9448192119598389,0.22179365158081055,0.2,0.0001,209.8157942969352,-5.454884133115411
13,851968,1453,586,21.975019872188568,2.717252254486084,120,-0.004632355056946836,0.008408895,0.08374176025390626,0.9393243789672852,0.5460715591907501,0.2,0.0001,86.67495556715876,-5.434291289001703
14,917504,1453,631,21.203581780195236,8.965694427490234,130,-0.0035396351495364797,0.007919565,0.0687744140625,0.9345294833183289,0.42073899507522583,0.2,0.0001,194.0770658068359,-5.416304620355367
15,983040,1451,677,41.11516782641411,2.4733798503875732,140,-0.005084815870122839,0.0085651865,0.09082183837890626,0.9273081421852112,0.5789220035076141,0.2,0.0001,61.10963649228215,-5.385474339127541
16,1048576,1448,723,28.535402804613113,7.671555042266846,150,-0.0030279153704213966,0.0076289168,0.05675811767578125,0.9203897714614868,0.5703473389148712,0.2,0.0001,149.73178678080438,-5.3580959241837265
