time/iterations,rew_vec_envs,time/time_elapsed,time/fps,time/total_timesteps,train/approx_kl,train/loss,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/std,train/clip_fraction
1,8.416617631912231,52,1252,65536,,,,,,,,,,,
2,-2.3058147877454758,98,1329,131072,0.0067184363,0.18246303498744965,0.0001,-0.054116010665893555,10,0.7290277003543452,-5.662878213822841,0.2,-0.0061764631553160145,0.9944757223129272,0.06616973876953125
3,10.089700162410736,147,1334,196608,0.0060844,35.679805755615234,0.0001,0.0030028223991394043,20,186.20456662997603,-5.649335585534573,0.2,-0.002857257174764527,0.9913604259490967,0.04612579345703125
4,13.679891899228096,196,1332,262144,0.008057591,0.593522846698761,0.0001,0.1076856255531311,30,20.008069278532638,-5.6270729776471855,0.2,-0.006273778832655808,0.984914243221283,0.08542022705078126
5,13.75648619234562,248,1318,327680,0.007819691,0.8062936067581177,0.0001,0.6418565809726715,40,1.3915795178618282,-5.6103784795850515,0.2,-0.00740356088772387,0.9821376800537109,0.08382720947265625
6,19.04866912961006,297,1319,393216,0.009036555,0.34360653162002563,0.0001,0.4760497212409973,50,3.3315224341116845,-5.584490497782826,0.2,-0.00981343952989846,0.9751772880554199,0.10535888671875
7,19.64082944393158,348,1318,458752,0.009055192,0.35704630613327026,0.0001,0.7611846327781677,60,1.2997725756838918,-5.558619648963213,0.2,-0.011124705155998527,0.9703541398048401,0.10508270263671875
8,22.801922231912613,399,1313,524288,0.006907807,248.45933532714844,0.0001,0.07024449110031128,70,261.34840250425043,-5.547302121669054,0.2,-0.002406044332201418,0.9662985801696777,0.04651947021484375
9,22.02869576215744,451,1307,589824,0.007451687,19.37412452697754,0.0001,0.24410516023635864,80,185.01313724089414,-5.5269011404365305,0.2,-0.003469043927270832,0.960417628288269,0.07043304443359374
10,24.354059159755707,507,1290,655360,0.006150185,75.80455780029297,0.0001,0.279887318611145,90,257.5125684918836,-5.508485865965485,0.2,-0.00281076589217264,0.9576974511146545,0.0590972900390625
11,24.561313688755035,563,1279,720896,0.0062640654,75.55683135986328,0.0001,0.26428937911987305,100,379.4395474318415,-5.499954221025109,0.2,-0.002962500470766827,0.9562081694602966,0.048333740234375
12,24.69474869966507,614,1280,786432,0.006148462,585.8676147460938,0.0001,0.2782447934150696,110,462.74303273782135,-5.489998891577125,0.2,-0.003492675523557409,0.9525518417358398,0.0508026123046875
13,25.38513693213463,666,1278,851968,0.0077913576,152.63430786132812,0.0001,0.3959447145462036,120,149.23821360953153,-5.477415582537651,0.2,-0.004010655199544999,0.9508930444717407,0.0742431640625
14,28.886673003435135,721,1272,917504,0.008338682,153.18849182128906,0.0001,0.3592960834503174,130,335.3613258805126,-5.450059613958001,0.2,-0.00458001536444499,0.9426838159561157,0.0860443115234375
15,34.021100372076035,774,1269,983040,0.0075801406,497.0396728515625,0.0001,0.4634891748428345,140,431.2614321872592,-5.420349508523941,0.2,-0.0035897940510039917,0.9350957870483398,0.06600189208984375
16,25.860569775104523,830,1262,1048576,0.005833218,73.2236328125,0.0001,0.28680020570755005,150,1078.8041532352568,-5.398078637197614,0.2,-0.002457101546224294,0.9318826794624329,0.0430908203125
