time/iterations,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/fps,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/explained_variance,train/std,train/learning_rate,train/clip_range,train/value_loss
1,6324224,1691.3518657684326,84,388,,,,,,,,,,,
2,6356992,2698.700756072998,166,394,-0.011199951235539629,-1.5966391881927848,0.014921175,2464.947265625,0.13525390625,1930,0.49483728408813477,0.3612939417362213,0.001,0.2,12729.573319625855
3,6389760,2799.224657058716,243,404,-0.010993492417037487,-1.5830380091443659,0.013910985,2800.765869140625,0.1295318603515625,1940,0.4532751441001892,0.3607513904571533,0.001,0.2,15384.556758880615
4,6422528,2638.9672470092773,316,413,-0.010906828094084631,-1.579214721173048,0.015499005,2991.84765625,0.14200439453125,1950,0.4833086133003235,0.360423743724823,0.001,0.2,13175.278907775879
5,6455296,1964.6611404418945,391,418,-0.010283619294204982,-1.5631737180054188,0.013773594,3394.291015625,0.124017333984375,1960,0.47260522842407227,0.35811668634414673,0.001,0.2,15044.086041259765
6,6488064,2560.194372177124,477,411,-0.01109957931075769,-1.5458021584898234,0.015845481,2474.581298828125,0.1469573974609375,1970,0.46688520908355713,0.35735148191452026,0.001,0.2,14080.750011062622
7,6520832,2148.5675554275513,555,413,-0.011303699980817327,-1.5360119918361306,0.015311679,3121.269287109375,0.1347412109375,1980,0.4679991602897644,0.35622841119766235,0.001,0.2,15424.905224990845
8,6553600,2499.9233684539795,633,414,-0.009536519674293231,-1.5193517593666912,0.01471279,2502.1650390625,0.1321075439453125,1990,0.48689335584640503,0.35464388132095337,0.001,0.2,14201.048151397705
9,6586368,2358.7974967956543,717,411,-0.010899669016362168,-1.5005766103044151,0.015658312,2266.15673828125,0.140155029296875,2000,0.4913269281387329,0.35269027948379517,0.001,0.2,13242.642935562133
10,6619136,2072.7522439956665,801,408,-0.010733179760427447,-1.484372708387673,0.014189962,2679.08935546875,0.1356597900390625,2010,0.39098405838012695,0.35199788212776184,0.001,0.2,16098.730347442626
11,6651904,2223.9826889038086,884,407,-0.010206744137394707,-1.479064210690558,0.015030475,3203.237548828125,0.1254119873046875,2020,0.4517121911048889,0.351698100566864,0.001,0.2,14994.299848937988
12,6684672,2134.792434692383,967,406,-0.01151700179798354,-1.4685230942443013,0.016461812,2410.780517578125,0.1422271728515625,2030,0.4642336964607239,0.35010838508605957,0.001,0.2,14418.477299499511
13,6717440,1966.2432327270508,1045,407,-0.010539868828709586,-1.4517982982099056,0.016048005,3068.087646484375,0.146795654296875,2040,0.40680140256881714,0.348989874124527,0.001,0.2,16533.580702972413
14,6750208,1778.697467803955,1124,407,-0.010679632215396851,-1.43431948851794,0.014442956,2605.15478515625,0.1371429443359375,2050,0.451026976108551,0.3472177982330322,0.001,0.2,15163.481704711914
15,6782976,2182.8149814605713,1210,405,-0.010427329839149024,-1.4174454441294073,0.013831066,2888.65869140625,0.1310943603515625,2060,0.3660317063331604,0.34605756402015686,0.001,0.2,16615.657668304444
16,6815744,2170.3226051330566,1293,405,-0.010311077935693903,-1.4024393389001488,0.01687682,2754.243896484375,0.1567657470703125,2070,0.48212647438049316,0.34482061862945557,0.001,0.2,12962.889973068237
17,6848512,2768.5299949645996,1375,404,-0.010981784804971539,-1.382628707587719,0.016123563,2355.543212890625,0.1449798583984375,2080,0.5043952167034149,0.3425537645816803,0.001,0.2,14180.138955688477
18,6881280,2322.2110595703125,1456,404,-0.011384755697508808,-1.3674900513142347,0.015814316,2444.71533203125,0.14468994140625,2090,0.45010828971862793,0.3420907258987427,0.001,0.2,14781.426316070556
19,6914048,2673.2211380004883,1536,405,-0.010739042735804106,-1.356327023357153,0.015021261,3026.260009765625,0.135986328125,2100,0.47078555822372437,0.3409910798072815,0.001,0.2,16178.119989776611
20,6946816,2033.4414310455322,1615,405,-0.010259074175701243,-1.345688869431615,0.015155507,3606.2470703125,0.14051513671875,2110,0.4499298334121704,0.3399120569229126,0.001,0.2,16006.510862731933
21,6979584,2189.3342456817627,1699,404,-0.010886788300558692,-1.331088849529624,0.015760086,2583.989501953125,0.1429290771484375,2120,0.48170697689056396,0.3384366035461426,0.001,0.2,14565.176971435547
