time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rew_vec_envs,train/entropy_loss,train/n_updates,train/clip_fraction,train/std,train/explained_variance,train/loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl
62,524,32768,1,7.870586767792702,,,,,,,,,,,
113,578,65536,2,25.49566811323166,-5.643918355554343,10,0.1479461669921875,0.9918413758277893,-0.018039941787719727,2.738597869873047,-0.015013135581830284,13.763073037564755,0.001,0.2,0.011019599
168,584,98304,3,47.58482587337494,-5.626946768164634,20,0.1685821533203125,0.9869158267974854,0.5903067290782928,4.4983367919921875,-0.01987967156310333,13.161545592546464,0.001,0.2,0.012849467
223,585,131072,4,65.42595946788788,-5.601699161529541,30,0.197650146484375,0.9797420501708984,0.4773815870285034,136.3378448486328,-0.019913638006983092,42.70406257212162,0.001,0.2,0.014710702
280,583,163840,5,90.75863313674927,-5.5831391483545305,40,0.2033538818359375,0.9747544527053833,0.687576174736023,4.828137397766113,-0.022295454463892382,15.575579649209976,0.001,0.2,0.016053116
330,594,196608,6,79.88134253025055,-5.5432323954999445,50,0.2189239501953125,0.9680344462394714,0.6928035914897919,5.831490516662598,-0.021650205675541656,16.516452327370644,0.001,0.2,0.018579416
378,605,229376,7,104.81864953041077,-5.541826494038105,60,0.213818359375,0.9663761854171753,0.7233448922634125,5.944243907928467,-0.019790991198533447,16.946420514583586,0.001,0.2,0.017055389
429,610,262144,8,118.15956473350525,-5.514242734014988,70,0.22698974609375,0.9602024555206299,0.7849483788013458,5.510568141937256,-0.016759794061363208,16.0678493604064,0.001,0.2,0.01867331
480,613,294912,9,130.52504909038544,-5.513011742383242,80,0.2044586181640625,0.9598381519317627,0.4416062831878662,5.3564629554748535,-0.012143126643786672,151.2165226429701,0.001,0.2,0.017851222
533,614,327680,10,139.45506185293198,-5.494469902664423,90,0.2434417724609375,0.9576424956321716,0.8345572203397751,4.717961311340332,-0.015962015238255845,15.015831749886274,0.001,0.2,0.022155825
589,610,360448,11,128.65516304969788,-5.4846744365990165,100,0.224346923828125,0.9541904926300049,0.1825159192085266,4.78787899017334,-0.010203443570571836,867.7884680509567,0.001,0.2,0.025343275
650,604,393216,12,166.817232131958,-5.479866547137499,110,0.2246185302734375,0.951996386051178,0.6211684346199036,89.03573608398438,-0.011080035950726597,252.6752214565873,0.001,0.2,0.021081187
708,601,425984,13,151.50360298156738,-5.459990651160479,120,0.215069580078125,0.9470709562301636,0.6241829991340637,4.979808807373047,-0.010858129445114172,90.92995154932142,0.001,0.2,0.019878399
768,596,458752,14,182.55020380020142,-5.423877672851086,130,0.23829345703125,0.9411277770996094,0.36877620220184326,11.583333015441895,-0.007200966687014443,391.9360305637121,0.001,0.2,0.020645386
823,596,491520,15,174.1659917831421,-5.4124291896820065,140,0.1961181640625,0.9344422817230225,0.32359427213668823,318.6587219238281,-0.005851232355780667,2564.436832156777,0.001,0.2,0.016087454
880,595,524288,16,139.6436332464218,-5.371239973604679,150,0.1947967529296875,0.9253904819488525,0.42278027534484863,2898.828125,-0.007413250506215263,2008.9793698847293,0.001,0.2,0.021138974
944,589,557056,17,187.03838801383972,-5.352010788023472,160,0.21512451171875,0.922531247138977,0.6447320580482483,9.347012519836426,-0.007240424111660104,369.19514254182576,0.001,0.2,0.02105796
1002,588,589824,18,296.01346588134766,-5.348548504710197,170,0.2413604736328125,0.9279971718788147,0.519303172826767,12.487174987792969,-0.00785719535961107,734.5357627660036,0.001,0.2,0.024976308
1065,584,622592,19,208.13666772842407,-5.362054519355297,180,0.228607177734375,0.925055742263794,0.2922191023826599,13.9335355758667,-0.005374147950715269,1382.0616101980208,0.001,0.2,0.025710173
1126,581,655360,20,159.0316420197487,-5.3778335802257065,190,0.243853759765625,0.9290128350257874,0.3572966456413269,15.227689743041992,-0.00538191780433408,1634.9913135379552,0.001,0.2,0.02805132
1185,580,688128,21,335.6345434188843,-5.360726024210453,200,0.2316680908203125,0.9232673048973083,0.6249513328075409,17.24128532409668,-0.006670265727007063,672.0503936231137,0.001,0.2,0.023492277
1246,578,720896,22,213.26639556884766,-5.329955890774727,210,0.2149078369140625,0.9137482643127441,0.574588418006897,1107.2781982421875,-0.007237650214665337,1191.0866225242614,0.001,0.2,0.023960281
1306,576,753664,23,179.17154026031494,-5.299887848645449,220,0.2266876220703125,0.9104487299919128,0.5343813598155975,218.79367065429688,-0.007728169991605682,663.9550035476684,0.001,0.2,0.026004035
1366,575,786432,24,537.0809879302979,-5.281947867572308,230,0.153509521484375,0.9035334587097168,0.48355621099472046,636.6439208984375,-0.006258909344978747,2465.579678505659,0.001,0.2,0.017345885
1429,572,819200,25,322.41337490081787,-5.259766265749931,240,0.1644439697265625,0.8973133563995361,0.5500026941299438,120.26766967773438,-0.007363213295320747,2832.3293138027193,0.001,0.2,0.015674643
1492,570,851968,26,255.47418117523193,-5.230013604462147,250,0.1587677001953125,0.891576886177063,0.5669042468070984,1188.771728515625,-0.0069325897664384685,2318.684046304226,0.001,0.2,0.017905101
1556,568,884736,27,617.774242401123,-5.184573607891798,260,0.1202606201171875,0.8792717456817627,0.6061704158782959,3329.26123046875,-0.006514163251995342,4311.90741019249,0.001,0.2,0.013336714
1620,566,917504,28,717.769312620163,-5.148071444779634,270,0.1317901611328125,0.8730760812759399,0.5633255839347839,3016.265869140625,-0.00783573182670807,4707.039323663712,0.001,0.2,0.013511099
1681,564,950272,29,725.3719654083252,-5.116825126111507,280,0.10218505859375,0.8671384453773499,0.6456099152565002,451.04595947265625,-0.00697472942629247,5318.995263910294,0.001,0.2,0.011090925
1739,565,983040,30,426.7973880767822,-5.08794050142169,290,0.09814453125,0.8612748980522156,0.6754780113697052,506.053955078125,-0.00809033582045231,4091.861818885803,0.001,0.2,0.010929607
1797,565,1015808,31,956.9601492881775,-5.075020749121904,300,0.1028564453125,0.8584555387496948,0.7121826112270355,2323.241943359375,-0.00826548634468054,5265.698732328415,0.001,0.2,0.011625614
1859,564,1048576,32,944.0190544128418,-5.049406641721726,310,0.0886566162109375,0.8536802530288696,0.6537998020648956,2070.213134765625,-0.0068748988040169936,5934.791942596436,0.001,0.2,0.010595751
