time/total_timesteps,time/iterations,time/fps,rew_vec_envs,time/time_elapsed,train/learning_rate,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/std,train/loss,train/clip_fraction,train/n_updates,train/approx_kl
32768,1,546,431.1322183609009,59,,,,,,,,,,,
65536,2,612,686.7490634918213,106,0.001,-5.637196959555149,1984.96129322052,0.0004875063896179199,0.2,-0.008566549299575853,0.9908698797225952,752.0101318359375,0.156201171875,10,0.009541407
98304,3,639,839.8500156402588,153,0.001,-5.631400274485349,2441.244740486145,0.20927423238754272,0.2,-0.012338818280113628,0.9875179529190063,916.3750610351562,0.0954437255859375,20,0.0083650565
131072,4,653,803.2208862304688,200,0.001,-5.619382783025503,3428.208216094971,0.2395693063735962,0.2,-0.012341840420776861,0.9848436117172241,1320.857666015625,0.0907958984375,30,0.0077881576
163840,5,658,1018.7141551971436,248,0.001,-5.606532426178456,3990.6051345825194,0.29932039976119995,0.2,-0.010148991346068215,0.9812473654747009,1496.0166015625,0.0754730224609375,40,0.007089356
196608,6,663,1042.8815803527832,296,0.001,-5.589302222430706,4271.115218734742,0.40465885400772095,0.2,-0.009312087392390821,0.9764586687088013,1564.5391845703125,0.0731719970703125,50,0.007292279
229376,7,665,1165.3500957489014,344,0.001,-5.568727219104767,4543.482260131836,0.46323102712631226,0.2,-0.007679772948176833,0.9712364673614502,1697.2867431640625,0.055157470703125,60,0.0061189197
262144,8,667,1160.1933631896973,392,0.001,-5.543587393313646,4229.130838012696,0.61735999584198,0.2,-0.007748187749530189,0.964348554611206,1245.4713134765625,0.058203125,70,0.006131863
294912,9,668,1145.2129383087158,440,0.001,-5.522008731216192,3657.972931289673,0.6685748398303986,0.2,-0.005641323113741237,0.9607465863227844,1109.6903076171875,0.03699951171875,80,0.005139272
327680,10,669,1239.53519821167,489,0.001,-5.503104505687952,3390.591749191284,0.7316985726356506,0.2,-0.006547144555224804,0.9557510614395142,1286.0404052734375,0.0448394775390625,90,0.0059270645
360448,11,669,1300.6632652282715,538,0.001,-5.472860767692327,3041.218684959412,0.7721371054649353,0.2,-0.006733833998805494,0.9471314549446106,1126.010009765625,0.0402099609375,100,0.0058873896
393216,12,669,1382.7789306640625,587,0.001,-5.435937862843275,2667.376047325134,0.8006823509931564,0.2,-0.006294288161006989,0.9394022226333618,806.6572875976562,0.0423065185546875,110,0.005736252
425984,13,670,1391.7745475769043,635,0.001,-5.403094572573901,2439.1852701187136,0.827658161520958,0.2,-0.006347564032330411,0.931542694568634,890.2965698242188,0.04410400390625,120,0.005950235
458752,14,669,1373.0496940612793,684,0.001,-5.36659010797739,2175.9756368637086,0.8521750569343567,0.2,-0.007259174391219858,0.9248117208480835,558.5463256835938,0.0508880615234375,130,0.0065980507
