time/total_timesteps,time/time_elapsed,rew_vec_envs,time/iterations,time/fps,train/clip_range,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/std,train/n_updates,train/clip_fraction
16384,29,-1888.5831756591797,1,554,,,,,,,,,,,
32768,50,-2144.2299194335938,2,651,0.2,9850.563983154298,2155.779541015625,-5.703759120404721,0.008042369,0.001,0.0006349682807922363,-0.00617303828112199,1.008554220199585,10,0.087548828125
49152,71,-1746.7973175048828,3,683,0.2,7916.404277038574,1830.525146484375,-5.72933197170496,0.010342675,0.001,0.0050705671310424805,-0.006149278594966745,1.014165997505188,20,0.082220458984375
65536,93,-1928.6654663085938,4,700,0.2,6134.95940246582,1950.3333740234375,-5.7506848350167274,0.014275466,0.001,0.037450969219207764,-0.006968899557250552,1.0184561014175415,30,0.110479736328125
81920,115,-1553.978530883789,5,708,0.2,4514.565631866455,1339.207275390625,-5.749497379362583,0.010372455,0.001,0.03504461050033569,-0.007704052251210669,1.0168228149414062,40,0.14542236328125
98304,137,-1743.0995635986328,6,713,0.2,4012.052879333496,1942.533935546875,-5.763303695619106,0.008814812,0.001,0.08581578731536865,-0.010266816997318528,1.0234150886535645,50,0.107611083984375
114688,160,-1388.8522644042969,7,715,0.2,4673.279120635986,2394.8291015625,-5.77516275048256,0.007363393,0.001,0.1917594075202942,-0.008157626663160045,1.0259878635406494,60,0.069732666015625
131072,182,-1405.9273147583008,8,718,0.2,4414.237400817871,1604.6317138671875,-5.796556198596955,0.0074208677,0.001,0.26952576637268066,-0.009063149327994324,1.034150242805481,70,0.07469482421875
147456,205,-1312.6920318603516,9,716,0.2,4048.62815246582,1511.699462890625,-5.819169037044048,0.007380631,0.001,0.3924163579940796,-0.009342948120320216,1.0394964218139648,80,0.069842529296875
163840,229,-1416.2754364013672,10,715,0.2,2667.557070541382,887.2180786132812,-5.84071350991726,0.0072518243,0.001,0.39728593826293945,-0.009343374745367328,1.0469844341278076,90,0.076751708984375
180224,252,-1446.3281021118164,11,713,0.2,2728.509874725342,936.815673828125,-5.851436598598957,0.0068406668,0.001,0.29599595069885254,-0.00842887094913749,1.0472357273101807,100,0.06483154296875
196608,275,-1160.1707763671875,12,713,0.2,2735.9789653778075,935.09326171875,-5.854928278923035,0.0073472196,0.001,0.46886658668518066,-0.008019139048701617,1.0494868755340576,110,0.066998291015625
212992,298,-925.0718841552734,13,712,0.2,2010.3792083740234,965.1321411132812,-5.868317598104477,0.007204841,0.001,0.5860793888568878,-0.009190248099184829,1.0551912784576416,120,0.072161865234375
229376,321,-984.873420715332,14,712,0.2,1419.4161659240722,601.512939453125,-5.875523072481156,0.007940398,0.001,0.6139547824859619,-0.009337703309574863,1.0554349422454834,130,0.07901611328125
245760,346,-1199.231086730957,15,710,0.2,987.7661338806153,348.4172668457031,-5.885188710689545,0.008177911,0.001,0.5869736671447754,-0.011461952536774334,1.058959722518921,140,0.098828125
262144,370,-747.9202575683594,16,706,0.2,863.8683471679688,238.6528778076172,-5.902849131822586,0.008072539,0.001,0.6551963686943054,-0.01049650158820441,1.0637952089309692,150,0.09725341796875
278528,396,-864.8660659790039,17,702,0.2,862.248104095459,382.1255798339844,-5.909363336861134,0.008367192,0.001,0.6202796995639801,-0.010274796463636448,1.0675287246704102,160,0.0943359375
294912,423,-851.9881210327148,18,696,0.2,666.2842363357544,103.80065155029297,-5.917048086225987,0.00805979,0.001,0.6054800450801849,-0.010152452011971036,1.0694019794464111,170,0.10032958984375
311296,449,-675.3029479980469,19,693,0.2,634.4276766300202,173.19253540039062,-5.938422811031342,0.008524068,0.001,0.503202885389328,-0.009302321830182337,1.0755321979522705,180,0.0989501953125
327680,475,-738.3235015869141,20,689,0.2,506.5865789890289,197.20704650878906,-5.944862440228462,0.011029862,0.001,0.5592194497585297,-0.01088242838086444,1.0769052505493164,190,0.127899169921875
344064,500,-760.871768951416,21,687,0.2,557.8643580436707,369.909423828125,-5.936426769196987,0.011067795,0.001,0.38341015577316284,-0.009121598701312905,1.0740169286727905,200,0.12099609375
360448,527,-643.050651550293,22,683,0.2,545.1046449661255,219.27383422851562,-5.927420520782471,0.011544314,0.001,0.48163360357284546,-0.00934039271887741,1.0724809169769287,210,0.13431396484375
376832,555,-801.5712738037109,23,678,0.2,516.4558797836304,318.41375732421875,-5.926355223357677,0.010135002,0.001,0.3682883381843567,-0.008548112727294211,1.0744569301605225,220,0.13753662109375
393216,582,-665.8336601257324,24,675,0.2,469.7947496175766,198.7023162841797,-5.920838280022144,0.013046831,0.001,0.4264965057373047,-0.009612294692487922,1.0727121829986572,230,0.136639404296875
