time/iterations,time/time_elapsed,rew_vec_envs,time/fps,time/total_timesteps,train/value_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/clip_range,train/std,train/entropy_loss
1,169,-21.543888446409255,772,131072,,,,,,,,,,,
2,308,-8.248516271822155,851,262144,48.568253222107884,-0.002630424583662716,5.857118129730225,10,0.0077420054,0.0789093017578125,0.001,0.010831296443939209,0.2,1.0070855617523193,-5.7015818962827325
3,446,-24.108802780508995,880,393216,40.52980739884079,-0.0025968634173295867,6.873044490814209,20,0.010141106,0.10808029174804687,0.001,0.36590808629989624,0.2,1.0184317827224731,-5.738461906835437
4,592,-9.933980087283999,884,524288,260.5225654114038,-0.0020697234501767525,8.70112419128418,30,0.012560522,0.1387969970703125,0.001,0.21923094987869263,0.2,1.0309033393859863,-5.791291806101799
5,743,-11.50730298529379,882,655360,53.34312104843557,-0.002221706389082101,12.02175235748291,40,0.01209011,0.13892974853515624,0.001,0.4811781048774719,0.2,1.0426158905029297,-5.831964111328125
6,891,-6.4144801939837635,882,786432,66.03273372463882,-0.0020066217694875376,8.013303756713867,50,0.012190364,0.14626007080078124,0.001,0.427018404006958,0.2,1.0518889427185059,-5.874786289222539
7,1042,-12.715745243011042,879,917504,79.36416617780924,-0.0021941040937008436,13.192331314086914,60,0.012792479,0.14402694702148439,0.001,0.4996255040168762,0.2,1.060971736907959,-5.911590845882893
8,1195,-7.684977433644235,876,1048576,111.01818011179566,-0.0028893812916749085,24.23912239074707,70,0.00980847,0.1127685546875,0.001,0.5069547891616821,0.2,1.065382957458496,-5.929874579422176
9,1349,-8.315471298061311,873,1179648,114.85446740612387,-0.002360793966613528,29.311992645263672,80,0.01109042,0.13167343139648438,0.001,0.4379127621650696,0.2,1.0654292106628418,-5.922938523814082
10,1504,-7.8704455570550635,871,1310720,85.68510722517968,-0.001189936374885292,19.583738327026367,90,0.013214586,0.1618133544921875,0.001,0.5043621361255646,0.2,1.0664069652557373,-5.937302611768246
11,1667,-4.734463856788352,864,1441792,121.09527426660061,-0.002215499499538964,35.648067474365234,100,0.013162449,0.11668624877929687,0.001,0.48143869638442993,0.2,1.0666987895965576,-5.9312761532142755
12,1825,-11.105753870506305,861,1572864,133.43734683543443,-0.002823872851467968,35.659263610839844,110,0.009561399,0.10359649658203125,0.001,0.5517313480377197,0.2,1.0658622980117798,-5.9266967693343755
13,1986,-3.935339021962136,857,1703936,153.9763982489705,-0.0029945719625629865,71.07379913330078,120,0.009733805,0.09871063232421876,0.001,0.46862542629241943,0.2,1.066859483718872,-5.934176495112479
14,2144,-2.6191994538530707,855,1835008,76.07721663042904,-0.0016453587207934106,21.334985733032227,130,0.012581429,0.139068603515625,0.001,0.6661222875118256,0.2,1.0690662860870361,-5.923051201179623
15,2302,-3.771369223482907,853,1966080,106.22287343144417,-0.0025389993122871602,93.28805541992188,140,0.0111537,0.11825027465820312,0.001,0.5592905282974243,0.2,1.0667355060577393,-5.942011520266533
16,2461,-3.301888483809307,852,2097152,119.30360464081168,-0.002531829437748456,96.50841522216797,150,0.010717913,0.11081466674804688,0.001,0.6058041453361511,0.2,1.07014799118042,-5.934955574013292
