time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rew_vec_envs,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/std
1,955,2228224,137,2.0664827032014728,,,,,,,,,,,
2,1078,2359296,242,5.000470862258226,0.001,1.5499238967895508,170,-0.004232891918309179,0.5925637483596802,41.359309824742375,-5.718444157205522,0.2,0.17406539916992186,0.017160043,1.0080640316009521
3,1121,2490368,350,10.031533236033283,0.001,5.426682949066162,180,-0.004566251192773052,0.4978206753730774,182.38213003706187,-5.6913771167397496,0.2,0.15388641357421876,0.015979795,1.0067238807678223
4,1135,2621440,461,4.715072609775234,0.001,3.764796257019043,190,-0.003998258526826249,0.686453640460968,78.62927664779127,-5.6698430916294456,0.2,0.19120941162109376,0.018907327,0.9943153262138367
5,1145,2752512,572,19.81074314712896,0.001,2.7997779846191406,200,-0.006465799009765761,0.7907551229000092,90.02178363930435,-5.620774782635271,0.2,0.190771484375,0.018898357,0.9826118350028992
6,1147,2883584,685,3.3955694779288024,0.001,10.895337104797363,210,-0.005498024227017595,0.7786536663770676,163.89367242772133,-5.587769512459635,0.2,0.17038726806640625,0.017937398,0.9783660769462585
7,1148,3014656,798,12.290335881058127,0.001,9.920548439025879,220,-0.005555635296241234,0.699878066778183,283.982071692124,-5.561491276137531,0.2,0.15984344482421875,0.016435117,0.9698110818862915
8,1149,3145728,912,1.7060072105377913,0.001,19.43006706237793,230,-0.006227731740000309,0.7952413707971573,204.68943824395538,-5.51202363409102,0.2,0.16770248413085936,0.018044535,0.9570661783218384
9,1148,3276800,1027,10.601234060479328,0.001,15.808072090148926,240,-0.006509008509101477,0.8274915963411331,156.38622617423533,-5.459425007179379,0.2,0.1875335693359375,0.018269125,0.9490182399749756
10,1148,3407872,1141,14.772089832404163,0.001,13.096027374267578,250,-0.006095961141545559,0.8524455726146698,180.12409931570292,-5.448157710395753,0.2,0.15694122314453124,0.01658775,0.9470694065093994
11,1146,3538944,1257,16.568243084475398,0.001,17.79033088684082,260,-0.005925687428316451,0.8452572822570801,164.13757275342942,-5.4415319580584764,0.2,0.1783599853515625,0.017383408,0.9450368285179138
12,1147,3670016,1370,49.01757663767785,0.001,33.262142181396484,270,-0.00632908441220934,0.8554253727197647,204.29166330099105,-5.422265506908298,0.2,0.14971923828125,0.015974486,0.9370648264884949
13,1146,3801088,1486,14.714160783682019,0.001,17.420637130737305,280,-0.006465385685760339,0.8499064296483994,152.36835165843368,-5.397486182302236,0.2,0.1775848388671875,0.017803391,0.9319982528686523
14,1146,3932160,1600,20.21766618685797,0.001,31.09819793701172,290,-0.0067981262750436144,0.8564446419477463,184.47488178089262,-5.36989475544542,0.2,0.18215408325195312,0.019559458,0.9256136417388916
15,1145,4063232,1715,33.01937152794562,0.001,24.391143798828125,300,-0.007910455283808914,0.8945285379886627,150.9780039690435,-5.331980557739735,0.2,0.18568496704101561,0.019599024,0.9203611612319946
16,1145,4194304,1830,21.02576721063815,0.001,86.99815368652344,310,-0.007162779044710988,0.8754401877522469,227.37354079335927,-5.308716999180615,0.2,0.1621002197265625,0.018110313,0.9127392172813416
