time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rew_vec_envs,train/approx_kl,train/std,train/explained_variance,train/clip_range,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/policy_gradient_loss
1,134,2228224,976,-8.10812555719167,,,,,,,,,,,
2,233,2359296,1121,-4.437066002050415,0.012545589,1.0890166759490967,0.23623526096343994,0.2,-6.019391444139183,2.9125077724456787,0.001,0.13997039794921876,10.161914173513651,170,-0.002048474701359737
3,336,2490368,1168,-4.4236065819859505,0.019560382,1.08371901512146,0.39368367195129395,0.2,-5.9925278324633835,6.311124324798584,0.001,0.1994171142578125,8.622269495669752,180,3.715851462402497e-05
4,438,2621440,1195,-2.4362299973145127,0.01625305,1.0813031196594238,0.43814170360565186,0.2,-5.974499733187258,1.268964171409607,0.001,0.18855667114257812,8.971451875986531,190,-0.0010523868015297922
5,541,2752512,1210,-2.577850975561887,0.019060414,1.073461651802063,0.519502580165863,0.2,-5.967050237208605,1.0885463953018188,0.001,0.23898239135742189,3.902246277499944,200,0.0032549434115026086
6,645,2883584,1219,-2.1974242739379406,0.020034272,1.0625537633895874,0.38675951957702637,0.2,-5.931447890028357,0.5814509987831116,0.001,0.234234619140625,3.751034464710392,210,0.0012503201126492058
7,747,3014656,1227,-2.3439034649636596,0.022981804,1.0611817836761475,0.4745662808418274,0.2,-5.8948682028800246,7.364927768707275,0.001,0.19579925537109374,5.116728408704512,220,0.0009479162353727589
8,850,3145728,1232,-2.3934034891426563,0.018596828,1.0579845905303955,0.5548682808876038,0.2,-5.878422906436026,0.968795895576477,0.001,0.17124786376953124,5.049758245423436,230,-0.0006692625082905579
9,954,3276800,1235,-2.088038864196278,0.02200644,1.055849313735962,0.46718233823776245,0.2,-5.874199157208205,0.7358649969100952,0.001,0.2253509521484375,4.827832880127244,240,0.0011300160983410024
10,1059,3407872,1236,-2.3012165408581495,0.02117862,1.0570623874664307,0.3272932171821594,0.2,-5.87639096211642,0.8837819695472717,0.001,0.28732986450195314,3.9260126333450898,250,0.004641716577862098
11,1165,3538944,1236,-2.1376349325291812,0.022633217,1.0457509756088257,0.26159805059432983,0.2,-5.882190938666463,0.7079477310180664,0.001,0.26480941772460936,3.4812523449538277,260,0.0028029321987560253
12,1273,3670016,1235,-5.031806598883122,0.025151955,1.0450512170791626,0.3928642272949219,0.2,-5.833034157752991,0.7092736959457397,0.001,0.23933486938476561,2.775192279287148,270,0.0024835481438458375
13,1379,3801088,1235,-3.5829680897295475,0.026847769,1.0330066680908203,0.2705002427101135,0.2,-5.8346235362812875,2.4872987270355225,0.001,0.19156265258789062,4.6706624354003,280,0.0012014875863314955
14,1498,3932160,1224,-1.8963061717804521,0.021969134,1.035093903541565,0.30258917808532715,0.2,-5.783679184317589,0.5589250922203064,0.001,0.21955947875976561,3.8859896316193043,290,0.0017336280337985955
15,1625,4063232,1209,-1.901866590604186,0.023240523,1.0317320823669434,0.3130345940589905,0.2,-5.815054962597787,0.44628772139549255,0.001,0.2662994384765625,2.9078614306868986,300,0.0032532603655454294
16,1756,4194304,1193,-1.8747889432124794,0.029456686,1.0290603637695312,0.33399516344070435,0.2,-5.783011234737932,0.5086031556129456,0.001,0.2206146240234375,4.130138643388636,310,0.0017139326874712423
