time/fps,rew_vec_envs,time/total_timesteps,time/time_elapsed,time/iterations,train/std,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/loss
788,-1.7588895434746519,65536,83,1,,,,,,,,,,,
940,-1.3392720732372254,131072,139,2,0.9937756061553955,0.001,-0.0022236108779907227,0.2,0.0009244745298929047,34.78768018370029,0.20981597900390625,10,-5.654365968331694,0.044770274,4.1158647537231445
984,0.22037299582734704,196608,199,3,0.9907383918762207,0.001,0.06351977586746216,0.2,0.000957841598392406,39.16866361973807,0.2275299072265625,20,-5.626869432255626,0.019053806,2.768409013748169
1003,-1.5707758353091776,262144,261,4,0.9769901037216187,0.001,0.24385809898376465,0.2,0.0016083660126241738,12.492325922253077,0.25771636962890626,30,-5.59384849332273,0.025111405,0.23299646377563477
1020,-0.3456570056732744,327680,321,5,0.9608339667320251,0.001,0.25067806243896484,0.2,0.0027086820926342627,5.128776396845933,0.26886749267578125,40,-5.546156918630004,0.019279888,0.08204192668199539
1036,-6.340101940673776,393216,379,6,0.9524620175361633,0.001,0.14128220081329346,0.2,-0.0034070829933625646,8.28125769047765,0.24937286376953124,50,-5.471552843600511,0.018635355,0.04501282423734665
1049,2.2304533077403903,458752,437,7,0.9431360960006714,0.001,0.1267595887184143,0.2,-0.0018949827940559771,18.243761101178826,0.16849365234375,60,-5.448545974120497,0.012732485,27.205812454223633
1055,1.0758275780826807,524288,496,8,0.9325745701789856,0.001,0.7668763548135757,0.2,-0.004460474385996349,0.41448432034812865,0.2583709716796875,70,-5.389848960191012,0.01999657,0.08247751742601395
1063,3.0481572253629565,589824,554,9,0.9262567758560181,0.001,0.8478442132472992,0.2,-0.00873175094184262,0.23003333189990371,0.25170745849609377,80,-5.358487144485116,0.020302089,0.06480176746845245
1068,3.3936676420271397,655360,613,10,0.9192478656768799,0.001,0.6479959487915039,0.2,-0.00747591976505646,0.3508418044191785,0.24902496337890626,90,-5.327878445759415,0.020958448,0.06841982901096344
1073,3.6029117964208126,720896,671,11,0.9126853346824646,0.001,0.21942037343978882,0.2,-0.004530956992311985,6.0223417080705985,0.22677154541015626,100,-5.304939505830407,0.019965576,22.08635902404785
1076,3.8823714873287827,786432,730,12,0.9002573490142822,0.001,0.6118960976600647,0.2,-0.006999074494160595,2.8378738963860086,0.2683013916015625,110,-5.2499013338238,0.02241716,0.21503104269504547
1078,5.216227538883686,851968,789,13,0.8933760523796082,0.001,0.22461402416229248,0.2,-0.0027734353745472616,13.6592431522673,0.2157501220703125,120,-5.209364589303732,0.021480199,0.535505473613739
1076,5.241701040882617,917504,852,14,0.8863008618354797,0.001,0.4393566846847534,0.2,-0.0028193060561534367,17.469783682050185,0.20383148193359374,130,-5.194231573864817,0.022710793,0.6503379940986633
1072,7.472940250765532,983040,916,15,0.8829163312911987,0.001,0.4262493848800659,0.2,-0.003928868186267209,5.406920311925933,0.31442108154296877,140,-5.146616221219301,0.027774531,0.2300637662410736
1066,7.104077950119972,1048576,983,16,0.8740214109420776,0.001,0.44568371772766113,0.2,-0.001968773213047825,11.786386871337891,0.25736083984375,150,-5.132232066616416,0.0331224,47.55414581298828
1064,6.770576859824359,1114112,1046,17,0.8702520728111267,0.001,0.6599008738994598,0.2,-0.005657069630251499,3.0857453061733393,0.28121337890625,160,-5.112460070475936,0.02668605,0.5445219278335571
1060,6.613289462402463,1179648,1112,18,0.868984580039978,0.001,0.5786273181438446,0.2,-0.004089616910459881,8.659980376856401,0.2586151123046875,170,-5.089168052747846,0.025819626,0.7402332425117493
1061,11.472344025969505,1245184,1173,19,0.8620284199714661,0.001,0.746932715177536,0.2,-0.007534523926733527,5.1036209556739776,0.32051239013671873,180,-5.069835280999541,0.03129675,0.882068932056427
1059,19.085432143881917,1310720,1236,20,0.8584033250808716,0.001,0.594691663980484,0.2,-0.007024751836252108,9.390977271366864,0.2295135498046875,190,-5.037938748672604,0.029008271,13.633160591125488
1058,10.511994194239378,1376256,1299,21,0.8479111790657043,0.001,0.5404676496982574,0.2,-0.00691369915039104,13.942842847388238,0.23641815185546874,200,-4.9907071247696875,0.025716785,2.1523568630218506
1057,9.717150056734681,1441792,1363,22,0.8402615189552307,0.001,0.744071900844574,0.2,-0.005388751218924881,4.947760121338069,0.3257354736328125,210,-4.975248961150646,0.03709386,0.8723657131195068
1055,14.639920316636562,1507328,1428,23,0.8276252746582031,0.001,0.7380333840847015,0.2,-0.007313683713437058,12.738112524151802,0.25885467529296874,220,-4.906456417962909,0.029347552,0.9924018979072571
1054,23.068352399626747,1572864,1491,24,0.8186562657356262,0.001,0.7556605190038681,0.2,-0.008151250046284985,14.59808370936662,0.268792724609375,230,-4.850861723721027,0.03598135,1.904283881187439
1050,10.872197799384594,1638400,1559,25,0.8132606744766235,0.001,0.7473455667495728,0.2,-0.009609400581030058,20.54126758184284,0.292974853515625,240,-4.8222291842103004,0.036018968,2.618844985961914
1045,15.8364023771137,1703936,1629,26,0.8087788820266724,0.001,0.792078047990799,0.2,-0.010724369616582408,23.023782500997186,0.24842376708984376,250,-4.792552657052875,0.03256645,3.5167362689971924
1044,17.9647823497653,1769472,1693,27,0.8041611909866333,0.001,0.8467594236135483,0.2,-0.009285927263044868,15.399327150359749,0.36543731689453124,260,-4.768862257525325,0.046073526,2.655513048171997
1041,28.912776383105665,1835008,1761,28,0.7947939038276672,0.001,0.7613735944032669,0.2,-0.009209001004091989,14.329055708833039,0.32790069580078124,270,-4.7425258141011,0.038867254,2.7976245880126953
1041,23.446021527051926,1900544,1825,29,0.7911526560783386,0.001,0.829015851020813,0.2,-0.00989519571976416,16.13887793775648,0.31999664306640624,280,-4.68943257033825,0.04112625,1.9487241506576538
1039,29.926723532378674,1966080,1891,30,0.785210371017456,0.001,0.7780885547399521,0.2,-0.009716913654301607,19.65499864052981,0.31815643310546876,290,-4.676807027310133,0.04496162,2.7890870571136475
1036,31.233455031644553,2031616,1959,31,0.7784754633903503,0.001,0.819603681564331,0.2,-0.010206405823191744,17.326782607287168,0.3173095703125,300,-4.637169830873608,0.04300958,2.6963281631469727
1034,52.47212828323245,2097152,2027,32,0.7758641839027405,0.001,0.8324496448040009,0.2,-0.012131814330132329,26.78724659308791,0.295367431640625,310,-4.614253904297948,0.040281184,3.6127607822418213
