ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
[1.00704156 1.50986327 0.01233718],[-0.12468323 -0.56165206 -1.09304427],[-0.50035618  0.11787464 -0.20136788],[ 0.52905186  1.99787479 16.16352109],[0.30346568 0.13381452 0.26799851 0.27559177],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.05307466 -0.04893039  0.0735006 ],[-0.12449009 -0.55509758 -1.09416923],[ 0.29967428  0.4048802  -0.09764442],[ -1.82233913   1.56198579 -16.43081998],16.105196921938568,0.8447913265790001
[0.49347792 0.99957247 0.19893799],[-0.12010645 -0.55272323 -1.09284481],[-0.54170575  0.12615436 -0.24274204],[ 0.52851856  2.00063193 16.15946021],[0.14141756 0.15319776 0.18991303 0.213605  ],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[ 0.01874159  0.13595493 -0.21638875],[-0.11973993 -0.54700105 -1.09267583],[ 0.38058007  0.42685355 -0.01443084],[ -1.67116991   1.48626558 -16.45232647],16.103639372883116,0.8393136148624505
[0.47222582 1.09015061 0.35851375],[-0.11724739 -0.54368555 -1.09091483],[-0.58165182  0.13497849 -0.29989521],[ 0.5279635   2.00347605 16.15485858],[0.08202518 0.16107092 0.1544703  0.17614986],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[ 0.06938614  0.05642007 -0.24034871],[-0.1174517  -0.5384647  -1.08864514],[0.46232371 0.44678533 0.07312879],[ -1.5181522    1.42587986 -16.46988046],16.101050621230865,0.8331812020588638
[0.5626912  1.23204022 0.43745264],[-0.11416322 -0.53333665 -1.0881729 ],[-0.61980207  0.14379587 -0.36423452],[ 0.52739409  2.00637717 16.14967003],[0.06076908 0.14940868 0.12126071 0.13840061],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[ 0.07659045  0.09127607 -0.16885741],[-0.11508358 -0.5287831  -1.0843136 ],[0.49006077 0.47513205 0.07469872],[ -1.34359319   1.35581426 -16.48813357],16.09825363014572,0.8266857008657532
[0.54872541 1.2249703  0.47476005],[-0.11087928 -0.52249789 -1.08508599],[-0.65625774  0.15235155 -0.43153068],[ 0.52681403  2.00932046 16.14387205],[0.18725693 0.08130724 0.14303427 0.15708144],[-0.06892717  0.35724929  0.49805292 -1.37136853],[False False False],[False False False],[False False False],[False False False],[ 0.00920568  0.10727869 -0.05932589],[-0.11209376 -0.5188677  -1.08042591],[0.52239931 0.50084251 0.08571039],[ -1.16096524   1.27967884 -16.50516514],16.09535761647542,0.8199935033785424
[0.36490373 1.03595737 0.48209303],[-0.10940856 -0.51331461 -1.08161826],[-0.69203033  0.16146775 -0.49632154],[ 0.52622091  2.0123142  16.13748106],[0.10031737 0.14902358 0.1274949  0.13466836],[-0.06892717  0.35724929  0.49805292 -1.37136853],[False False False],[False False False],[False False False],[False False False],[0.10600637 0.04166659 0.22183525],[-0.11137067 -0.51031091 -1.07812135],[0.60144204 0.51631415 0.17850162],[ -1.00549908   1.23014057 -16.51552117],16.091766442961973,0.8133216936632295
[0.46322354 1.10427505 0.47815413],[-0.10747971 -0.50391449 -1.07817883],[-0.72636488  0.17020662 -0.56459025],[ 0.52561718  2.0153489  16.13048252],[0.06676542 0.15623226 0.10981151 0.12124024],[-0.06892717  0.35724929  0.49805292 -1.37136853],[False False False],[False False False],[False False False],[False False False],[ 0.09012746 -0.47917727  0.32458917],[-0.1101976  -0.49766287 -1.07740136],[0.68284496 0.52967376 0.28165761],[ -0.84586987   1.17292486 -16.5239238 ],16.08708251394565,0.8064404799561471
[0.58497634 1.21930166 0.45686927],[-0.1043534  -0.49362584 -1.07500854],[-0.75878353  0.17796131 -0.63615892],[ 0.52500493  2.01841676 16.12286413],[0.05788577 0.14736745 0.09185796 0.10969296],[-0.06892717  0.35724929  0.49805292 -1.37136853],[False False False],[False False False],[False False False],[False False False],[ 0.03655586 -0.5231908   0.22982947],[-0.10747856 -0.48291098 -1.07633988],[0.71043963 0.55151525 0.29466493],[ -0.67131676   1.09768352 -16.53214991],16.082145697163618,0.7993957827788007
[0.67437626 1.29900857 0.4247619 ],[-0.10021565 -0.48260484 -1.07218095],[-0.78917987  0.18453939 -0.7109831 ],[ 0.52438613  2.02151049 16.11461407],[0.05314885 0.12659882 0.07135702 0.0821816 ],[-0.07551849  0.50969309  0.48092902 -1.40783381],[False False False],[False False False],[False False False],[False False False],[ 0.00488242 -0.29086622  0.09647698],[-0.10347365 -0.46877355 -1.07465059],[0.74149185 0.57090173 0.31997764],[ -0.48444641   1.00796836 -16.53928863],16.0770551341054,0.7921873556761317
[0.74084223 1.31873273 0.38307701],[-0.09530743 -0.47136941 -1.06971164],[-0.8177683   0.18982388 -0.78866527],[ 0.52376298  2.02462209 16.10571869],[0.05126634 0.11556305 0.06205515 0.07097536],[-0.07551849  0.50969309  0.48092902 -1.40783381],[False False False],[False False False],[False False False],[False False False],[-0.00371996  0.37564184 -0.0542414 ],[-0.09873068 -0.45903362 -1.07189642],[0.80790215 0.58301134 0.41982134],[ -0.29356153   0.9077722  -16.54377076],16.071257635736774,0.784814453449699
