time/iterations,time/fps,time/time_elapsed,rew_vec_envs,time/total_timesteps,train/value_loss,train/clip_range,train/approx_kl,train/learning_rate,train/std,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/loss
1,818,40,-399.2817611694336,32768,,,,,,,,,,,
2,948,69,-389.1252727508545,65536,216.98005487918854,0.2,0.008488324,0.001,0.991754412651062,-0.0002557039260864258,0.124755859375,10,-0.004806035120418528,-5.657227673381567,32.39975357055664
3,1014,96,-395.6626167297363,98304,139.13514763712882,0.2,0.0065199016,0.001,0.979454755783081,0.15603339672088623,0.0512969970703125,20,-0.005514208984459401,-5.613525895774364,30.317977905273438
4,1048,124,-370.8433303833008,131072,113.65845091938972,0.2,0.0066266786,0.001,0.9714378714561462,0.22088640928268433,0.0682830810546875,30,-0.006839719510389841,-5.576451273262501,39.55765914916992
5,1064,153,-385.7597427368164,163840,142.22022666931153,0.2,0.0069981203,0.001,0.9636557698249817,0.3285578489303589,0.0651336669921875,40,-0.007662432706274558,-5.542861445993185,46.187156677246094
6,1068,183,-381.6830005645752,196608,147.65486378073692,0.2,0.0062479284,0.001,0.9583265781402588,0.2333483099937439,0.0567474365234375,50,-0.006294176890514791,-5.517263871431351,30.694841384887695
7,1072,213,-381.4375457763672,229376,136.6004727780819,0.2,0.0076617515,0.001,0.9508273005485535,0.3511998653411865,0.0800384521484375,60,-0.008002148930245312,-5.488613440096378,38.968143463134766
8,1073,244,-335.95916771888733,262144,2421.4402819871902,0.2,0.008649981,0.001,0.9393783807754517,0.08932936191558838,0.0950469970703125,70,-0.006344401452952298,-5.447035298496485,24.237836837768555
9,1073,274,-366.5708866119385,294912,110.92795061767102,0.2,0.010008739,0.001,0.9300464987754822,0.41417258977890015,0.10501708984375,80,-0.00846502555796178,-5.396754775196314,24.675796508789062
10,1068,306,-349.89239025115967,327680,4224.077585613728,0.2,0.009556271,0.001,0.9279516935348511,0.09210896492004395,0.105914306640625,90,-0.0086153271029616,-5.3781490072608,28.187742233276367
11,1060,339,-372.53097915649414,360448,4715.488390696049,0.2,0.009491745,0.001,0.9201596975326538,0.0628206729888916,0.114788818359375,100,-0.0058218898797349535,-5.351381320506334,26.511680603027344
12,1051,374,-358.2792224884033,393216,87.18393734097481,0.2,0.014211962,0.001,0.9116050004959106,0.43894296884536743,0.156842041015625,110,-0.009962935484145419,-5.315269583463669,15.650421142578125
