time/total_timesteps,time/fps,rew_vec_envs,time/iterations,time/time_elapsed,train/clip_range,train/explained_variance,train/std,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/n_updates,train/loss
32768,715,-5201.979400634766,1,45,,,,,,,,,,,
65536,803,-5118.670471191406,2,81,0.2,-0.0003091096878051758,0.9880139827728271,-5.643380143493414,0.00753942,-0.0055111778663558654,0.0847991943359375,274288.48713378905,0.001,10,116516.203125
98304,839,-5132.282073974609,3,117,0.2,7.152557373046875e-07,0.9788147211074829,-5.600862403959036,0.0071138097,-0.005285148716211552,0.0753570556640625,249320.59030761718,0.001,20,106754.3359375
131072,859,-5066.516052246094,4,152,0.2,-3.5762786865234375e-07,0.9669319987297058,-5.555560782551765,0.007649475,-0.005198228459630627,0.07755126953125,225061.93930664062,0.001,30,93452.015625
163840,874,-5097.323272705078,5,187,0.2,0.0,0.9579747915267944,-5.518030767887831,0.0060092267,-0.004281982527027139,0.05858154296875,198915.82290039063,0.001,40,81574.7578125
196608,882,-5060.615661621094,6,222,0.2,0.0,0.9543577432632446,-5.494818368554116,0.006984824,-0.004482908374848193,0.0686492919921875,178696.46882324218,0.001,50,71868.421875
229376,895,-5101.535797119141,7,256,0.2,5.960464477539063e-08,0.9469980001449585,-5.470203387737274,0.005907392,-0.0034114321366359945,0.0479156494140625,156023.83989257814,0.001,60,64670.765625
262144,902,-4980.801666259766,8,290,0.2,0.0,0.9370079040527344,-5.432171718031168,0.006805007,-0.003981015401950572,0.062860107421875,140600.8709350586,0.001,70,55807.56640625
294912,908,-5075.697723388672,9,324,0.2,0.0,0.9282678961753845,-5.392524687200785,0.007814046,-0.004304773470357759,0.0755615234375,122127.04649658203,0.001,80,49507.52734375
327680,907,-5044.580047607422,10,361,0.2,0.0007523894309997559,0.9181833267211914,-5.347297493368387,0.008779715,-0.0046834152723022274,0.0828948974609375,107532.01004638671,0.001,90,42866.0234375
360448,902,-4996.791168212891,11,399,0.2,0.0,0.9108328819274902,-5.311537825316191,0.007756628,-0.004646782392592285,0.0807891845703125,95810.92733154297,0.001,100,37910.31640625
393216,907,-4950.561981201172,12,433,0.2,0.0,0.8950006365776062,-5.247496812790632,0.008993133,-0.0048022165701695485,0.0902191162109375,80971.49727783204,0.001,110,27654.736328125
425984,909,-5005.618194580078,13,468,0.2,0.0,0.8826421499252319,-5.197453229874372,0.008107213,-0.004602234784033499,0.0832000732421875,73054.69813842773,0.001,120,29669.17578125
458752,908,-4964.861907958984,14,505,0.2,0.0,0.8733755350112915,-5.1545428447425365,0.009274796,-0.004328286633972311,0.07349853515625,64672.99729614258,0.001,130,26054.3828125
491520,907,-4988.313201904297,15,541,0.2,0.0,0.8648368120193481,-5.108321300148964,0.009684784,-0.004727876973629463,0.095953369140625,58394.072430419925,0.001,140,24271.40625
524288,909,-4969.447937011719,16,576,0.2,0.0,0.8539717793464661,-5.055153034627438,0.010733798,-0.004628466192298219,0.0998992919921875,49814.91986694336,0.001,150,21632.58984375
557056,915,-5036.685546875,17,608,0.2,0.0,0.8427749872207642,-5.0091462604701515,0.012625949,-0.004705961263243808,0.12681884765625,48633.6984375,0.001,160,18396.029296875
589824,919,-4979.2152099609375,18,641,0.2,0.0,0.8306246995925903,-4.951459065824747,0.015293963,-0.0047892264614347365,0.1447174072265625,42932.123907470705,0.001,170,15538.1318359375
622592,923,-5066.275909423828,19,674,0.2,1.1920928955078125e-07,0.8284550905227661,-4.910145229101181,0.030749347,-0.003368916279578116,0.1967315673828125,44674.65597229004,0.001,180,23984.728515625
655360,926,-5031.360290527344,20,707,0.2,0.0,0.836724042892456,-4.917834586650133,0.12391265,0.00808391007303726,0.269342041015625,42751.2075592041,0.001,190,16499.296875
688128,925,-5036.153656005859,21,743,0.2,0.0,0.8669473528862,-5.0022867657244205,0.14145496,0.041000228506163694,0.4439361572265625,48187.10851745606,0.001,200,22910.162109375
720896,926,-5056.166656494141,22,778,0.2,0.03991854190826416,0.8668546676635742,-5.103288060426712,0.0010004397,-0.000993571188155329,7.01904296875e-05,37474.64883270264,0.001,210,15558.869140625
753664,926,-5042.753997802734,23,813,0.2,0.23864787817001343,0.8667410016059875,-5.102915727347136,0.0003833854,-0.00042137419914070053,0.0,32639.476252746583,0.001,220,9303.296875
786432,927,-5051.9637451171875,24,847,0.2,0.3419297933578491,0.8666881322860718,-5.102524910122156,0.00068098924,-0.000623267529590521,3.0517578125e-06,30957.757513427736,0.001,230,19127.880859375
819200,927,-5051.180969238281,25,883,0.2,0.4985581040382385,0.8666300773620605,-5.1022807620465755,0.0016880499,-0.0008096648860373534,0.000567626953125,30217.35641784668,0.001,240,15428.615234375
851968,928,-5069.039001464844,26,917,0.2,0.43124914169311523,0.866171658039093,-5.101155029982328,0.00044469192,-0.0004968059165548766,0.0,25914.68935394287,0.001,250,13582.2099609375
884736,928,-5009.6414794921875,27,952,0.2,0.596470445394516,0.8657045960426331,-5.099066041409969,0.0029617762,-0.0014570966399332975,0.0055389404296875,19006.41631164551,0.001,260,7650.32275390625
917504,929,-5069.379455566406,28,987,0.2,0.614395260810852,0.8647226095199585,-5.096010238677263,0.0030680348,-0.0013855002991476795,0.0036529541015625,17722.249307250975,0.001,270,3495.90966796875
950272,928,-5073.578460693359,29,1023,0.2,0.692728191614151,0.8633357286453247,-5.090489640831947,0.0033373577,-0.0016561326738155913,0.0080474853515625,14055.891315460205,0.001,280,5988.166015625
983040,929,-5044.955017089844,30,1057,0.2,0.6588123738765717,0.861620306968689,-5.083445767313242,0.0024429564,-0.0011819211424153764,0.002655029296875,13857.658544921875,0.001,290,3241.57421875
1015808,929,-5042.0997314453125,31,1093,0.2,0.6969863772392273,0.8599459528923035,-5.075416874885559,0.003769198,-0.0017318487440206808,0.010546875,11219.665334701538,0.001,300,4526.19970703125
1048576,928,-5055.646911621094,32,1128,0.2,0.7034444510936737,0.8567211627960205,-5.064255119115114,0.0031829956,-0.001867651502470835,0.01107177734375,10341.12706565857,0.001,310,2571.12353515625
1081344,928,-5059.25927734375,33,1164,0.2,0.7134619653224945,0.8532190918922424,-5.048648029565811,0.0040762047,-0.002730193909155787,0.0201690673828125,9512.947245025634,0.001,320,2249.9248046875
1114112,928,-5041.748016357422,34,1200,0.2,0.7119347155094147,0.8483256101608276,-5.028784547001123,0.004237624,-0.0027710267018846934,0.021240234375,9534.542622756959,0.001,330,2096.576904296875
1146880,927,-5076.837371826172,35,1236,0.2,0.7057361602783203,0.8468047976493835,-5.0132478922605515,0.003602818,-0.0027067082288340315,0.0229827880859375,8641.745962142944,0.001,340,1298.586669921875
