time/iterations,rew_vec_envs,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/n_updates,train/loss,train/learning_rate,train/explained_variance,train/value_loss,train/std,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss
1,-2054.341239929199,540,5046272,60,,,,,,,,,,,
2,-2092.0613861083984,576,5079040,113,0.0478424072265625,1540,2760.976318359375,0.001,-1.6270866394042969,25089.41860733032,0.5512814521789551,0.2,-3.2706460151821375,0.006200727,-0.00565593721694313
3,-2214.714401245117,592,5111808,165,0.078485107421875,1550,2240.321044921875,0.001,-0.18023252487182617,10626.03468017578,0.5501037836074829,0.2,-3.2647391051054,0.008643762,-0.008737234234286007
4,-2186.6407775878906,599,5144576,218,0.0921600341796875,1560,2105.47607421875,0.001,0.14686846733093262,8009.737166595459,0.5465518236160278,0.2,-3.2504232205450534,0.0092122555,-0.009039437803585315
5,-2186.635299682617,602,5177344,272,0.096331787109375,1570,1628.3956298828125,0.001,0.29270827770233154,7403.685523223877,0.5434802174568176,0.2,-3.225355564802885,0.010747451,-0.009614192038134206
6,-2171.1065521240234,604,5210112,325,0.0989227294921875,1580,1448.2623291015625,0.001,0.5240917801856995,6142.643851852417,0.5412194132804871,0.2,-3.2036500576883555,0.01131151,-0.009114177085575648
7,-2161.340606689453,606,5242880,378,0.10426025390625,1590,1503.22119140625,0.001,0.5444628596305847,6613.024493408203,0.5357838869094849,0.2,-3.1705935921519997,0.010772033,-0.01012146472276072
8,-1987.5688247680664,607,5275648,431,0.11163330078125,1600,1132.994384765625,0.001,0.6582921743392944,5620.520954704285,0.5333932638168335,0.2,-3.1466091673821213,0.011383807,-0.010603742927924032
9,-1927.296371459961,608,5308416,484,0.102508544921875,1610,1184.5791015625,0.001,0.6624062657356262,5777.615537643433,0.5302212238311768,0.2,-3.123658649995923,0.010142343,-0.009955248804908478
10,-2071.178581237793,610,5341184,537,0.0929962158203125,1620,1270.1353759765625,0.001,0.6877653002738953,6217.307958221436,0.5269484519958496,0.2,-3.0992472246289253,0.009823015,-0.010061368543392745
11,-2356.7764167785645,611,5373952,589,0.09967041015625,1630,1840.322509765625,0.001,0.7254919111728668,6285.277698898315,0.5257257223129272,0.2,-3.08501522988081,0.010994181,-0.009840451967465923
12,-2328.4237213134766,613,5406720,641,0.1087127685546875,1640,1330.681640625,0.001,0.7452008128166199,5604.058646583557,0.5211718082427979,0.2,-3.056662252545357,0.011043074,-0.00969324536199565
13,-2324.4514236450195,612,5439488,695,0.1031341552734375,1650,1092.0858154296875,0.001,0.7491020262241364,5246.4964757919315,0.5174226760864258,0.2,-3.0248679518699646,0.011339029,-0.009883245988021372
