rew_vec_envs,time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/clip_range,train/explained_variance,train/std,train/loss,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/n_updates,train/entropy_loss
-2.2420021444559097,1,254,64,16384,,,,,,,,,,,
-2.4265069365501404,2,264,123,32768,0.062371826171875,0.2,-1.199620008468628,0.999574601650238,-0.012037631124258041,0.0001,-0.0034369610269095576,0.006067855,0.019890203715476673,10,-5.675175633281469
-1.797886773943901,3,264,185,49152,0.064794921875,0.2,0.6417349576950073,0.9907951354980469,0.005080635193735361,0.0001,-0.003598809300819994,0.0067147035,0.011186523664946435,20,-5.654141999408603
-2.1951200515031815,4,264,247,65536,0.06103515625,0.2,0.2557358145713806,0.9856286644935608,-0.003381835762411356,0.0001,-0.0034344763291301204,0.0060051074,0.008137766712388838,30,-5.626902133598923
-2.1432070285081863,5,266,307,81920,0.065765380859375,0.2,0.14360946416854858,0.9825150966644287,-0.002270256169140339,0.0001,-0.003309349262690375,0.005962325,0.00677574245564756,40,-5.611250106245279
-1.9192160367965698,6,267,366,98304,0.076336669921875,0.2,0.1583019495010376,0.9796004295349121,-0.02337966486811638,0.0001,-0.003971767000621185,0.0071091773,0.007013352424473851,50,-5.598088707402349
-1.8913208693265915,7,268,427,114688,0.06275634765625,0.2,-0.04721510410308838,0.977161705493927,0.007318294607102871,0.0001,-0.0033962184279516805,0.006822218,0.006428072248127137,60,-5.588283545523882
-1.7704607993364334,8,267,490,131072,0.06875,0.2,0.0038535594940185547,0.9760838747024536,-0.004425551742315292,0.0001,-0.0032113238719830408,0.006689089,0.006449277540923504,70,-5.581060511618853
-2.1080015748739243,9,263,558,147456,0.083355712890625,0.2,0.05238354206085205,0.9739599227905273,0.00817552674561739,0.0001,-0.00367165603884132,0.007619465,0.005736434458049189,80,-5.573460169881582
-1.9957006722688675,10,261,627,163840,0.06949462890625,0.2,-0.011029720306396484,0.9682651162147522,-0.001159984152764082,0.0001,-0.00294812534320954,0.0069027487,0.007094661890732823,90,-5.555827097967267
-2.1661168038845062,11,259,695,180224,0.0750244140625,0.2,0.015496253967285156,0.9691986441612244,0.00492384098470211,0.0001,-0.003005057200152805,0.007104112,0.0062102512340061365,100,-5.54848199672997
-1.8953175097703934,12,253,775,196608,0.08311767578125,0.2,0.05650907754898071,0.9665958285331726,-0.005572142545133829,0.0001,-0.004267878388054669,0.0068762684,0.006181409431155771,110,-5.545119429379701
-1.7392065674066544,13,251,848,212992,0.08577880859375,0.2,0.050918757915496826,0.9617190361022949,-0.02254064753651619,0.0001,-0.004382325641745411,0.007890197,0.00570562591219641,120,-5.526703226193786
-1.7282143235206604,14,247,926,229376,0.09063720703125,0.2,0.030032336711883545,0.9553335905075073,-0.01315417792648077,0.0001,-0.004037534396229603,0.0076535125,0.006066110723622842,130,-5.502423633262515
-2.046787068247795,15,246,995,245760,0.079583740234375,0.2,0.08304488658905029,0.9573243260383606,0.0009196477476507425,0.0001,-0.0038493026579089927,0.006932437,0.005872906136937672,140,-5.498326376453042
-1.6002030819654465,16,243,1077,262144,0.08790283203125,0.2,0.11424028873443604,0.9520394802093506,-0.009550279006361961,0.0001,-0.0043627060818835165,0.007203488,0.005687614214730274,150,-5.487730230018497
-1.808403104543686,17,239,1160,278528,0.093682861328125,0.2,0.08003783226013184,0.9523860216140747,-0.013075455091893673,0.0001,-0.004819463902276766,0.0075723063,0.0056673949624382654,160,-5.479091274365783
-1.84548419713974,18,238,1234,294912,0.097882080078125,0.2,0.0672263503074646,0.94737708568573,0.012218976393342018,0.0001,-0.005159043996900437,0.008040786,0.005578858670924091,170,-5.467016891017556
-1.6151809394359589,19,237,1309,311296,0.09378662109375,0.2,0.09009784460067749,0.9371198415756226,-0.015136174857616425,0.0001,-0.003369340411336452,0.008919749,0.005595502412506903,180,-5.432933676242828
-1.7180391550064087,20,236,1383,327680,0.09014892578125,0.2,0.05377441644668579,0.9373308420181274,0.005844256840646267,0.0001,-0.004950319368435885,0.007506504,0.005405871465154632,190,-5.416118841245771
-1.6572059988975525,21,236,1457,344064,0.09537353515625,0.2,0.06806182861328125,0.9321520924568176,0.0032934555783867836,0.0001,-0.005311401789913362,0.008328539,0.005938236823203625,200,-5.405769068002701
-1.8127599358558655,22,235,1530,360448,0.10208740234375,0.2,0.11484211683273315,0.922283411026001,0.006685419008135796,0.0001,-0.005297190355850035,0.008024823,0.0054024094288251945,210,-5.3687048651278015
-1.7214677333831787,23,235,1600,376832,0.089727783203125,0.2,0.10132408142089844,0.9184869527816772,0.0070195747539401054,0.0001,-0.004044128198074759,0.007399397,0.005560699363195453,220,-5.342823022603989
-1.6380839794874191,24,235,1672,393216,0.096484375,0.2,0.12690472602844238,0.9142462015151978,-0.006141834892332554,0.0001,-0.005100271156152303,0.008469798,0.005155099606236035,230,-5.324337595328688
-1.6308683678507805,25,234,1745,409600,0.101788330078125,0.2,0.1347038745880127,0.9093073606491089,0.0072745149955153465,0.0001,-0.00558613457460524,0.008129513,0.005569782046040928,240,-5.302836004644632
-1.3902046233415604,26,234,1818,425984,0.107879638671875,0.2,0.15169352293014526,0.9029357433319092,-0.004183836746960878,0.0001,-0.005120066229028453,0.009718895,0.005039012575070956,250,-5.277588966488838
-1.601564183831215,27,234,1889,442368,0.1077880859375,0.2,0.10363966226577759,0.8935180902481079,-0.031891852617263794,0.0001,-0.005826475325193314,0.009388318,0.005783816033545009,260,-5.242662706226111
-1.5673900097608566,28,234,1959,458752,0.09298095703125,0.2,0.04988068342208862,0.8859397172927856,0.006166211329400539,0.0001,-0.0036421294784304338,0.007872364,0.005006273410162976,270,-5.2038635242730376
-1.4734072089195251,29,234,2028,475136,0.093994140625,0.2,0.06781387329101562,0.8803687691688538,-0.005961752962321043,0.0001,-0.004769632132774859,0.008365152,0.00503385030588106,280,-5.17589029148221
-1.6313553005456924,30,234,2099,491520,0.110791015625,0.2,0.07661724090576172,0.8742678165435791,-0.007830844260752201,0.0001,-0.005597129566922376,0.0090656765,0.004952016613970045,290,-5.150663426145911
-1.8148698955774307,31,234,2165,507904,0.111639404296875,0.2,0.13587933778762817,0.8656253218650818,-0.011007357388734818,0.0001,-0.006208376518952718,0.0097022345,0.004856561604356102,300,-5.114959237352013
-1.7921137511730194,32,234,2232,524288,0.101263427734375,0.2,0.14949554204940796,0.8597140312194824,0.0008903136476874352,0.0001,-0.004947938018631248,0.00874171,0.004883629123287392,310,-5.082948480546475
-1.7693926692008972,33,235,2298,540672,0.10699462890625,0.2,0.16677266359329224,0.8532518148422241,-0.009976844303309917,0.0001,-0.005490789628129278,0.010093543,0.004564133797975956,320,-5.050056719779969
-1.5586456507444382,34,235,2366,557056,0.0947509765625,0.2,0.08686840534210205,0.8523356318473816,-0.014119931496679783,0.0001,-0.004387518011753855,0.0077396077,0.00454871653482769,330,-5.036985037103295
-1.6331364065408707,35,235,2433,573440,0.104052734375,0.2,0.11391186714172363,0.8478901386260986,-0.027924418449401855,0.0001,-0.005677983228179073,0.009394627,0.004738235655713652,340,-5.022730231285095
-1.5020521506667137,36,235,2502,589824,0.112493896484375,0.2,0.07437586784362793,0.8484677076339722,-0.01218169555068016,0.0001,-0.006907772390695755,0.010047805,0.004732169546514342,350,-5.01741941832006
-1.6645157933235168,37,235,2570,606208,0.104736328125,0.2,0.2152794599533081,0.843009352684021,-0.010647011920809746,0.0001,-0.005939187235708232,0.00874442,0.0045676884266868,360,-5.002061387524009
-1.5860955342650414,38,235,2640,622592,0.10029296875,0.2,0.20679599046707153,0.8348561525344849,-0.009885097853839397,0.0001,-0.004570896169025218,0.009583674,0.004674949879336055,370,-4.968709358945489
