time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rew_vec_envs,train/explained_variance,train/approx_kl,train/loss,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/std,train/clip_fraction,train/value_loss,train/learning_rate
49,331,1,16384,-1.3985505253076553,,,,,,,,,,,
97,335,2,32768,-1.3779174983501434,-2.103400945663452,0.0062816935,0.0031865171622484922,-5.6545837879180905,10,0.2,-0.00447742434371321,0.9910899996757507,0.062799072265625,0.0057547959175280996,0.0001
147,333,3,49152,-1.2150991261005402,0.23345720767974854,0.0064907237,-0.012288039550185204,-5.632604238763451,20,0.2,-0.0033928824133909073,0.9876846075057983,0.054364013671875,0.004625050373215344,0.0001
195,335,4,65536,-1.1870758309960365,0.27254927158355713,0.0073670447,0.004945756867527962,-5.6093983966857195,30,0.2,-0.003276565866326564,0.9807750582695007,0.079913330078125,0.005020742982924276,0.0001
241,339,5,81920,-0.9857964366674423,0.268002450466156,0.008193702,0.0074888127855956554,-5.581257794424891,40,0.2,-0.003960804985035793,0.9742732048034668,0.088897705078125,0.004283502528869576,0.0001
285,344,6,98304,-0.9699886739253998,0.18278229236602783,0.008025094,-0.002468856517225504,-5.561699668318033,50,0.2,-0.0029019901649007807,0.9706317186355591,0.0919921875,0.004120595000767935,0.0001
328,349,7,114688,-1.0838243812322617,0.1928897500038147,0.009488264,-0.01233877893537283,-5.530820808559656,60,0.2,-0.0036200867538354943,0.9592466950416565,0.11087646484375,0.003758836393171805,0.0001
369,354,8,131072,-1.0654618367552757,0.2966207265853882,0.00940092,0.002702348632737994,-5.4870048623532055,70,0.2,-0.003802700240339618,0.950677216053009,0.107379150390625,0.003719357065983786,0.0001
408,361,9,147456,-0.8550680615007877,0.38743484020233154,0.008173352,-0.009436989203095436,-5.451997259631753,80,0.2,-0.0036481579605606384,0.9429056644439697,0.105712890625,0.0030792489901614317,0.0001
445,367,10,163840,-0.7427923139184713,0.42458397150039673,0.008826351,0.014012802392244339,-5.421159048750996,90,0.2,-0.004408598084773984,0.9358888864517212,0.11011962890625,0.0030263325877967874,0.0001
482,373,11,180224,-0.7681699395179749,0.5232145488262177,0.008571219,-0.006309491582214832,-5.390114238485694,100,0.2,-0.0042726306543045215,0.9284646511077881,0.10836181640625,0.0027554831508041387,0.0001
516,380,12,196608,-0.5290116118267179,0.5513895153999329,0.00946244,-0.014913726598024368,-5.365743203833699,110,0.2,-0.005118074087113201,0.9248851537704468,0.12060546875,0.002458763548884235,0.0001
549,387,13,212992,-0.309806794160977,0.5221162438392639,0.007575144,-0.015501324087381363,-5.34946342818439,120,0.2,-0.003969182604669186,0.9211552739143372,0.094732666015625,0.0023589010200339546,0.0001
581,394,14,229376,-0.54441337287426,0.5462889075279236,0.0071701836,-0.010945486836135387,-5.333971728011965,130,0.2,-0.002906037248612847,0.9183679223060608,0.092291259765625,0.002140253701554684,0.0001
613,400,15,245760,-0.2931769638089463,0.6103920936584473,0.008798871,-0.009293735958635807,-5.307425263896585,140,0.2,-0.003896343209999031,0.9106942415237427,0.1010986328125,0.002024235020371634,0.0001
646,405,16,262144,-0.31624354468658566,0.5973780155181885,0.008522994,0.0011362633667886257,-5.292457161843776,150,0.2,-0.004288586632537772,0.9110795259475708,0.103179931640625,0.0018215666021205834,0.0001
677,411,17,278528,-0.2124546025879681,0.4843960404396057,0.009358348,0.0057926904410123825,-5.308178720995784,160,0.2,-0.002944192517497868,0.9169268608093262,0.10963134765625,0.0019082329961747746,0.0001
707,416,18,294912,-0.10700422176159918,0.6210773587226868,0.00943981,0.0029418296180665493,-5.31674189902842,170,0.2,-0.0034965549981279763,0.9160526394844055,0.121099853515625,0.0015214486126524207,0.0001
737,421,19,311296,-0.19660949823446572,0.6166434288024902,0.009604849,-0.011995204724371433,-5.31619967520237,180,0.2,-0.0032578066684436635,0.9163257479667664,0.123651123046875,0.0014303829900427444,0.0001
