aviary_steps,physics_steps,step_count,agent_id,elapsed_time,rew_closing_distance,rew_close_to_target,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,rel_vel_magnitudade,approaching,chasing,in_range,in_cone,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[is_success],info[mission_complete],info[out_of_bounds],info[timeover]
11,22,0,0,0.09166666666666666,0.03563413767760082,0.009306301494227025,0.0,0.0,0.0,0.04494043917182784,1.3129502502338075,0.6728116953510217,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,24,0,0,0.1,0.00478091205978437,0.009307681904400674,0.0,0.0,0.0,0.05902903313601289,1.2956744886832017,0.735101884394325,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,26,0,0,0.10833333333333334,0.005760401433319018,0.009309345670168025,0.0,0.0,0.0,0.07409878023949994,1.2652794994606837,0.8013243555406641,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,28,0,0,0.11666666666666667,0.006876589321382909,0.009311332601372482,0.0,0.0,0.0,0.09028670216225533,1.2349790176626831,0.8697343194551859,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,30,1,0,0.125,0.00807896968910704,0.009313668033865744,0.0,0.0,0.0,0.10767933988522811,1.2058838466346988,0.9403324328563739,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,32,1,0,0.13333333333333333,0.009355747569237849,0.009316374015910222,0.0,0.0,0.0,0.12635146147037618,1.1788813231170248,1.0128578798730072,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17,34,1,0,0.14166666666666666,0.010632541548096341,0.009319451197231631,0.0,0.0,0.0,0.14630345421570415,1.15584291979942,1.0860204458988338,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,36,1,0,0.15,0.011891882279446264,0.009322895255495857,0.0,0.0,0.0,0.16751823175064628,1.136409877158033,1.1593450910419485,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,38,2,0,0.15833333333333333,0.01311493886563575,0.009326696481261788,0.0,0.0,0.0,0.1899598670975438,1.120583218132122,1.2320365297469242,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,40,2,0,0.16666666666666666,0.01426289240224854,0.009330833949337319,0.0,0.0,0.0,0.21355359344912966,1.1082315926086697,1.30331811713443,1,1,0,0,0,0,0,0,0,0,0,0,0,0
