time/time_elapsed,rew_vec_envs,time/total_timesteps,time/fps,time/iterations,train/clip_range,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/std,train/explained_variance,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/learning_rate
27,13.55649745464325,16384,600,1,,,,,,,,,,,
55,18.10841941833496,32768,588,2,0.2,0.05365704745054245,-5.662576791271567,10,0.06292724609375,0.9949008822441101,-0.1987614631652832,0.0060174037,0.17712686157319696,-0.003724542104828288,0.0001
83,20.500104904174805,49152,585,3,0.2,0.16759684681892395,-5.633150045573712,20,0.0552734375,0.985121488571167,0.3057684898376465,0.005741201,0.2943217351101339,-0.0030611004642196347,0.0001
112,23.937187552452087,65536,582,4,0.2,0.12795484066009521,-5.612982293963432,30,0.07508544921875,0.9834911823272705,0.5597279965877533,0.0072173243,0.3146699047763832,-0.004337096750259661,0.0001
141,20.73518943786621,81920,580,5,0.2,0.27869361639022827,-5.605327258631587,40,0.0532958984375,0.9819518327713013,0.06999343633651733,0.0060368343,19.251437702099793,-0.002489418001641752,0.0001
170,17.428523659706116,98304,577,6,0.2,0.5805794596672058,-5.589326195791363,50,0.070550537109375,0.9766058921813965,0.6397628784179688,0.0067638024,0.5950218615587801,-0.002686831007576984,0.0001
199,18.30903673171997,114688,575,7,0.2,0.3761189877986908,-5.568313175067305,60,0.087164306640625,0.9717198014259338,0.6707741320133209,0.0073115057,0.7464616777957417,-0.0042737482537631875,0.0001
227,20.622504830360413,131072,574,8,0.2,0.28024035692214966,-5.550588807463646,70,0.0615966796875,0.9677002429962158,0.6621218621730804,0.0055252705,0.8895282304380089,-0.0019272747348622944,0.0001
256,22.876973867416382,147456,574,9,0.2,0.6446121335029602,-5.547143676877022,80,0.08140869140625,0.9687812328338623,0.6259753108024597,0.0076114573,0.8986010031541809,-0.0027667379479680678,0.0001
286,27.2178373336792,163840,571,10,0.2,0.5230494737625122,-5.541404121369124,90,0.09649658203125,0.9656298160552979,0.5381875336170197,0.008211752,0.9630849997978658,-0.003643542497047747,0.0001
316,24.71554136276245,180224,569,11,0.2,0.7016910314559937,-5.544038023427129,100,0.085723876953125,0.9694366455078125,0.2409002184867859,0.0072559956,5.557413312164135,-0.0029500603013730142,0.0001
