step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
0,0,[ 1.03920059  1.66573228 -0.30743285],[-0.23399379 -0.604673   -0.99428756],[-0.52764844  0.18945482 -0.20060232],[2.84179154 2.91836958 5.76177971],[0.34289778 0.19226143 0.13185223 0.13877142],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.23399379 -0.604673   -0.99428756],[ 0.48133399  0.35043561 -0.00773045],[ 2.51278559  2.5377835  -4.24985839],5.551192017705211,0.8404561261986064
0,0,[ 0.51137481  1.05089516 -0.84817989],[-0.22366217 -0.5967795  -1.00398842],[-0.57308219  0.20051664 -0.24635476],[2.84138177 2.92117979 5.7572659 ],[0.23728015 0.25583454 0.07830761 0.08580727],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.22366217 -0.5967795  -1.00398842],[0.532891   0.3806812  0.02073153],[ 2.54257698  2.53072892 -4.23618769],5.55108752581227,0.8344774244968233
0,0,[ 0.64240614  1.13620032 -1.32324365],[-0.2107375  -0.59008557 -1.01832572],[-0.61845468  0.20782024 -0.30072831],[2.84095458 2.92408746 5.75220501],[0.13792963 0.24232062 0.05871709 0.07427243],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.2107375  -0.59008557 -1.01832572],[0.58399697 0.4142504  0.05879712],[ 2.5603785   2.53417504 -4.22302784],5.5508148401738655,0.8281589979899061
0,0,[ 0.91029873  1.37356177 -1.65321504],[-0.19358112 -0.58192409 -1.03649718],[-0.66278163  0.2107732  -0.36462136],[2.84051636 2.92705713 5.74655037],[0.07968966 0.17978563 0.05332531 0.07326267],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.19358112 -0.58192409 -1.03649718],[0.63390892 0.45069223 0.10811825],[ 2.57889374  2.53633687 -4.20980627],5.550330303705314,0.8214727075584585
1,0,[ 0.93954605  1.45990091 -1.87077869],[-0.17436441 -0.5728183  -1.05693654],[-0.70575777  0.20979247 -0.43381512],[2.84007135 2.93006531 5.74027067],[0.1596666  0.12815959 0.05095603 0.17000461],[ 0.3822087   0.77213573 -1.59942448 -1.97283792],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.17436441 -0.5728183  -1.05693654],[0.68019946 0.49028604 0.16507806],[ 2.59697237  2.53994589 -4.19553714],5.549605621362553,0.8145422638354841
1,0,[ 0.6695403   1.46066145 -2.03030808],[-0.15662733 -0.56352536 -1.07875943],[-0.74749061  0.20636594 -0.50259036],[2.83961811 2.93311819 5.73337687],[0.09914713 0.09545445 0.05020029 0.12369608],[ 0.3822087   0.77213573 -1.59942448 -1.97283792],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.15662733 -0.56352536 -1.07875943],[0.72075922 0.53275842 0.22494622],[ 2.61183465  2.55636548 -4.17502776],5.548652230307545,0.8075918736928585
1,0,[ 0.54017156  1.42358077 -2.17637457],[-0.13972353 -0.55434142 -1.10165891],[-0.78796766  0.20040873 -0.57611659],[2.8391603  2.93619702 5.72584255],[0.0706548  0.06989729 0.04827164 0.11643246],[ 0.3822087   0.77213573 -1.59942448 -1.97283792],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.13972353 -0.55434142 -1.10165891],[0.75814898 0.57726107 0.29145635],[ 2.62222556  2.58153524 -4.15135918],5.547447536853456,0.8003522692155948
1,0,[ 0.43382032  1.39168574 -2.31421106],[-0.12339429 -0.54527969 -1.12555064],[-0.82717647  0.19192587 -0.65130392],[2.83869951 2.93929398 5.71765679],[0.06446468 0.05733781 0.05948855 0.13727803],[ 0.3822087   0.77213573 -1.59942448 -1.97283792],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.12339429 -0.54527969 -1.12555064],[0.79048418 0.62408557 0.36180825],[ 2.62790868  2.61386227 -4.12550054],5.545983659706321,0.7929834943782426
2,0,[ 0.37343219  1.37647152 -2.47462965],[-0.1074624  -0.53615262 -1.15051446],[-0.86498789  0.18086922 -0.72683342],[2.83823569 2.94240954 5.70882135],[0.05326146 0.12035179 0.0739371  0.07708631],[ 0.45710611  0.77972275 -1.82447135 -2.18410873],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.1074624  -0.53615262 -1.15051446],[0.81665543 0.67314997 0.43491098],[ 2.62924114  2.65274489 -4.09742641],5.544264387124268,0.7855795239344512
2,0,[ 0.43460061  1.35920482 -2.72581497],[-0.09024766 -0.52703591 -1.17741941],[-0.90148196  0.16560706 -0.80291672],[2.83776891 2.94554374 5.69933727],[0.08628658 0.10401858 0.05971087 0.11114336],[ 0.45710611  0.77972275 -1.82447135 -2.18410873],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.09024766 -0.52703591 -1.17741941],[0.83470441 0.72607186 0.51074345],[ 2.62378278  2.69493781 -4.0706371 ],5.542293049751858,0.778148833434015
2,0,[ 0.36314272  1.3458291  -2.99377527],[-0.07247914 -0.51781434 -1.2065303 ],[-0.93652752  0.1463444  -0.87899146],[2.83729865 2.94869922 5.68921001],[0.0916427  0.07537614 0.05487779 0.1379001 ],[ 0.45710611  0.77972275 -1.82447135 -2.18410873],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.07247914 -0.51781434 -1.2065303 ],[0.84381083 0.78233284 0.58912229],[ 2.61078329  2.74432454 -4.04288835],5.540076964018092,0.7707279434385658
2,0,[ 0.18107529  1.3696808  -3.25739172],[-0.05514705 -0.50822228 -1.23785132],[-0.96977968  0.12385558 -0.95491765],[2.83682453 2.95187804 5.6784443 ],[0.0896475  0.0575633  0.06819401 0.1795636 ],[ 0.45710611  0.77972275 -1.82447135 -2.18410873],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.05514705 -0.50822228 -1.23785132],[0.84383814 0.84037119 0.67036857],[ 2.5905037   2.80453893 -4.01112445],5.537622902995783,0.7633368901104903
3,0,[-0.0678898   1.4478806  -3.51427542],[-0.03910111 -0.49767743 -1.2712623 ],[-1.00048678  0.09912319 -1.03038984],[2.83634529 2.95508618 5.66705208],[0.07995931 0.05286033 0.09181741 0.18933188],[ 0.11061037  0.57831442 -2.56475973 -2.30978179],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.03910111 -0.49767743 -1.2712623 ],[0.83452121 0.89786577 0.75492638],[ 2.56466944  2.87793641 -3.9718453 ],5.534943754895631,0.7560381149635073
3,0,[-0.29307539  1.51825825 -3.79033741],[-0.02428231 -0.48613351 -1.30686575],[-1.02830328  0.0722535  -1.10626732],[2.83586037 2.9583269  5.65504081],[0.07376723 0.05180189 0.12675635 0.19151831],[ 0.11061037  0.57831442 -2.56475973 -2.30978179],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.02428231 -0.48613351 -1.30686575],[0.81571222 0.95364499 0.84358189],[ 2.53212839  2.96411595 -3.92503551],5.532048558613854,0.7487896964135422
