time/iterations,rew_vec_envs,time/total_timesteps,time/fps,time/time_elapsed,train/entropy_loss,train/clip_range,train/approx_kl,train/learning_rate,train/std,train/explained_variance,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_fraction,train/value_loss
1,16.259635150432587,16384,647,25,,,,,,,,,,,
2,20.910142302513123,32768,745,43,-5.640918207168579,0.2,0.010262085,0.001,0.9885931611061096,-0.06563878059387207,-0.009361207809706684,0.011692894622683525,10,0.100494384765625,0.1445317403646186
3,19.399855375289917,49152,777,63,-5.609261766076088,0.2,0.010919413,0.001,0.9784903526306152,0.03899848461151123,-0.002239944355824264,3.9932053089141846,20,0.09814453125,16.205720543581993
4,16.73702073097229,65536,798,82,-5.568679368495941,0.2,0.008541926,0.001,0.9686561822891235,0.8211090415716171,-0.00755121917463839,0.08800854533910751,30,0.087042236328125,0.2906541352160275
5,19.976959943771362,81920,812,100,-5.541001775860787,0.2,0.00688409,0.001,0.9648151397705078,0.0962294340133667,-0.004246629299450433,39.90513229370117,40,0.084674072265625,65.64596999380737
6,27.479538083076477,98304,818,120,-5.526376828551292,0.2,0.011443486,0.001,0.9611798524856567,0.7613075971603394,-0.011037282375036738,0.16358011960983276,50,0.11571044921875,0.4107128964737058
7,25.86719787120819,114688,819,139,-5.50486887395382,0.2,0.010837937,0.001,0.9557957053184509,0.7157092392444611,-0.011897540153586305,0.18970687687397003,60,0.127239990234375,0.49664447978138926
8,19.17875027656555,131072,815,160,-5.4932985484600065,0.2,0.011309709,0.001,0.954490602016449,0.6937267184257507,-0.012069106781564188,0.26285240054130554,70,0.148687744140625,0.704092969559133
9,24.634402751922607,147456,817,180,-5.464152973890305,0.2,0.013828204,0.001,0.9423903226852417,0.34239888191223145,-0.00780551314674085,0.30170950293540955,80,0.129010009765625,2.3997866602614524
10,21.39212918281555,163840,815,200,-5.423110967874527,0.2,0.011570452,0.001,0.9369536638259888,0.7373629808425903,-0.01345507483347319,0.3228500485420227,90,0.141290283203125,0.8393258094787598
11,30.217557907104492,180224,812,221,-5.411650717258453,0.2,0.00904498,0.001,0.9351070523262024,0.09661155939102173,-0.005564361927099526,11.075018882751465,100,0.1124267578125,59.01000707075
12,25.77759599685669,196608,808,243,-5.382500085234642,0.2,0.019550983,0.001,0.92563396692276,0.6572765111923218,-0.01706151641556062,0.3749791979789734,110,0.20770263671875,0.9554255325347185
13,26.770775318145752,212992,806,264,-5.350627383589744,0.2,0.013179656,0.001,0.9203760623931885,0.3866232633590698,-0.00857416110848135,0.2897314727306366,120,0.14197998046875,2.228905888274312
