time/iterations,time/fps,time/time_elapsed,rew_vec_envs,time/total_timesteps,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/std,train/loss,train/n_updates
1,605,27,27.161360263824463,16384,,,,,,,,,,,
2,684,47,53.754741191864014,32768,0.009313848,-0.005644083023071289,0.2,32.42130395174026,0.001,0.125628662109375,-5.629315799474716,-0.007338019061717205,0.9848939180374146,24.985023498535156,10
3,712,68,70.64621925354004,49152,0.008980353,0.4602241516113281,0.2,10.20440234541893,0.001,0.096234130859375,-5.590377363562584,-0.008990151161560789,0.9735503792762756,2.6009397506713867,20
4,735,89,79.42155122756958,65536,0.010602716,0.20401352643966675,0.2,45.24152410030365,0.001,0.125006103515625,-5.543629464507103,-0.007851763916551135,0.963184118270874,4.071641445159912,30
5,750,109,77.85992097854614,81920,0.0092478115,0.5439285039901733,0.2,10.226426702737808,0.001,0.094207763671875,-5.491645160317421,-0.010268949730379973,0.9491055011749268,3.5867624282836914,40
6,754,130,121.98062324523926,98304,0.008602362,0.6575184166431427,0.2,9.789252126216889,0.001,0.099200439453125,-5.440749222040177,-0.011521291048848071,0.9400799870491028,2.8129217624664307,50
7,760,150,107.39085483551025,114688,0.010448342,0.5948066115379333,0.2,13.926893284916877,0.001,0.10576171875,-5.422285208106041,-0.01048219212825643,0.9382294416427612,4.568806171417236,60
8,768,170,159.4391736984253,131072,0.008110005,0.6643896996974945,0.2,13.690692088007927,0.001,0.1050537109375,-5.3995889544487,-0.011088867502985522,0.9304567575454712,3.7890424728393555,70
9,770,191,126.68834590911865,147456,0.009957961,0.36663955450057983,0.2,44.21906619369984,0.001,0.11964111328125,-5.372832468152046,-0.007646982869482599,0.924592137336731,7.721414566040039,80
10,774,211,124.80119705200195,163840,0.011011152,0.7607304602861404,0.2,12.749744316935539,0.001,0.116546630859375,-5.345800366997719,-0.011810046053142287,0.9200072288513184,3.046445608139038,90
11,778,231,192.3071002960205,180224,0.009802937,0.7418733835220337,0.2,25.58419142663479,0.001,0.106207275390625,-5.3254442632198336,-0.010995675127196592,0.9153152108192444,6.720030784606934,100
12,780,251,137.29103088378906,196608,0.010336802,0.5828350186347961,0.2,77.39489721059799,0.001,0.090826416015625,-5.30526704788208,-0.008169414961594157,0.9105161428451538,5.358648777008057,110
13,777,274,192.1728515625,212992,0.010116933,0.5697014629840851,0.2,113.14305182099342,0.001,0.101885986328125,-5.2839628010988235,-0.008107558537449221,0.9063272476196289,17.99962615966797,120
14,774,296,173.48068141937256,229376,0.007533172,0.4445549249649048,0.2,178.74055025577545,0.001,0.106060791015625,-5.274302342534066,-0.0049950081782299096,0.904429018497467,33.56718444824219,130
15,771,318,190.24261474609375,245760,0.009657077,0.723420649766922,0.2,32.335264563560486,0.001,0.100408935546875,-5.265084990859032,-0.010904899881279562,0.9033095240592957,7.8262200355529785,140
16,769,340,218.6501064300537,262144,0.0074851187,0.5861610472202301,0.2,152.59958313703538,0.001,0.07418212890625,-5.2489861905574795,-0.007294110182556324,0.8955224752426147,47.244728088378906,150
17,768,362,161.4031162261963,278528,0.009232165,0.6990438997745514,0.2,77.35192140340806,0.001,0.0989501953125,-5.221274268627167,-0.008277671609539539,0.8926883339881897,14.878520965576172,160
18,766,384,224.00940227508545,294912,0.010125641,0.7344578504562378,0.2,55.927256882190704,0.001,0.115478515625,-5.2134075403213505,-0.008998789261386263,0.8917766809463501,29.59037208557129,170
19,765,406,284.7724151611328,311296,0.010455165,0.5243816673755646,0.2,231.00232706069946,0.001,0.107464599609375,-5.202807533740997,-0.007951810646045488,0.8871708512306213,117.61096954345703,180
20,763,429,256.83620834350586,327680,0.009407153,0.5420559644699097,0.2,150.1342971086502,0.001,0.083331298828125,-5.190413305163384,-0.00832504258141853,0.887089192867279,19.938600540161133,190
21,763,450,314.6184272766113,344064,0.010387632,0.6734490692615509,0.2,99.25394880771637,0.001,0.1053466796875,-5.185354626178741,-0.01001064529409632,0.8846120238304138,17.769126892089844,200
22,759,474,359.7727813720703,360448,0.0073953285,0.39707648754119873,0.2,496.2306426048279,0.001,0.0941650390625,-5.172844332456589,-0.005738618563918862,0.8812588453292847,201.06930541992188,210
23,758,497,277.3185749053955,376832,0.007944144,0.5671193599700928,0.2,324.7705400466919,0.001,0.061346435546875,-5.154085835814476,-0.007487117145501543,0.8773903846740723,166.94342041015625,220
24,755,520,333.88616943359375,393216,0.00835312,0.6618282794952393,0.2,181.3943797826767,0.001,0.09267578125,-5.131749778985977,-0.00990888889064081,0.8719124794006348,85.1264419555664,230
25,754,542,394.68521308898926,409600,0.010005377,0.5751197338104248,0.2,306.22309012413024,0.001,0.097283935546875,-5.104906335473061,-0.008725539022998418,0.8655293583869934,97.35203552246094,240
26,753,565,305.6420192718506,425984,0.008609889,0.5977565050125122,0.2,277.2778507709503,0.001,0.08646240234375,-5.08589036166668,-0.008682352442701814,0.8645763397216797,122.44840240478516,250
27,752,587,445.35063552856445,442368,0.008032241,0.6572664082050323,0.2,223.64189479351043,0.001,0.09144287109375,-5.082206356525421,-0.007337002888380084,0.863893985748291,72.21688842773438,260
28,750,611,591.6580009460449,458752,0.00951413,0.6435241997241974,0.2,347.6380931854248,0.001,0.077728271484375,-5.073612025380134,-0.007785384642193094,0.860730767250061,128.05096435546875,270
29,749,634,493.8757514953613,475136,0.010095891,0.5305304527282715,0.2,462.5423512458801,0.001,0.089666748046875,-5.052735051512718,-0.009011036428273656,0.8545857071876526,132.8038787841797,280
30,745,659,426.9442958831787,491520,0.009513995,0.6345252394676208,0.2,335.3181122779846,0.001,0.0793701171875,-5.0375880122184755,-0.008351392748591025,0.8547837734222412,41.31428527832031,290
31,742,684,481.5504665374756,507904,0.0076576024,0.6192111968994141,0.2,457.0892363548279,0.001,0.076141357421875,-5.035919058322906,-0.007753117955871858,0.8530400991439819,132.47616577148438,300
32,739,708,491.7681484222412,524288,0.008264391,0.5756768584251404,0.2,509.03213872909544,0.001,0.0649169921875,-5.020539191365242,-0.007080137307639234,0.8483704328536987,220.94422912597656,310
33,737,733,597.3103408813477,540672,0.007739864,0.48502665758132935,0.2,551.2658304214477,0.001,0.074334716796875,-5.0066597074270245,-0.007607565520447679,0.8474968671798706,114.06503295898438,320
34,734,757,499.8674201965332,557056,0.006799707,0.5293410420417786,0.2,576.4109164237976,0.001,0.0626220703125,-5.005074748396874,-0.007970946737623308,0.8475158214569092,223.74862670898438,330
35,733,781,661.5407791137695,573440,0.0075121354,0.5649667978286743,0.2,729.2736610412597,0.001,0.07177734375,-4.997671887278557,-0.008799898595316335,0.8443406820297241,212.76995849609375,340
36,732,805,540.1315536499023,589824,0.008037911,0.580324113368988,0.2,690.0522108078003,0.001,0.067388916015625,-4.9869589567184445,-0.008146199741167948,0.8430341482162476,303.71966552734375,350
37,729,830,646.0377922058105,606208,0.008117603,0.47249847650527954,0.2,533.4374625205994,0.001,0.083349609375,-4.98021691441536,-0.00925611601996934,0.8410947322845459,149.75100708007812,360
38,729,853,685.7204055786133,622592,0.007769325,0.5595628321170807,0.2,665.6481077194214,0.001,0.07947998046875,-4.963123404979706,-0.00825862408237299,0.8358924388885498,198.5554656982422,370
39,727,877,480.420991897583,638976,0.008917522,0.5397754907608032,0.2,556.6995162010193,0.001,0.089874267578125,-4.940078645944595,-0.009440966798865701,0.8322977423667908,157.32395935058594,380
