time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,time/fps,train/clip_range,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/std
24576,95.82201194763184,34,1,706,,,,,,,,,,,
49152,105.29208564758301,58,2,841,0.2,0.11404215494791667,38.16669794519742,10.086502075195312,-5.643498788277308,-0.0004067420959472656,0.010078822,0.001,-0.005441778081391627,10,0.9899566769599915
73728,127.82355499267578,84,3,873,0.2,0.09775797526041667,6.879292220870654,1.729933500289917,-5.614887028932571,0.28751611709594727,0.009788935,0.001,-0.008067939857331416,20,0.9813617467880249
98304,168.4210173288981,110,4,892,0.2,0.10099690755208333,61.46727189222972,10.61552906036377,-5.589027144511541,0.1282973289489746,0.008771629,0.001,-0.005315721220783113,30,0.9774714708328247
122880,146.65714645385742,134,5,913,0.2,0.07844645182291667,30.000590016444523,2.527017593383789,-5.563929545879364,0.40340495109558105,0.0066877343,0.001,-0.006616930015540371,40,0.9696019291877747
147456,167.24055989583334,159,6,926,0.2,0.10337320963541667,9.01251094142596,2.5853850841522217,-5.519603951772054,0.6768744885921478,0.008901115,0.001,-0.010835193526387836,50,0.9580073356628418
172032,206.80479303995767,184,7,931,0.2,0.10526123046875,10.675355096658071,3.638946771621704,-5.483390951156617,0.633496105670929,0.0087038595,0.001,-0.011044341104570777,60,0.9512414932250977
196608,223.25414530436197,209,8,938,0.2,0.09151204427083333,18.1222042798996,10.953237533569336,-5.4575804034868876,0.5563246011734009,0.008431501,0.001,-0.009022824281904226,70,0.9437016248703003
221184,263.3100102742513,234,9,943,0.2,0.097509765625,49.79652425845464,39.974727630615234,-5.429861013094584,0.44508981704711914,0.0103994515,0.001,-0.008158435462003883,80,0.9385208487510681
245760,265.18079630533856,259,10,946,0.2,0.0939453125,32.18659618695577,3.8853249549865723,-5.395522926251093,0.5786581933498383,0.008669379,0.001,-0.009344895576941781,90,0.9298191666603088
270336,312.2198664347331,284,11,949,0.2,0.11029052734375,22.614303054412208,3.2978005409240723,-5.368137760957082,0.7060156166553497,0.009509313,0.001,-0.010172386915655807,100,0.9246057271957397
294912,363.98773193359375,311,12,947,0.2,0.11282552083333333,47.00616446733475,30.006591796875,-5.343963168064753,0.576426774263382,0.010901126,0.001,-0.008352708612801508,110,0.9191471934318542
319488,316.9590657552083,338,13,943,0.2,0.1085693359375,121.35646743774414,27.975709915161133,-5.325486679871877,0.49434930086135864,0.009386341,0.001,-0.007186757286156838,120,0.9155606627464294
344064,473.7912826538086,366,14,938,0.2,0.11142171223958333,111.57969185511271,18.500484466552734,-5.288255204757054,0.5781458914279938,0.010139994,0.001,-0.00776247018269108,130,0.9038273096084595
368640,401.7614212036133,394,15,934,0.2,0.11339925130208334,157.3457951625188,79.61256408691406,-5.246614942948024,0.5562615394592285,0.0112341205,0.001,-0.008665966882836074,140,0.8948193788528442
393216,458.191157023112,422,16,930,0.2,0.12274169921875,97.80267176628112,18.285476684570312,-5.215447638432185,0.6554472744464874,0.011597906,0.001,-0.008583071261333923,150,0.891172468662262
