time/total_timesteps,rew_vec_envs,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss,train/n_updates,train/value_loss,train/clip_range,train/std,train/explained_variance
32768,24.839701235294342,1,39,820,,,,,,,,,,,
65536,28.076159238815308,2,69,944,-5.627775827050209,0.001,0.010247268,-0.006311110913156881,0.111798095703125,1.639129400253296,10,28.318400850147007,0.2,0.9835377931594849,-0.00682675838470459
98304,32.32275232672691,3,98,994,-5.576958604156971,0.001,0.010176381,-0.007531422966712853,0.1054534912109375,1.6252042055130005,20,5.997820042818785,0.2,0.9728015661239624,0.3524820804595947
131072,32.085308730602264,4,126,1033,-5.530588400363922,0.001,0.009643986,-0.00968533123668749,0.1048736572265625,2.022552967071533,30,6.997031237185001,0.2,0.961387038230896,0.5863088071346283
163840,40.16212475299835,5,154,1059,-5.493074874579906,0.001,0.009877981,-0.010662846999184693,0.115679931640625,2.7009105682373047,40,8.26817716062069,0.2,0.9527717232704163,0.6974311769008636
196608,51.79903334379196,6,182,1076,-5.4601960390806195,0.001,0.010583618,-0.01040216886831331,0.115692138671875,2.619884729385376,50,7.333127856254578,0.2,0.9448328018188477,0.7435137033462524
229376,55.56870520114899,7,210,1087,-5.4220538392663,0.001,0.009910595,-0.010593455905473092,0.110601806640625,3.388547658920288,60,9.85587174296379,0.2,0.9372496604919434,0.6724293529987335
262144,49.30014264583588,8,242,1083,-5.403243064880371,0.001,0.010519547,-0.008923733817209723,0.128204345703125,52.7329216003418,70,39.37695024162531,0.2,0.9332698583602905,0.5257385969161987
294912,57.43335151672363,9,272,1083,-5.369127932190895,0.001,0.011959521,-0.010951755543646868,0.1344757080078125,5.3844733238220215,80,18.90737017393112,0.2,0.9228432774543762,0.7024212777614594
327680,77.00592637062073,10,304,1076,-5.3138528823852536,0.001,0.010711383,-0.008977980192139513,0.128363037109375,22.008773803710938,90,45.10630107522011,0.2,0.9101424217224121,0.6241181790828705
360448,77.050861120224,11,337,1066,-5.269255892932415,0.001,0.010250774,-0.008564417014713398,0.125677490234375,4.731666088104248,100,47.423214939236644,0.2,0.9011731743812561,0.6365356743335724
393216,97.05751609802246,12,373,1054,-5.233190590143204,0.001,0.010270776,-0.008366995744290761,0.1172637939453125,27.128005981445312,110,67.11482018530369,0.2,0.892768383026123,0.6073894798755646
425984,115.87918710708618,13,409,1039,-5.195155167579651,0.001,0.011036709,-0.007450415109633468,0.128485107421875,34.104034423828125,120,87.19592818915844,0.2,0.8848158121109009,0.5056215524673462
458752,110.88896536827087,14,444,1032,-5.160191664099694,0.001,0.012836819,-0.008163153212080942,0.13863525390625,62.58916473388672,130,131.3767217874527,0.2,0.8766124844551086,0.49555861949920654
491520,135.36368441581726,15,480,1022,-5.127582590281963,0.001,0.011805469,-0.008228791407964309,0.131915283203125,21.711660385131836,140,70.19050804674626,0.2,0.8719039559364319,0.6684534847736359
524288,127.10453152656555,16,518,1011,-5.1091921210289,0.001,0.009462517,-0.00657485134943272,0.1044708251953125,38.90721893310547,150,156.1698415875435,0.2,0.8673855662345886,0.5459696650505066
557056,105.72550117969513,17,556,1001,-5.079841510951519,0.001,0.010500643,-0.0068496604733809365,0.1141845703125,52.378963470458984,160,187.30334399938585,0.2,0.8584444522857666,0.5298822820186615
589824,136.27606618404388,18,595,989,-5.0398872420191765,0.001,0.011366159,-0.007442508381063817,0.11173095703125,29.96297264099121,170,182.08481333255767,0.2,0.8518971800804138,0.6165884733200073
622592,193.09497833251953,19,634,981,-5.00648629963398,0.001,0.009783745,-0.007896412622721982,0.1075439453125,31.523069381713867,180,176.0639074087143,0.2,0.8442853689193726,0.6865193247795105
655360,144.89744019508362,20,672,974,-4.981606444716453,0.001,0.010534167,-0.006967953538696748,0.111151123046875,87.22689056396484,190,197.1509132385254,0.2,0.8409503698348999,0.6491402089595795
688128,146.40810990333557,21,710,968,-4.961985540390015,0.001,0.009555327,-0.007278804748057155,0.1085968017578125,75.57099914550781,200,229.95338189601898,0.2,0.8352959156036377,0.6870206594467163
720896,161.36981105804443,22,750,960,-4.931155087053776,0.001,0.009816612,-0.006466384682425996,0.0969085693359375,114.69950866699219,210,312.6289933204651,0.2,0.8292900919914246,0.6067537069320679
753664,243.5078902244568,23,789,954,-4.896616488695145,0.001,0.010024877,-0.008287868214392802,0.0999298095703125,72.47488403320312,220,325.3315841436386,0.2,0.8222446441650391,0.6702291965484619
786432,205.99886894226074,24,830,946,-4.872673749923706,0.001,0.009084672,-0.006875609273265582,0.0835296630859375,134.23757934570312,230,381.8601643562317,0.2,0.818564236164093,0.6564258635044098
819200,256.1925504207611,25,871,940,-4.8579406067729,0.001,0.00836886,-0.006512519216630608,0.087603759765625,109.46278381347656,240,429.99543700218203,0.2,0.8161556720733643,0.5717001855373383
851968,189.55740928649902,26,912,933,-4.843212510645389,0.001,0.009492693,-0.007913099178404081,0.0964508056640625,71.93011474609375,250,370.4671769142151,0.2,0.8137831091880798,0.643150120973587
884736,274.6798162460327,27,952,928,-4.813386297225952,0.001,0.009664011,-0.007773010559321847,0.0976898193359375,108.38185119628906,260,386.9034250974655,0.2,0.8065041899681091,0.6410395503044128
917504,274.14655351638794,28,993,923,-4.78177727162838,0.001,0.009458801,-0.007269742343487451,0.0954254150390625,109.52110290527344,270,394.14640634059907,0.2,0.8017061352729797,0.6636797785758972
950272,174.4772560596466,29,1033,919,-4.755145537853241,0.001,0.00917864,-0.007894564740126953,0.1002471923828125,161.97552490234375,280,436.1714609146118,0.2,0.7953335642814636,0.5800139904022217
983040,220.27395343780518,30,1075,914,-4.7182674437761305,0.001,0.009516669,-0.008216737322436529,0.1035125732421875,143.58213806152344,290,377.39395627975466,0.2,0.7881691455841064,0.5983620584011078
1015808,312.917160987854,31,1116,910,-4.682493405044079,0.001,0.009077655,-0.0076849721292092,0.09141845703125,120.15156555175781,300,516.9356065750122,0.2,0.7811671495437622,0.5306040048599243
1048576,258.65266585350037,32,1155,907,-4.631986224651337,0.001,0.010101527,-0.007121680168347666,0.10513916015625,156.4608917236328,310,454.7853223800659,0.2,0.7708598375320435,0.5764265954494476
1081344,387.6260561943054,33,1197,903,-4.589960213005543,0.001,0.012611706,-0.008308218109959853,0.12623291015625,287.2877502441406,320,435.38135170936584,0.2,0.764534056186676,0.5950776934623718
1114112,296.50319957733154,34,1237,900,-4.54373682141304,0.001,0.011223599,-0.00891676081737387,0.123773193359375,160.42510986328125,330,495.72369012832644,0.2,0.7547501921653748,0.5588962435722351
1146880,309.99391412734985,35,1279,896,-4.514608532190323,0.001,0.011380075,-0.0078074093020404686,0.128314208984375,243.16351318359375,340,413.0609205722809,0.2,0.7512034773826599,0.5655083060264587
1179648,238.19473266601562,36,1320,893,-4.475762449204922,0.001,0.011757731,-0.008049971576838288,0.1228790283203125,125.5328598022461,350,510.3993043422699,0.2,0.741818904876709,0.5771717429161072
1212416,217.19434547424316,37,1361,890,-4.436489655077457,0.001,0.010787767,-0.00812404714015429,0.1132415771484375,256.0854187011719,360,541.2259235858917,0.2,0.7357840538024902,0.5850088000297546
1245184,333.30726194381714,38,1403,887,-4.406774306297303,0.001,0.012346631,-0.007979038642952218,0.132373046875,180.5233154296875,370,472.96815767288206,0.2,0.731330156326294,0.580819845199585
1277952,302.44853711128235,39,1446,883,-4.379112040996551,0.001,0.012170354,-0.007281796349707293,0.1332000732421875,93.64935302734375,380,511.18895230293276,0.2,0.7248752117156982,0.48213207721710205
1310720,298.81955194473267,40,1489,880,-4.36747412532568,0.001,0.0106693,-0.008479909861489433,0.123309326171875,289.5688171386719,390,560.3900084972381,0.2,0.7239584922790527,0.48771417140960693
1343488,281.3722434043884,41,1531,876,-4.3488391354680065,0.001,0.010731206,-0.008153732537175528,0.118988037109375,151.47962951660156,400,612.4893027305603,0.2,0.7204874157905579,0.4940417408943176
1376256,390.6749725341797,42,1576,872,-4.316730214655399,0.001,0.011025553,-0.007884451426070882,0.119573974609375,199.47007751464844,410,582.3847432613372,0.2,0.7148882150650024,0.5118553638458252
1409024,401.66163778305054,43,1620,869,-4.28862097710371,0.001,0.013457751,-0.009266286086494801,0.1426971435546875,253.90078735351562,420,581.5852430820465,0.2,0.709104061126709,0.42825961112976074
1441792,358.27174949645996,44,1665,865,-4.261402976512909,0.001,0.012032593,-0.009207250721374294,0.132379150390625,87.20479583740234,430,569.4698884963989,0.2,0.7050341367721558,0.46251052618026733
1474560,398.98840141296387,45,1711,861,-4.249980871379376,0.001,0.012342399,-0.00817535069254518,0.1331573486328125,160.2823028564453,440,551.7981104850769,0.2,0.7033571004867554,0.47135794162750244
