time/iterations,time/fps,time/total_timesteps,rew_vec_envs,time/time_elapsed,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/std,train/loss,train/entropy_loss,train/value_loss,train/n_updates,train/clip_fraction
1,557,3047424,414.74965715408325,58,,,,,,,,,,,
2,633,3080192,448.46309661865234,103,0.008619217,0.2,-0.006168314754177118,0.001,0.5556750595569611,0.5946450233459473,176.22109985351562,-3.559916926920414,650.3812986373902,930,0.072088623046875
3,656,3112960,369.6015524864197,149,0.007878566,0.2,-0.00611152969795512,0.001,0.5621024966239929,0.5887543559074402,229.747314453125,-3.526748003065586,654.3150415420532,940,0.0654693603515625
4,668,3145728,470.3921420574188,196,0.007945931,0.2,-0.005075087287696079,0.001,0.5698078870773315,0.5848128795623779,134.7244110107422,-3.4939823508262635,601.5757438659668,950,0.079913330078125
5,675,3178496,459.99799966812134,242,0.007380084,0.2,-0.006398997956421226,0.001,0.5174780189990997,0.5793158411979675,217.2593994140625,-3.457843965291977,660.377961730957,960,0.0766845703125
6,678,3211264,422.5372212231159,289,0.006419115,0.2,-0.00602304439235013,0.001,0.5088637173175812,0.5767272710800171,179.70956420898438,-3.4303684189915655,697.2946710586548,970,0.079833984375
7,684,3244032,480.8447527885437,335,0.0074605057,0.2,-0.0063845153039437715,0.001,0.5385377407073975,0.5734542608261108,156.48699951171875,-3.4097186654806135,630.7780982971192,980,0.0696014404296875
8,687,3276800,406.50075602531433,381,0.009179038,0.2,-0.006531653365527745,0.001,0.5490202903747559,0.5707694292068481,171.06390380859375,-3.386201003193855,606.4839027404785,990,0.0908416748046875
9,691,3309568,468.56005573272705,426,0.007890493,0.2,-0.006260740905418061,0.001,0.5162352621555328,0.5667954683303833,175.01524353027344,-3.361427353322506,636.604236316681,1000,0.0704559326171875
10,692,3342336,395.9124367237091,473,0.006786392,0.2,-0.006469574978109449,0.001,0.5399714708328247,0.5613677501678467,184.01431274414062,-3.3289793148636817,625.4228466033935,1010,0.0671173095703125
11,693,3375104,361.6387240886688,519,0.008570909,0.2,-0.0067251072003273295,0.001,0.5542705059051514,0.5593012571334839,213.10743713378906,-3.303903077542782,633.6269060134888,1020,0.0799163818359375
12,693,3407872,418.5824384689331,567,0.008137142,0.2,-0.006770676079031546,0.001,0.548424482345581,0.5576457977294922,175.49880981445312,-3.2910987436771393,699.1553573608398,1030,0.08004150390625
13,696,3440640,474.55591678619385,611,0.009670829,0.2,-0.006160949137120042,0.001,0.4959182143211365,0.5541263818740845,120.37406158447266,-3.2714311465620995,672.1743832588196,1040,0.08431396484375
14,696,3473408,458.79054069519043,658,0.010051502,0.2,-0.004919948105816729,0.001,0.6029674112796783,0.5521841049194336,182.0709228515625,-3.2503388971090317,573.0133378982543,1050,0.09652099609375
15,697,3506176,387.9428005218506,704,0.0105110565,0.2,-0.004675206770480144,0.001,0.5553075969219208,0.5511258244514465,167.6810760498047,-3.237571470439434,652.6469333648681,1060,0.1072967529296875
16,698,3538944,448.37576484680176,750,0.009751756,0.2,-0.006245242735894862,0.001,0.5815359055995941,0.5467727184295654,181.87440490722656,-3.2130753114819526,531.9744161605835,1070,0.11246337890625
17,699,3571712,406.77132308483124,796,0.01060153,0.2,-0.006173292759922333,0.001,0.5642643570899963,0.5436805486679077,175.26022338867188,-3.1921945735812187,649.6596076965332,1080,0.090252685546875
18,698,3604480,538.9212188720703,844,0.011522468,0.2,-0.0051483107185049445,0.001,0.5641256868839264,0.5402576923370361,162.1785430908203,-3.163773776590824,606.1157581329346,1090,0.1036773681640625
19,698,3637248,414.1272506713867,891,0.008839128,0.2,-0.006013623684702906,0.001,0.5509564578533173,0.5352680683135986,152.89027404785156,-3.126210007071495,617.9315944671631,1100,0.0842132568359375
20,698,3670016,423.8300828933716,938,0.009091214,0.2,-0.0057915706936910285,0.001,0.540172278881073,0.5317885875701904,181.04721069335938,-3.0993005722761153,621.6846729278565,1110,0.086334228515625
21,698,3702784,387.0907096862793,985,0.008247264,0.2,-0.006640560242522043,0.001,0.5534814298152924,0.5289473533630371,103.7545166015625,-3.076414567232132,575.5340411186219,1120,0.0837188720703125
22,697,3735552,475.44562244415283,1032,0.008012569,0.2,-0.005242532069678419,0.001,0.5141918957233429,0.5264614820480347,189.909423828125,-3.061217340826988,605.9436624526977,1130,0.100738525390625
23,698,3768320,394.80682945251465,1078,0.010044182,0.2,-0.0065589890800765716,0.001,0.5141829252243042,0.5254924893379211,141.82797241210938,-3.0490278199315073,612.9127189636231,1140,0.098260498046875
24,698,3801088,445.61586701869965,1125,0.014007315,0.2,-0.005457940560881979,0.001,0.575696736574173,0.5236653089523315,140.4946746826172,-3.0361604675650598,569.3995275497437,1150,0.109326171875
25,698,3833856,414.8409013748169,1173,0.008749621,0.2,-0.005148509403807111,0.001,0.5378583669662476,0.5193619728088379,127.74600982666016,-3.013078883290291,565.0268109321594,1160,0.1019317626953125
26,697,3866624,409.9777545928955,1221,0.008701254,0.2,-0.00428151576052187,0.001,0.47750192880630493,0.5180248618125916,162.50436401367188,-2.9891120359301566,659.7541481018067,1170,0.1100555419921875
27,697,3899392,400.04746413230896,1269,0.009679921,0.2,-0.00580584272975102,0.001,0.5290905833244324,0.5166975855827332,140.08106994628906,-2.977546562254429,598.1573981285095,1180,0.082440185546875
28,696,3932160,499.86247730255127,1317,0.008445986,0.2,-0.004374232942063827,0.001,0.5271068215370178,0.5161268711090088,133.43954467773438,-2.968284636735916,600.9861786842346,1190,0.102685546875
29,696,3964928,499.9932231903076,1364,0.009566296,0.2,-0.005135548836551607,0.001,0.48227137327194214,0.5129009485244751,103.94972229003906,-2.950541150569916,610.2196578979492,1200,0.0970977783203125
30,695,3997696,488.5321746766567,1412,0.010295955,0.2,-0.005558209819719195,0.001,0.5158563852310181,0.5076441764831543,167.90872192382812,-2.9142350807785986,614.0412813186646,1210,0.1144287109375
31,695,4030464,448.4330439567566,1460,0.007893765,0.2,-0.006152662269596476,0.001,0.49676215648651123,0.5045474767684937,139.59974670410156,-2.8815589383244515,571.1982346534729,1220,0.101666259765625
32,695,4063232,388.13402462005615,1508,0.008165696,0.2,-0.0059028590956586415,0.001,0.517451822757721,0.5026445388793945,170.84307861328125,-2.8608077824115754,550.4414834976196,1230,0.0901092529296875
33,694,4096000,530.7172384262085,1557,0.011001246,0.2,-0.00512757011456415,0.001,0.53228959441185,0.5000715255737305,171.00790405273438,-2.847899542748928,600.1423307418823,1240,0.0980682373046875
34,694,4128768,452.3836317062378,1604,0.008952764,0.2,-0.005502976070420118,0.001,0.5558377802371979,0.495660662651062,197.5630645751953,-2.819455987215042,571.9541646003723,1250,0.10484619140625
35,694,4161536,432.1711654663086,1651,0.008976532,0.2,-0.0069089804805116724,0.001,0.5041433274745941,0.4943538308143616,171.9971466064453,-2.7964128121733665,614.8676853179932,1260,0.1023284912109375
36,694,4194304,429.73857498168945,1698,0.010108966,0.2,-0.006367395923734876,0.001,0.5585785210132599,0.4915808439254761,141.51612854003906,-2.7761987835168838,592.0013328552246,1270,0.1013397216796875
