time/time_elapsed,time/total_timesteps,rew_vec_envs,time/fps,time/iterations,train/explained_variance,train/value_loss,train/approx_kl,train/learning_rate,train/std,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/loss,train/n_updates
101,32768,-726.5861873626709,323,1,,,,,,,,,,,
187,65536,-894.0940055847168,349,2,0.0006458163261413574,12952.372674560547,0.004751944,0.001,0.9961830377578735,0.0408935546875,-0.004684464498132002,-5.666602167487144,0.2,5710.63671875,10
273,98304,-671.827938079834,358,3,0.001944124698638916,11909.634716796874,0.004809255,0.001,0.9936610460281372,0.0268768310546875,-0.0047826567293668635,-5.654581394791603,0.2,5170.658203125,20
360,131072,-705.6959648132324,363,4,0.0030709505081176758,9595.740216064452,0.005187975,0.001,0.9952499270439148,0.041461181640625,-0.005666554908384569,-5.656698343157768,0.2,4434.34814453125,30
446,163840,-613.8834953308105,366,5,0.0069386959075927734,8082.44475402832,0.005591017,0.001,0.9946640729904175,0.0376861572265625,-0.0059260069436277265,-5.653276014328003,0.2,3689.478515625,40
531,196608,-848.3300895690918,370,6,0.0428885817527771,6878.376034545899,0.006595622,0.001,0.9910346269607544,0.0513336181640625,-0.0074883212633722,-5.641875043511391,0.2,3434.32568359375,50
617,229376,-712.5768985748291,371,7,0.05669689178466797,6642.982250976563,0.0067499303,0.001,0.9828057289123535,0.0616546630859375,-0.008436923391127494,-5.613707569241524,0.2,2944.54833984375,60
700,262144,-618.5948705673218,374,8,0.06016039848327637,6028.106585693359,0.005652174,0.001,0.9816936254501343,0.046929931640625,-0.007336189995112363,-5.602228209376335,0.2,2816.828857421875,70
786,294912,-731.0939102172852,374,9,0.06675064563751221,5601.324459838867,0.0059334156,0.001,0.9739609956741333,0.0434844970703125,-0.007160690215823706,-5.581668004393578,0.2,2719.32958984375,80
872,327680,-631.1782684326172,375,10,0.0819861888885498,5666.564712524414,0.0050237463,0.001,0.9695744514465332,0.039959716796875,-0.0070854197387234304,-5.556781288981438,0.2,2620.8603515625,90
957,360448,-677.4410419464111,376,11,0.09561073780059814,4868.7026641845705,0.006127458,0.001,0.9609617590904236,0.04549560546875,-0.007509357894014102,-5.530345958471298,0.2,2300.248291015625,100
1041,393216,-739.9178409576416,377,12,0.10172009468078613,4933.318145751953,0.0051592262,0.001,0.9600995779037476,0.0389373779296875,-0.0062443692571832795,-5.514458173513413,0.2,2281.7626953125,110
1128,425984,-603.2594747543335,377,13,0.12489759922027588,4776.234143066406,0.0049168463,0.001,0.9584326148033142,0.0302032470703125,-0.005923136330238776,-5.507837146520615,0.2,2110.95458984375,120
1216,458752,-632.8489689826965,377,14,0.1357499361038208,5099.464071655273,0.0046350346,0.001,0.9555243849754333,0.0288238525390625,-0.005992647414677777,-5.497856268286705,0.2,2629.044921875,130
1302,491520,-768.7322959899902,377,15,0.12972503900527954,4737.240203857422,0.004774768,0.001,0.9538317918777466,0.029876708984375,-0.006017592485295609,-5.489801877737046,0.2,2148.924560546875,140
1386,524288,-695.0410470962524,378,16,0.16239416599273682,4458.107940673828,0.005368755,0.001,0.9556683301925659,0.0390777587890625,-0.007094899969524704,-5.491345050930977,0.2,1972.91455078125,150
