time/iterations,time/time_elapsed,time/fps,rew_vec_envs,time/total_timesteps,train/std,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/loss,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/clip_range,train/value_loss
1,36,907,21.093014150857925,32768,,,,,,,,,,,
2,60,1086,18.965979397296906,65536,0.9899597764015198,-0.0033449656031734774,0.001,0.007329046,43.826663970947266,-5.650900885462761,10,-0.0009995698928833008,0.0868560791015625,0.2,73.62820778489113
3,83,1170,19.559083580970764,98304,0.9852943420410156,-0.005383138982142555,0.001,0.0073590847,1.0686628818511963,-5.622506013512611,20,0.580698162317276,0.074957275390625,0.2,4.016974229365587
4,108,1211,23.95818454027176,131072,0.9802053570747375,-0.006799837970902445,0.001,0.0077179777,1.054468035697937,-5.60487129688263,30,0.57839435338974,0.0897125244140625,0.2,4.271685384958983
5,132,1235,33.09702925384045,163840,0.9744523763656616,-0.0059736451235949065,0.001,0.0076847244,7.5889506340026855,-5.583829945325851,40,0.42377299070358276,0.0988189697265625,0.2,23.97040799111128
6,156,1258,32.31782624125481,196608,0.967745840549469,-0.007486914922628785,0.001,0.006727161,1.6049118041992188,-5.557162317633629,50,0.6822471916675568,0.0713775634765625,0.2,6.250970208644867
7,179,1277,30.948418825864792,229376,0.9610930681228638,-0.004693012266216101,0.001,0.007915305,6.559128284454346,-5.5307266265153885,60,0.336401104927063,0.07093505859375,0.2,48.81229773759842
8,203,1290,40.68441432714462,262144,0.9541501998901367,-0.009194239435601048,0.001,0.008185465,2.3849260807037354,-5.498321369290352,70,0.7962090224027634,0.0932037353515625,0.2,6.200523762404918
9,226,1303,47.96763426065445,294912,0.9457505345344543,-0.00946589844825212,0.001,0.00848775,2.2236404418945312,-5.463832730054856,80,0.7663697302341461,0.102801513671875,0.2,8.672406508028507
10,250,1310,43.793227821588516,327680,0.9365487098693848,-0.005896628418122418,0.001,0.010807416,25.041759490966797,-5.435563653707504,90,0.46537232398986816,0.0943450927734375,0.2,41.68651973009109
11,275,1308,38.11389070749283,360448,0.9316220283508301,-0.008163286499620882,0.001,0.008347651,3.5545237064361572,-5.403188502788543,100,0.7935702502727509,0.091058349609375,0.2,10.681378683447837
12,299,1314,46.59913554787636,393216,0.9239227175712585,-0.00682479638926452,0.001,0.008925797,3.210210084915161,-5.375171858072281,110,0.7364826798439026,0.09505615234375,0.2,14.283110764622688
13,325,1306,48.276408433914185,425984,0.9184057712554932,-0.006260972734889947,0.001,0.008686567,13.010416984558105,-5.345765772461891,120,0.7390680015087128,0.098089599609375,0.2,25.493590265512466
14,352,1300,55.20989537239075,458752,0.9115256071090698,-0.007759980604168959,0.001,0.008972598,9.7339448928833,-5.316442441940308,130,0.8115095645189285,0.112005615234375,0.2,17.815103712677956
15,378,1299,66.87393629550934,491520,0.9073119163513184,-0.008918502897722646,0.001,0.0082421955,7.909890651702881,-5.291917407512665,140,0.7803792655467987,0.0960052490234375,0.2,21.523764771223068
16,404,1297,66.69321274757385,524288,0.9017825126647949,-0.008440780809905846,0.001,0.008761793,45.17372131347656,-5.2738467156887054,150,0.7438730895519257,0.1040924072265625,0.2,33.596124762296675
17,429,1297,60.686926662921906,557056,0.8972491025924683,-0.006344037024246063,0.001,0.008462793,10.321134567260742,-5.250644329190254,160,0.716013491153717,0.0844329833984375,0.2,44.34208149313927
18,456,1292,68.17052054405212,589824,0.8931903839111328,-0.007333530408504885,0.001,0.009430414,8.768913269042969,-5.231192156672478,170,0.8091366589069366,0.1105072021484375,0.2,32.822636258602145
19,484,1285,89.79787456989288,622592,0.8873132467269897,-0.007152633964142297,0.001,0.010590443,13.269079208374023,-5.208192491531372,180,0.7792887985706329,0.120703125,0.2,42.91666589379311
20,512,1278,110.09468626976013,655360,0.8836023807525635,-0.007512223851517774,0.001,0.008053701,12.848421096801758,-5.186888366937637,190,0.8064389824867249,0.100360107421875,0.2,41.664417666196826
21,540,1272,46.31212115287781,688128,0.878771185874939,-0.006469257858407218,0.001,0.009927627,37.55311965942383,-5.167848169803619,200,0.658592939376831,0.093621826171875,0.2,77.93853793144226
22,569,1265,82.98943984508514,720896,0.8730378746986389,-0.007397692566155456,0.001,0.0073073143,34.21826171875,-5.142020457983017,210,0.7787753343582153,0.088421630859375,0.2,52.187967765331265
23,597,1260,84.61601734161377,753664,0.871984601020813,-0.00637754074705299,0.001,0.009329239,21.90621566772461,-5.127108654379844,220,0.7564854770898819,0.0917022705078125,0.2,64.85934383869171
24,625,1257,105.23087215423584,786432,0.8664883375167847,-0.005651695971027948,0.001,0.008719245,33.76117706298828,-5.113837647438049,230,0.7081567049026489,0.101129150390625,0.2,104.87882101535797
25,653,1253,105.21331524848938,819200,0.8650250434875488,-0.006768155630561523,0.001,0.00781609,18.309436798095703,-5.093940022587776,240,0.7888048440217972,0.07890625,0.2,74.92404017448425
26,682,1249,128.74157857894897,851968,0.8591434955596924,-0.007169798262475524,0.001,0.010025137,14.273146629333496,-5.078081598877906,250,0.8200849145650864,0.0937103271484375,0.2,78.43886235952377
27,709,1246,113.79888081550598,884736,0.8507906794548035,-0.00742030627297936,0.001,0.009501474,37.15195846557617,-5.044293004274368,260,0.7175363898277283,0.0930908203125,0.2,123.04011216163636
28,738,1242,98.51606845855713,917504,0.8444973826408386,-0.006404716047109104,0.001,0.008856256,26.1691951751709,-5.009122693538666,270,0.7548553347587585,0.0981170654296875,0.2,118.35557868480683
29,765,1240,114.69400262832642,950272,0.8361608982086182,-0.00653407887002686,0.001,0.008568253,30.294782638549805,-4.97384734749794,280,0.7690907120704651,0.0870880126953125,0.2,116.71115376949311
30,793,1239,116.21298456192017,983040,0.8325979113578796,-0.0055600503896130245,0.001,0.0076607345,55.244266510009766,-4.944180974364281,290,0.7142067849636078,0.076593017578125,0.2,140.20458536148072
31,820,1238,76.88920331001282,1015808,0.8312987089157104,-0.006210089797968976,0.001,0.008060485,62.38361358642578,-4.935000583529472,300,0.6966942548751831,0.0750030517578125,0.2,200.0824640750885
32,847,1236,154.6679539680481,1048576,0.8266505002975464,-0.0059264972849632615,0.001,0.007850939,29.499008178710938,-4.917808219790459,310,0.7014412879943848,0.074090576171875,0.2,163.04483969211577
33,876,1234,199.25410103797913,1081344,0.820381760597229,-0.006152054094127379,0.001,0.0076762484,105.10071563720703,-4.89443025290966,320,0.6503098607063293,0.0630859375,0.2,258.45247411727905
34,904,1231,158.74772787094116,1114112,0.8144179582595825,-0.005804440160864033,0.001,0.007007353,119.1357192993164,-4.862202927470207,330,0.673740416765213,0.06387939453125,0.2,282.210066986084
35,932,1229,165.97542595863342,1146880,0.8148137331008911,-0.005418383469805122,0.001,0.0057342197,87.79435729980469,-4.848073124885559,340,0.7182126343250275,0.054119873046875,0.2,257.52757329940795
36,960,1228,215.82478952407837,1179648,0.8119034767150879,-0.005544092577474657,0.001,0.006513498,88.95618438720703,-4.841786509752273,350,0.7198201417922974,0.052056884765625,0.2,221.29495406150818
37,989,1225,193.83545303344727,1212416,0.8079780340194702,-0.0064845704167964865,0.001,0.006696306,51.12367248535156,-4.8257000863552095,360,0.7305572628974915,0.0646820068359375,0.2,202.80342388153076
38,1018,1222,237.34948348999023,1245184,0.8037089109420776,-0.005826985537714791,0.001,0.0074686683,75.20527648925781,-4.804462528228759,370,0.6956784129142761,0.0697265625,0.2,208.7403465270996
39,1046,1221,210.02349019050598,1277952,0.801435649394989,-0.005715856360620819,0.001,0.0068146195,84.22489166259766,-4.788278514146805,380,0.6981485486030579,0.061663818359375,0.2,252.9408000946045
40,1075,1218,194.18048429489136,1310720,0.7976197004318237,-0.006691313954070211,0.001,0.0092768865,119.18511962890625,-4.773078435659409,390,0.6567246913909912,0.0840850830078125,0.2,288.80425958633424
41,1104,1216,153.86473655700684,1343488,0.7947170734405518,-0.006570966968138236,0.001,0.008978325,72.21289825439453,-4.756379944086075,400,0.7202703356742859,0.081658935546875,0.2,227.99736518859862
42,1133,1214,192.14618968963623,1376256,0.7930325269699097,-0.004756079835351557,0.001,0.0057961065,94.60035705566406,-4.745299604535103,410,0.6608568429946899,0.055926513671875,0.2,282.2456238746643
43,1163,1211,182.16517090797424,1409024,0.7877310514450073,-0.006834750037523918,0.001,0.007476881,137.4793243408203,-4.7259209841489795,420,0.678800106048584,0.0725006103515625,0.2,256.2272885322571
44,1193,1208,209.7476589679718,1441792,0.7854135036468506,-0.007186675308912527,0.001,0.008342717,80.25749206542969,-4.7067909121513365,430,0.6642241477966309,0.0817840576171875,0.2,279.6405351161957
45,1223,1205,212.45189380645752,1474560,0.7836868762969971,-0.006060834806703497,0.001,0.007699822,112.01338195800781,-4.696686488389969,440,0.6256824731826782,0.07200927734375,0.2,274.3402332305908
46,1252,1203,182.3932592868805,1507328,0.7827624678611755,-0.006362057834485313,0.001,0.007144238,112.19689178466797,-4.689320227503776,450,0.6063916087150574,0.075384521484375,0.2,272.8734954833984
47,1282,1200,218.6218295097351,1540096,0.7787489891052246,-0.007605566890561022,0.001,0.00902622,69.09355926513672,-4.676347482204437,460,0.6444526016712189,0.093438720703125,0.2,246.1024380207062
48,1312,1198,190.63444995880127,1572864,0.7726607918739319,-0.007217015304195229,0.001,0.007895967,81.56339263916016,-4.647820293903351,470,0.6667271852493286,0.0876220703125,0.2,253.8023905277252
49,1342,1195,244.77172183990479,1605632,0.7645203471183777,-0.007136500795604661,0.001,0.009075873,119.33012390136719,-4.612773388624191,480,0.601723313331604,0.0912841796875,0.2,275.3765714645386
50,1372,1193,231.42794704437256,1638400,0.7594752311706543,-0.0076295827311696485,0.001,0.008771465,96.18038940429688,-4.578431302309037,490,0.6570071876049042,0.083355712890625,0.2,267.0697744369507
51,1402,1191,180.92645251750946,1671168,0.7542918920516968,-0.007424171481397934,0.001,0.008612176,90.73157501220703,-4.550698518753052,500,0.6164253354072571,0.0867828369140625,0.2,266.2540905952454
52,1432,1189,152.85088729858398,1703936,0.7502245903015137,-0.007730240936507471,0.001,0.009158889,77.35367584228516,-4.523742720484734,510,0.6722754538059235,0.0922576904296875,0.2,243.89763445854186
53,1463,1186,223.8270125389099,1736704,0.7427491545677185,-0.006853920189314522,0.001,0.009953704,71.27957153320312,-4.49076583981514,520,0.6204383075237274,0.0917755126953125,0.2,285.98565526008605
54,1493,1184,218.90503406524658,1769472,0.7365550994873047,-0.007581786817172542,0.001,0.008671427,71.39715576171875,-4.4570269048213955,530,0.6398060321807861,0.0954925537109375,0.2,300.3682879447937
55,1523,1182,159.8878948688507,1802240,0.7297115921974182,-0.007271529460558668,0.001,0.00957348,119.213623046875,-4.423886957764625,540,0.654002457857132,0.0946319580078125,0.2,257.48558206558226
56,1553,1181,185.87960743904114,1835008,0.7261049747467041,-0.007383002025017049,0.001,0.010622332,73.13584899902344,-4.391127172112465,550,0.6030575633049011,0.1159332275390625,0.2,252.1159378528595
57,1584,1179,274.4986228942871,1867776,0.7218137979507446,-0.006846897688228637,0.001,0.010720805,94.1958236694336,-4.369141072034836,560,0.6411108076572418,0.1066131591796875,0.2,260.7101049423218
58,1614,1176,177.29279708862305,1900544,0.7205185890197754,-0.007375935786694754,0.001,0.008826882,100.28844451904297,-4.357541352510452,570,0.6705873310565948,0.09700927734375,0.2,257.20777702331543
59,1645,1174,202.50310754776,1933312,0.7166624069213867,-0.007885527091275435,0.001,0.0085234605,91.44544219970703,-4.340303146839142,580,0.6436192691326141,0.0944671630859375,0.2,266.5596608161926
60,1676,1172,257.94576048851013,1966080,0.715467631816864,-0.006521408607659396,0.001,0.011317966,82.0993423461914,-4.3307436317205426,590,0.6460359692573547,0.112738037109375,0.2,281.75931243896486
61,1707,1170,204.01581406593323,1998848,0.70911705493927,-0.007559610105818138,0.001,0.009899139,76.6910629272461,-4.298724395036698,600,0.6319872736930847,0.1102935791015625,0.2,268.8916694641113
62,1738,1168,223.43562078475952,2031616,0.7093480825424194,-0.006745731232513208,0.001,0.012436725,107.00636291503906,-4.288618859648705,610,0.6425155997276306,0.1213592529296875,0.2,265.82017011642455
