time/iterations,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/fps,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/std,train/value_loss
1,32768,-502.67905616760254,99,328,,,,,,,,,,,
2,65536,-412.18413758277893,177,369,0.0433502197265625,4411.0048828125,0.0051761474,0.001,10,-0.00506239540700335,-5.662949955463409,-0.0007498264312744141,0.2,0.9957980513572693,9801.049557495116
3,98304,-471.9746723175049,252,388,0.035009765625,3983.4130859375,0.0050248913,0.001,20,-0.005269628348469268,-5.6502074867486956,0.0002688169479370117,0.2,0.9932906627655029,8845.209371948242
4,131072,-459.65069630742073,323,405,0.04495849609375,3302.49853515625,0.006154181,0.001,30,-0.006276658119168133,-5.646249443292618,0.0099334716796875,0.2,0.9927390813827515,6985.904745483398
5,163840,-491.6061180830002,393,416,0.0512115478515625,2597.4619140625,0.005869011,0.001,40,-0.00771265076182317,-5.621965897083283,0.09069740772247314,0.2,0.9868901968002319,5874.665252685547
6,196608,-376.4586372375488,464,423,0.0347412109375,2626.15771484375,0.005340379,0.001,50,-0.0066675450638285835,-5.612103641033173,0.18354296684265137,0.2,0.9836487770080566,5733.01001586914
7,229376,-528.5753698348999,533,429,0.0482452392578125,2051.025390625,0.0060419636,0.001,60,-0.00702668303711107,-5.58931340277195,0.228324294090271,0.2,0.9772731065750122,4509.293605041504
8,262144,-456.41684675216675,602,434,0.0429229736328125,2361.937255859375,0.0058825864,0.001,70,-0.0075035138870589435,-5.581838604807854,0.2591138482093811,0.2,0.9769772291183472,4635.246159362793
9,294912,-374.77008843421936,671,438,0.0495574951171875,1744.5115966796875,0.006127519,0.001,80,-0.007740006169478874,-5.557996454834938,0.32658088207244873,0.2,0.9686411023139954,3754.262243652344
10,327680,-389.37387585639954,739,443,0.04317626953125,1749.486572265625,0.0054403115,0.001,90,-0.007382284110644832,-5.529750269651413,0.36178892850875854,0.2,0.9630246758460999,3709.324443054199
11,360448,-479.4628963470459,804,447,0.0448486328125,1475.6722412109375,0.0055217072,0.001,100,-0.007839697969757253,-5.51298311650753,0.36589980125427246,0.2,0.960227370262146,3458.9466720581054
12,393216,-479.81388425827026,870,451,0.042620849609375,1428.469970703125,0.0058727628,0.001,110,-0.008106450294144451,-5.492657026648521,0.42043936252593994,0.2,0.9538087844848633,2966.018092346191
13,425984,-372.18359661102295,935,455,0.03665771484375,1267.7603759765625,0.0050103804,0.001,120,-0.007335651402536314,-5.478249353170395,0.4563608169555664,0.2,0.9513908624649048,2639.29963760376
14,458752,-365.30923867225647,1002,457,0.035784912109375,1219.9156494140625,0.0048835916,0.001,130,-0.007403000330668874,-5.4773895829916,0.43147778511047363,0.2,0.9516287446022034,2730.7625076293943
15,491520,-433.1904892921448,1065,461,0.0418487548828125,1181.75537109375,0.005817644,0.001,140,-0.00798700165032642,-5.462784418463707,0.4811558723449707,0.2,0.9460818767547607,2816.801824951172
16,524288,-315.6720700263977,1128,464,0.0389068603515625,1211.1558837890625,0.005256518,0.001,150,-0.007905899923935067,-5.439103376865387,0.49058592319488525,0.2,0.9407466650009155,2494.203591918945
17,557056,-402.61820888519287,1191,467,0.037445068359375,1046.532958984375,0.005627444,0.001,160,-0.007297736102191266,-5.418217971920967,0.5069336295127869,0.2,0.9352169632911682,2380.578010559082
18,589824,-379.8763903975487,1253,470,0.0426055908203125,1030.1361083984375,0.0053843474,0.001,170,-0.00781579908070853,-5.394867241382599,0.5190816223621368,0.2,0.9314157962799072,2414.668175506592
19,622592,-412.67508268356323,1313,473,0.046075439453125,1072.8157958984375,0.0059732236,0.001,180,-0.008568859355000314,-5.3915693134069445,0.5286737382411957,0.2,0.9317442178726196,2462.63324508667
20,655360,-353.6650188565254,1373,477,0.0423858642578125,976.802978515625,0.005775908,0.001,190,-0.008072427399019944,-5.380811685323716,0.5704618096351624,0.2,0.9275886416435242,2163.4046981811525
21,688128,-302.63487631082535,1430,481,0.040203857421875,969.5960693359375,0.005251009,0.001,200,-0.007829005522944498,-5.3722292393445965,0.6115467548370361,0.2,0.9270946979522705,2137.1977981567384
22,720896,-57.465746730566025,1485,485,0.0441162109375,711.3825073242188,0.0057203486,0.001,210,-0.008180166863894556,-5.363407614827156,0.6453185677528381,0.2,0.923511266708374,1892.2004409790038
23,753664,-250.0920307636261,1538,489,0.0467193603515625,987.8202514648438,0.0060128816,0.001,220,-0.008782821160275489,-5.344016674160957,0.6471790671348572,0.2,0.9185447096824646,1940.1973655700683
24,786432,-83.54338854551315,1590,494,0.0514739990234375,653.1746215820312,0.006372858,0.001,230,-0.008613562815298792,-5.316741728782654,0.6770211458206177,0.2,0.9121420383453369,1850.3822784423828
25,819200,-37.724655866622925,1641,499,0.0416748046875,608.8947143554688,0.005618996,0.001,240,-0.008285491743299645,-5.292603257298469,0.7076371908187866,0.2,0.906168520450592,1510.5212715148925
26,851968,-234.5410180091858,1692,503,0.04554443359375,684.57177734375,0.005960067,0.001,250,-0.008030039152072278,-5.266860219836235,0.7082603275775909,0.2,0.9015226364135742,1605.1633010864257
27,884736,15.307820031419396,1739,508,0.04217529296875,606.289794921875,0.0056073256,0.001,260,-0.007462114721420221,-5.2490598320960995,0.6780271530151367,0.2,0.8968351483345032,1562.5810920715332
28,917504,77.71741712093353,1787,513,0.04256591796875,401.5754699707031,0.0057132156,0.001,270,-0.007906467707653065,-5.222530436515808,0.7128679752349854,0.2,0.8899487853050232,1242.1742771148681
29,950272,27.314508318901062,1832,518,0.0520660400390625,469.2070007324219,0.006409612,0.001,280,-0.00838326671437244,-5.190654042363167,0.7563467621803284,0.2,0.8830878734588623,1211.5818572998046
30,983040,-9.850734114646912,1876,523,0.0463409423828125,454.74267578125,0.0061322143,0.001,290,-0.007653949121595361,-5.161467874050141,0.7271134257316589,0.2,0.8770543336868286,1287.0156288146973
31,1015808,-7.512517809867859,1920,528,0.037969970703125,387.6600646972656,0.0056042634,0.001,300,-0.007561768413870596,-5.140765112638474,0.7539216876029968,0.2,0.8733842372894287,1165.3856281280518
32,1048576,100.33565698564053,1962,534,0.0402923583984375,328.49371337890625,0.0053605577,0.001,310,-0.008278438843262848,-5.118960052728653,0.7523300647735596,0.2,0.8687560558319092,1066.1725879669189
33,1081344,142.62234210968018,2003,539,0.0425811767578125,337.3378601074219,0.005711822,0.001,320,-0.007738312610308639,-5.099929702281952,0.7344207465648651,0.2,0.8640471696853638,909.3199970245362
34,1114112,6.713807821273804,2045,544,0.0489837646484375,288.9374694824219,0.006053467,0.001,330,-0.007885221304604784,-5.082042220234871,0.7308495342731476,0.2,0.8609334230422974,897.0906232833862
35,1146880,40.86741781234741,2086,549,0.0392547607421875,259.3992614746094,0.0055491994,0.001,340,-0.007760613661957905,-5.063411214947701,0.7288427948951721,0.2,0.8571288585662842,951.8559684753418
36,1179648,157.33251667022705,2126,554,0.0478729248046875,312.9596252441406,0.0061001386,0.001,350,-0.008202684053685516,-5.040523284673691,0.742158830165863,0.2,0.8512140512466431,925.6298429489136
37,1212416,172.140594124794,2165,559,0.0536956787109375,239.4674530029297,0.006525321,0.001,360,-0.009438982942083386,-5.0082819133996965,0.7374803423881531,0.2,0.8439144492149353,818.741513633728
38,1245184,70.21283555030823,2206,564,0.044818115234375,283.4345397949219,0.0057840557,0.001,370,-0.0075544342180364765,-4.991512256860733,0.7278874814510345,0.2,0.8418923616409302,911.5359687805176
39,1277952,2.1449583768844604,2245,569,0.06103515625,219.39337158203125,0.007140994,0.001,380,-0.008993854169966653,-4.962908643484115,0.7292601466178894,0.2,0.8346915245056152,696.0927967071533
40,1310720,77.37280702590942,2285,573,0.0477813720703125,147.560302734375,0.006670882,0.001,390,-0.009428922171355224,-4.934625494480133,0.7243079543113708,0.2,0.8280922174453735,578.4355995178223
41,1343488,64.44311380386353,2324,578,0.053570556640625,219.8953399658203,0.0066107833,0.001,400,-0.008938561816466972,-4.905009788274765,0.700301468372345,0.2,0.8226744532585144,789.1582067489624
42,1376256,131.70503902435303,2363,582,0.052569580078125,205.509521484375,0.0066446336,0.001,410,-0.008904728411289397,-4.887275445461273,0.713482141494751,0.2,0.820130467414856,622.0184890747071
43,1409024,117.91670858860016,2400,586,0.0615814208984375,236.18820190429688,0.0071481923,0.001,420,-0.008089329778886167,-4.863872948288917,0.6793346405029297,0.2,0.8142480850219727,648.7513013839722
44,1441792,68.80798667669296,2438,591,0.0638824462890625,164.0690155029297,0.006896346,0.001,430,-0.009584811951208394,-4.852715173363686,0.7385037243366241,0.2,0.8140474557876587,528.0632873535156
45,1474560,117.46957337856293,2477,595,0.056561279296875,206.82423400878906,0.0066336086,0.001,440,-0.009100684101576917,-4.8390805393457414,0.721369743347168,0.2,0.8101215362548828,563.8079305648804
46,1507328,121.27733945846558,2516,598,0.0664703369140625,145.0450897216797,0.0077970703,0.001,450,-0.00992832834890578,-4.816687861084938,0.6968121826648712,0.2,0.8051002621650696,610.6446252822876
47,1540096,89.83070540428162,2555,602,0.06195068359375,141.05873107910156,0.006864464,0.001,460,-0.008353583367716055,-4.788820976018906,0.6443536579608917,0.2,0.7997279167175293,572.4680099487305
48,1572864,120.42108869552612,2595,606,0.0707977294921875,167.2307586669922,0.00774454,0.001,470,-0.008855407906958134,-4.746417245268821,0.6335280239582062,0.2,0.7899786829948425,547.6666483879089
