time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rew_vec_envs,train/approx_kl,train/loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/std,train/explained_variance,train/entropy_loss,train/clip_fraction,train/learning_rate,train/n_updates
1,366,89,32768,-649.683835029602,,,,,,,,,,,
2,398,164,65536,-478.196102142334,0.010063446,1574.4569091796875,5816.490218734742,0.2,-0.007382051918102661,1.003516435623169,-0.0015996694564819336,-5.683811566978693,0.1154388427734375,0.001,10
3,417,235,98304,-418.30732774734497,0.00707374,1406.04296875,3578.8152587890627,0.2,-0.007855284220568137,0.9986345767974854,0.4184550642967224,-5.672905565798283,0.0785797119140625,0.001,20
4,429,305,131072,-530.6138172149658,0.0070796916,1244.01416015625,3085.195234680176,0.2,-0.007817178393452195,0.9904338121414185,0.4298320412635803,-5.64244075268507,0.0760284423828125,0.001,30
5,437,374,163840,-533.1827917098999,0.006735923,994.89453125,2732.3066549301147,0.2,-0.0075145739330764625,0.985834002494812,0.403300940990448,-5.622005657851696,0.073486328125,0.001,40
6,442,444,196608,-571.992769241333,0.006949731,824.8074340820312,2352.4447359085084,0.2,-0.007751630357597605,0.9789549112319946,0.3893868923187256,-5.5981379829347135,0.068670654296875,0.001,50
7,448,511,229376,-465.89004850387573,0.0067889662,1102.851318359375,2409.9570545196534,0.2,-0.007866034577637038,0.9739418029785156,0.31855589151382446,-5.574976382404566,0.0695526123046875,0.001,60
8,453,577,262144,-385.229345202446,0.007235323,620.9072875976562,2018.7358735084533,0.2,-0.008908677041472402,0.9659510254859924,0.35545164346694946,-5.5443755179643635,0.07752685546875,0.001,70
9,458,642,294912,-393.08122050762177,0.007879718,509.6623840332031,1775.0550097465516,0.2,-0.008131990478614171,0.9598273634910583,0.3874008059501648,-5.5200884774327275,0.0745269775390625,0.001,80
10,461,709,327680,-368.5349106788635,0.008297036,502.570068359375,1780.9953091621398,0.2,-0.009455260627510143,0.9566788673400879,0.38709068298339844,-5.503579007089138,0.08465576171875,0.001,90
11,464,775,360448,-382.427973985672,0.0074317693,501.8361511230469,1533.970736694336,0.2,-0.009005042990247602,0.9492135047912598,0.3944609761238098,-5.475292064994574,0.0751251220703125,0.001,100
12,467,841,393216,-383.62267661094666,0.007886216,362.9856262207031,1517.074226951599,0.2,-0.009580731752430438,0.945490300655365,0.41840386390686035,-5.458882881700992,0.0843475341796875,0.001,110
13,470,904,425984,-363.52468490600586,0.007822205,458.27239990234375,1485.6676712036133,0.2,-0.008565929508404225,0.9430559277534485,0.45055264234542847,-5.44618910253048,0.079913330078125,0.001,120
14,472,970,458752,-263.4801986217499,0.008675949,447.23858642578125,1261.4951865196228,0.2,-0.00968678203280433,0.9438039660453796,0.4515455365180969,-5.442762441933155,0.090008544921875,0.001,130
15,474,1035,491520,-401.19871950149536,0.008667018,260.50146484375,1476.7301577568055,0.2,-0.009261348985455697,0.9405553340911865,0.45514941215515137,-5.434388986229896,0.0887451171875,0.001,140
16,477,1098,524288,-387.47784996032715,0.008630438,495.880126953125,1468.2004351615906,0.2,-0.010727242249049595,0.9390572309494019,0.4530322551727295,-5.425556829571724,0.0956085205078125,0.001,150
17,480,1158,557056,-410.9993966817856,0.00914207,488.46612548828125,1260.9986401081085,0.2,-0.009951314879799611,0.9370297193527222,0.4534332752227783,-5.414273491501808,0.0890167236328125,0.001,160
18,483,1218,589824,-337.8270106911659,0.008771794,286.1123962402344,1197.3765080451965,0.2,-0.009661399019387317,0.931949257850647,0.5165023803710938,-5.3960508301854135,0.0944976806640625,0.001,170
19,487,1276,622592,-215.7992765903473,0.010048333,338.3709716796875,1029.9192152500152,0.2,-0.01074867932293273,0.928221583366394,0.5595748424530029,-5.374600979685783,0.1187286376953125,0.001,180
20,491,1334,655360,-140.87528220564127,0.01169665,322.7084655761719,892.3588735580445,0.2,-0.010199911274685291,0.9237642884254456,0.5805605351924896,-5.359424863010645,0.1338470458984375,0.001,190
21,494,1391,688128,-299.3133792877197,0.012180766,305.3929443359375,1025.8744875907898,0.2,-0.010026827534238692,0.9182224273681641,0.5240218937397003,-5.334783794730901,0.13419189453125,0.001,200
22,498,1444,720896,-33.15341953933239,0.013993377,139.20944213867188,736.1072187900543,0.2,-0.011264879757072776,0.912592887878418,0.5972171425819397,-5.3079493962228295,0.1413482666015625,0.001,210
23,503,1498,753664,-186.38846765644848,0.015338378,478.0613708496094,660.3965940952301,0.2,-0.010372413101140409,0.9055477380752563,0.6348403692245483,-5.285425327718258,0.15863037109375,0.001,220
24,508,1547,786432,-52.15979337692261,0.015139154,264.14471435546875,740.6976039648056,0.2,-0.009784330968250288,0.9035047292709351,0.5986952185630798,-5.27537924721837,0.164801025390625,0.001,230
25,512,1599,819200,-211.79353421926498,0.015294965,195.6712188720703,654.0545538544654,0.2,-0.008018263194389873,0.896673321723938,0.6127365231513977,-5.241816415637731,0.160955810546875,0.001,240
26,516,1648,851968,-78.99941086769104,0.015890354,96.7195816040039,526.6906403899193,0.2,-0.010548242224103888,0.8922223448753357,0.6662910878658295,-5.216775462031364,0.16080322265625,0.001,250
27,520,1698,884736,-31.962446503341198,0.015014384,137.44564819335938,578.3093935966492,0.2,-0.009843513052692288,0.8852164149284363,0.6801030337810516,-5.187323146313429,0.163787841796875,0.001,260
28,525,1746,917504,-58.82887947559357,0.01857534,68.62759399414062,400.5752877116203,0.2,-0.010685639553776128,0.8806296586990356,0.7041759788990021,-5.172161111235619,0.1888885498046875,0.001,270
29,528,1797,950272,15.629054129123688,0.021799333,195.7043914794922,455.5085057854652,0.2,-0.009773622989450814,0.8747797012329102,0.7011659741401672,-5.143861854076386,0.2011199951171875,0.001,280
30,533,1842,983040,4.987555742263794,0.021089498,119.90522766113281,360.0007643342018,0.2,-0.007867585198255256,0.8707796335220337,0.7146187126636505,-5.117297150194645,0.2259521484375,0.001,290
31,537,1889,1015808,-33.95814976096153,0.033403303,47.949615478515625,281.20208447575567,0.2,-0.006928083209641045,0.869085431098938,0.6690674126148224,-5.110929173976183,0.25416259765625,0.001,300
32,541,1935,1048576,38.734050929546356,0.021388792,90.58493041992188,378.821126806736,0.2,-0.008724022695605526,0.8685438632965088,0.6897683441638947,-5.110514114797115,0.2109161376953125,0.001,310
33,546,1980,1081344,39.08216181397438,0.02183901,148.5212860107422,314.3620710551739,0.2,-0.008163163137214723,0.8668099045753479,0.7216846644878387,-5.105086637288332,0.222979736328125,0.001,320
34,550,2024,1114112,22.002954721450806,0.025519723,36.49391174316406,298.2651576220989,0.2,-0.006621556793834316,0.8643842339515686,0.6917839646339417,-5.088891918957233,0.2524444580078125,0.001,330
35,554,2067,1146880,53.56716404855251,0.02970567,28.152565002441406,282.82458744049075,0.2,-0.0060481467586214425,0.8632431030273438,0.6688733398914337,-5.087570095807314,0.2426513671875,0.001,340
36,558,2112,1179648,91.98512529954314,0.035826467,46.096778869628906,208.8711390554905,0.2,-0.0023924381832330253,0.8644670248031616,0.7173511683940887,-5.085193974524737,0.29970703125,0.001,350
37,562,2156,1212416,67.23483747243881,0.02523857,41.48029327392578,276.74643177986144,0.2,-0.00555784087300708,0.8665109872817993,0.6515700221061707,-5.0970928110182285,0.2436859130859375,0.001,360
38,565,2202,1245184,52.33412194252014,0.023440998,140.423828125,329.8084906041622,0.2,-0.00924533245852217,0.8635444641113281,0.6773485243320465,-5.098929744958878,0.219952392578125,0.001,370
39,569,2244,1277952,105.08493053913116,0.024967384,42.649375915527344,214.08417617678643,0.2,-0.004790360347396927,0.8637162446975708,0.6874868869781494,-5.082358469069004,0.27713623046875,0.001,380
40,572,2287,1310720,83.09929245710373,0.036653824,22.890260696411133,197.9594141960144,0.2,-0.0011853086711198558,0.858612060546875,0.662818431854248,-5.062832965701818,0.273809814453125,0.001,390
41,576,2330,1343488,49.75018846988678,0.030875962,37.83339309692383,209.2317546337843,0.2,-0.0061393855627102315,0.853023886680603,0.6576361060142517,-5.043036240339279,0.2764129638671875,0.001,400
42,579,2373,1376256,18.452274948358536,0.028944947,25.07773208618164,235.61416079998017,0.2,-0.005781835968082305,0.8512790203094482,0.6586151421070099,-5.0296731144189835,0.2616485595703125,0.001,410
43,583,2416,1409024,37.86159121990204,0.02406907,57.92802047729492,298.7509062767029,0.2,-0.007123081997633562,0.8450294137001038,0.6697894334793091,-5.009397597610951,0.2449493408203125,0.001,420
44,586,2458,1441792,72.0439119040966,0.029885055,124.13203430175781,279.2108529448509,0.2,-0.005243506682745647,0.8438115119934082,0.6342546939849854,-4.989439538866281,0.259857177734375,0.001,430
45,589,2502,1474560,117.89213061332703,0.024639446,62.77113723754883,272.95966483950616,0.2,-0.005833832904318115,0.8445913791656494,0.6223964095115662,-4.983519382029772,0.262139892578125,0.001,440
