time/total_timesteps,time/fps,rew_vec_envs,time/time_elapsed,time/iterations,train/learning_rate,train/entropy_loss,train/clip_range,train/explained_variance,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/std
16384,329,-1216.8136444091797,49,1,,,,,,,,,,,
32768,346,-1153.6926879882812,94,2,0.001,-5.669190187752247,0.2,-0.0002942085266113281,1436.946044921875,10,-0.009594942355761304,0.155755615234375,0.011718629,5065.214508628846,0.9991937875747681
49152,355,-1359.7372207641602,138,3,0.001,-5.654002168029547,0.2,0.4390942454338074,555.9530029296875,20,-0.010783021178212948,0.134283447265625,0.011264143,2705.772306251526,0.9955295324325562
65536,360,-1251.4614639282227,181,4,0.001,-5.626223476976156,0.2,0.4797111749649048,577.6959228515625,30,-0.011011242760287133,0.12059326171875,0.01145158,2189.6525095939637,0.9845367670059204
81920,366,-1260.8317260742188,223,5,0.001,-5.58564378991723,0.2,0.3949965834617615,900.32275390625,40,-0.010895538906333968,0.10284423828125,0.008641098,1842.0036334037782,0.9736720323562622
98304,370,-881.0442237854004,265,6,0.001,-5.560183497518301,0.2,0.35815656185150146,794.9073486328125,50,-0.010795569354377222,0.112908935546875,0.010288599,1801.1571788311005,0.9709005355834961
114688,371,-916.4135971069336,308,7,0.001,-5.545665905624628,0.2,0.3829948306083679,438.64776611328125,60,-0.01129087953522685,0.103558349609375,0.010068737,1361.4617136955262,0.9666880965232849
131072,375,-949.9416885375977,349,8,0.001,-5.527393762767315,0.2,0.3595973253250122,469.2273864746094,70,-0.011109303623743471,0.114654541015625,0.011612363,1287.8241451740264,0.9617881774902344
147456,378,-1017.3445129394531,389,9,0.001,-5.51711326688528,0.2,0.41787946224212646,767.1946411132812,80,-0.012149412011058302,0.123162841796875,0.010532586,1269.484858083725,0.9634465575218201
163840,382,-834.5596694946289,428,10,0.001,-5.518933591246605,0.2,0.4014577865600586,359.8058166503906,90,-0.012603339275665348,0.133087158203125,0.012099952,997.1647543430329,0.9590801000595093
180224,386,-946.2809066772461,466,11,0.001,-5.496748271584511,0.2,0.4519340395927429,341.67706298828125,100,-0.011129682763566962,0.136895751953125,0.012775663,1140.3386714458466,0.9562669396400452
196608,391,-830.0992813110352,502,12,0.001,-5.4728259183466434,0.2,0.38161563873291016,214.49256896972656,110,-0.01200035348192614,0.148797607421875,0.015231524,1046.8432786464691,0.9469040036201477
212992,394,-720.9066696166992,539,13,0.001,-5.435166049748659,0.2,0.49694275856018066,288.6386413574219,120,-0.013666848179127555,0.1770751953125,0.018090451,772.035255074501,0.9381919503211975
229376,398,-656.3191747665405,575,14,0.001,-5.398756965249777,0.2,0.40213602781295776,289.98822021484375,130,-0.012720362618711078,0.161541748046875,0.016259588,907.9322075605393,0.9313770532608032
245760,403,-411.7098364830017,608,15,0.001,-5.384310905635357,0.2,0.5153266191482544,121.35285186767578,140,-0.011717609663901386,0.17554931640625,0.017402388,790.1693588972091,0.9286995530128479
262144,407,-903.1668701171875,643,16,0.001,-5.359376548975706,0.2,0.5122101306915283,112.72537994384766,150,-0.011670331091590925,0.181060791015625,0.015666403,723.7723832964897,0.9226646423339844
278528,410,-1018.0560607910156,677,17,0.001,-5.348896852880716,0.2,0.535568505525589,138.4230194091797,160,-0.013599740670179017,0.19478759765625,0.017170835,744.8632286787033,0.9198484420776367
294912,414,-688.9351844787598,712,18,0.001,-5.329913005977869,0.2,0.4423593282699585,117.38837432861328,170,-0.011825993637467036,0.18251953125,0.01635844,824.2627251505852,0.9155452251434326
311296,417,-672.3949613571167,745,19,0.001,-5.309658482670784,0.2,0.5416931509971619,480.5322570800781,180,-0.013495571211024071,0.22059326171875,0.023757402,652.9304642915725,0.9111630916595459
327680,422,-422.0007076263428,776,20,0.001,-5.281303476542234,0.2,0.5224423706531525,117.63514709472656,190,-0.009567434244672768,0.215423583984375,0.02279104,674.9927723288536,0.9063588976860046
344064,425,-538.4844131469727,807,21,0.001,-5.245563946664333,0.2,0.5549483597278595,47.89169692993164,200,-0.0077835495249019004,0.257916259765625,0.028285155,550.0322058260441,0.895740270614624
360448,429,-501.27379608154297,839,22,0.001,-5.221250537037849,0.2,0.5671700835227966,76.57427215576172,210,-0.009217909228391363,0.231805419921875,0.024185143,552.0458996415139,0.8932271003723145
376832,432,-301.7692241668701,871,23,0.001,-5.194604992121458,0.2,0.5598195493221283,212.51304626464844,220,-0.007751012690278003,0.251025390625,0.025723472,484.6955144882202,0.8864280581474304
393216,436,-421.06381607055664,900,24,0.001,-5.1808142304420475,0.2,0.5606692135334015,39.045284271240234,230,-0.005410574840425397,0.295941162109375,0.02633679,379.7878820180893,0.8828644752502441
409600,440,-448.0732889175415,930,25,0.001,-5.158983346819878,0.2,0.5496399700641632,43.936370849609375,240,-0.0012684967296081595,0.3275634765625,0.04422731,338.2982678771019,0.878377377986908
425984,443,-379.08761405944824,959,26,0.001,-5.150123915821314,0.2,0.5545340180397034,63.79030990600586,250,-0.009326913215772947,0.24398193359375,0.029346887,451.25626610517503,0.8766359090805054
442368,446,-404.51172161102295,990,27,0.001,-5.15354925096035,0.2,0.5009729564189911,80.00707244873047,260,-0.00623377320880536,0.30758056640625,0.036670793,351.5916681408882,0.8781824111938477
