agent_id,elapsed_time,rew_closing_distance,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,approaching,chasing,in_range,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[mission_complete],info[out_of_bounds],info[timeover]
0,0.09166666666666666,0.0,0.0,11.513795738669943,0.0,11.513795738669943,1.5715012168131899,1,0,0,0,0,0,0,0,0,0,0,0
1,0.09166666666666666,0.0,0.0,18.768967775623768,0.0,18.768967775623768,1.5725599364862315,1,0,0,0,0,0,0,0,0,0,0,0
2,0.09166666666666666,0.0,0.0,0.0,0.0,0.0,1.5703988439355827,0,1,0,0,0,0,0,0,0,0,0,0
3,0.09166666666666666,0.0,0.0,13.28066921187274,0.0,13.28066921187274,1.5726629328423778,1,0,0,0,0,0,0,0,0,0,0,0
4,0.09166666666666666,0.0,0.0,0.0,0.0,0.0,1.5708039413216752,0,0,0,0,0,0,0,0,0,0,0,0
5,0.09166666666666666,0.0,0.0,0.0,0.0,0.0,1.5703393097445415,0,1,0,0,0,0,0,0,0,0,0,0
6,0.09166666666666666,0.0,0.0,0.0,0.0,0.0,1.571109504508364,0,0,0,0,0,0,0,0,0,0,0,0
7,0.09166666666666666,0.009570247000002752,1.9101202568522313,5.3513644536657425,0.0,7.271054957517976,1.5705817417714987,1,1,0,0,0,0,0,0,0,0,0,0
8,0.09166666666666666,0.0001840290280110679,1.9103030160914352,5.03310047474138,0.0,6.9435875198608255,1.5704314837643576,1,1,0,0,0,0,0,0,0,0,0,0
9,0.09166666666666666,0.0,0.0,0.0,0.0,0.0,1.5709782705639652,0,0,0,0,0,0,0,0,0,0,0,0
10,0.09166666666666666,0.0,0.0,0.0,0.0,0.0,1.570768347946574,0,1,0,0,0,0,0,0,0,0,0,0
11,0.09166666666666666,0.0,0.0,0.0,0.0,0.0,1.5717421440960995,0,0,0,0,0,0,0,0,0,0,0,0
12,0.09166666666666666,0.0,0.0,13.266174133873099,0.0,13.266174133873099,1.5711542456479874,1,0,0,0,0,0,0,0,0,0,0,0
13,0.09166666666666666,0.0,0.0,5.2897950441665,0.0,5.2897950441665,1.571016768510129,1,0,0,0,0,0,0,0,0,0,0,0
14,0.09166666666666666,0.007767279795135806,1.9103378090672232,12.0495441694655,0.0,13.96764925832786,1.5704028815012752,1,1,0,0,0,0,0,0,0,0,0,0
15,0.09166666666666666,0.0,0.0,0.0,0.0,0.0,1.57075255762179,0,1,0,0,0,0,0,0,0,0,0,0
16,0.09166666666666666,0.0,0.0,0.0,0.0,0.0,1.5716894962965966,0,0,0,0,0,0,0,0,0,0,0,0
17,0.09166666666666666,0.0,0.0,0.0,0.0,0.0,1.5702948295966417,0,1,0,0,0,0,0,0,0,0,0,0
18,0.09166666666666666,0.0,0.0,12.263447530667653,0.0,12.263447530667653,1.57251333774956,1,0,0,0,0,0,0,0,0,0,0,0
19,0.09166666666666666,0.0,0.0,13.311918512873387,0.0,13.311918512873387,1.5717098084998713,1,0,0,0,0,0,0,0,0,0,0,0
0,0.1,0.0,0.0,11.513795738669943,0.0,23.027591477339886,1.571155013390927,1,0,0,0,0,0,0,0,0,0,0,0
1,0.1,0.0,0.0,18.768967775623768,0.0,37.537935551247536,1.571727885702021,1,0,0,0,0,0,0,0,0,0,0,0
2,0.1,0.0,0.0,0.0,0.0,0.0,1.5705842540786459,0,1,0,0,0,0,0,0,0,0,0,0
3,0.1,0.0,0.0,13.28066921187274,0.0,26.56133842374548,1.5717349441562256,1,0,0,0,0,0,0,0,0,0,0,0
4,0.1,0.0,0.0,0.0,0.0,0.0,1.570799335449621,0,0,0,0,0,0,0,0,0,0,0,0
5,0.1,0.0,0.0,0.0,0.0,0.0,1.5705487336261748,0,1,0,0,0,0,0,0,0,0,0,0
6,0.1,0.0,0.0,5.874216648944547,0.0,5.874216648944547,1.5709584025674168,1,0,0,0,0,0,0,0,0,0,0,0
7,0.1,0.0016653273700084625,1.9099833648681075,5.3513644536657425,0.0,14.534068103421834,1.5706943082235498,1,1,0,0,0,0,0,0,0,0,0,0
