rewards2,rewards1,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/std,train/policy_gradient_loss,train/loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance
0.36359784,0.8613522,,,,,,,,,,,,,,,
0.3720843,0.9110755,,,,,,,,,,,,,,,
0.37285715,0.9576312,,,,,,,,,,,,,,,
0.3732041,0.98969024,,,,,,,,,,,,,,,
0.384772,1.0098896,,,,,,,,,,,,,,,
0.40181938,1.0352566,,,,,,,,,,,,,,,
0.37890333,1.0263188,,,,,,,,,,,,,,,
0.31792888,1.0430694,,,,,,,,,,,,,,,
0.30031413,1.0307201,,,,,,,,,,,,,,,
0.32396415,1.0030289,,,,,,,,,,,,,,,
0.3347626,0.98347926,,,,,,,,,,,,,,,
0.34654838,0.9878242,,,,,,,,,,,,,,,
0.36346605,0.909461,,,,,,,,,,,,,,,
0.34562764,0.9375951,,,,,,,,,,,,,,,
0.35842067,0.91997516,,,,,,,,,,,,,,,
0.35096014,0.92311835,,,,,,,,,,,,,,,
0.34906796,0.9336557,,,,,,,,,,,,,,,
0.34769562,0.9585349,,,,,,,,,,,,,,,
0.3385548,1.0191624,,,,,,,,,,,,,,,
0.35820067,1.0242865,,,,,,,,,,,,,,,
0.35140038,1.064294,,,,,,,,,,,,,,,
0.34795463,1.0442777,,,,,,,,,,,,,,,
0.36047488,1.0635442,,,,,,,,,,,,,,,
0.35394895,1.0603801,,,,,,,,,,,,,,,
0.35749495,1.0663469,,,,,,,,,,,,,,,
0.35742688,1.079173,,,,,,,,,,,,,,,
0.34285313,1.1468194,,,,,,,,,,,,,,,
0.34457228,1.1453693,,,,,,,,,,,,,,,
0.33704847,1.111386,,,,,,,,,,,,,,,
0.34378073,1.1022741,,,,,,,,,,,,,,,
0.8028495,0.6056718,,,,,,,,,,,,,,,
0.80512416,0.68077165,,,,,,,,,,,,,,,
0.7940362,0.7276969,,,,,,,,,,,,,,,
0.7494117,0.77376515,,,,,,,,,,,,,,,
0.754652,0.7636627,,,,,,,,,,,,,,,
0.747376,0.76100504,,,,,,,,,,,,,,,
0.7359079,0.7755073,,,,,,,,,,,,,,,
0.7162152,0.79145175,,,,,,,,,,,,,,,
0.7309563,0.8053821,,,,,,,,,,,,,,,
0.7010722,0.7562895,,,,,,,,,,,,,,,
0.703411,0.7493649,,,,,,,,,,,,,,,
0.72293186,0.7251382,,,,,,,,,,,,,,,
0.7224237,0.69470835,,,,,,,,,,,,,,,
0.71806324,0.7265873,,,,,,,,,,,,,,,
0.7153234,0.74813807,,,,,,,,,,,,,,,
0.7304625,0.7411468,,,,,,,,,,,,,,,
0.72391367,0.7243736,,,,,,,,,,,,,,,
0.6977009,0.7356848,,,,,,,,,,,,,,,
0.7178812,0.72129685,,,,,,,,,,,,,,,
0.7242977,0.7154881,,,,,,,,,,,,,,,
0.7250829,0.71288747,,,,,,,,,,,,,,,
0.7419872,0.70499194,,,,,,,,,,,,,,,
0.7452964,0.69833905,,,,,,,,,,,,,,,
0.74584806,0.7027287,,,,,,,,,,,,,,,
0.7627007,0.70512795,,,,,,,,,,,,,,,
0.7572584,0.70498234,,,,,,,,,,,,,,,
0.7639634,0.71304464,,,,,,,,,,,,,,,
0.76641953,0.7092563,,,,,,,,,,,,,,,
0.7687622,0.7006881,,,,,,,,,,,,,,,
0.76685935,0.7244382,,,,,,,,,,,,,,,
0.7710067,0.7118833,,,,,,,,,,,,,,,
0.9896732,0.45219144,,,,,,,,,,,,,,,
0.9421694,0.48150352,,,,,,,,,,,,,,,
0.8406236,0.47230127,,,,,,,,,,,,,,,
0.76810986,0.41996375,,,,,,,,,,,,,,,
0.7110754,0.38144118,,,,,,,,,,,,,,,
0.64382786,0.35770094,,,,,,,,,,,,,,,
0.6242832,0.36593387,,,,,,,,,,,,,,,
0.65626097,0.37031427,,,,,,,,,,,,,,,
0.67170227,0.29781184,,,,,,,,,,,,,,,
0.6593498,0.29361644,,,,,,,,,,,,,,,
0.675513,0.2997561,,,,,,,,,,,,,,,
0.63946533,0.34488425,,,,,,,,,,,,,,,
0.6601304,0.34665558,,,,,,,,,,,,,,,
0.6648807,0.342805,,,,,,,,,,,,,,,
0.67985845,0.33980802,,,,,,,,,,,,,,,
0.66460216,0.3378413,,,,,,,,,,,,,,,
0.6754191,0.33780375,,,,,,,,,,,,,,,
0.6784495,0.3379157,,,,,,,,,,,,,,,
0.71240145,0.33897582,,,,,,,,,,,,,,,
0.6929738,0.34009975,,,,,,,,,,,,,,,
0.7050917,0.34184363,,,,,,,,,,,,,,,
0.70546335,0.34354922,,,,,,,,,,,,,,,
0.6969858,0.35153875,,,,,,,,,,,,,,,
0.70114696,0.3596127,,,,,,,,,,,,,,,
0.6955957,0.35750198,,,,,,,,,,,,,,,
0.719777,0.35969245,,,,,,,,,,,,,,,
0.69985735,0.35955685,,,,,,,,,,,,,,,
0.71832025,0.3628744,,,,,,,,,,,,,,,
0.75106245,0.36646405,,,,,,,,,,,,,,,
0.7260706,0.36307687,,,,,,,,,,,,,,,
0.39821878,1.0309612,,,,,,,,,,,,,,,
0.40588802,1.0401994,,,,,,,,,,,,,,,
0.4172808,1.0510195,,,,,,,,,,,,,,,
0.5113332,1.048214,,,,,,,,,,,,,,,
0.4832306,1.0534768,,,,,,,,,,,,,,,
0.44132894,1.045041,,,,,,,,,,,,,,,
0.46550122,1.0690349,,,,,,,,,,,,,,,
0.46220616,1.0771099,,,,,,,,,,,,,,,
0.44780812,1.0833203,,,,,,,,,,,,,,,
0.44786394,1.0748333,,,,,,,,,,,,,,,
0.447026,1.0810049,,,,,,,,,,,,,,,
0.4476193,1.0751456,,,,,,,,,,,,,,,
0.4749845,1.0580524,,,,,,,,,,,,,,,
0.47820598,1.0524203,,,,,,,,,,,,,,,
0.46178615,1.0493221,,,,,,,,,,,,,,,
0.43062893,1.0381953,,,,,,,,,,,,,,,
0.42387828,1.0527029,,,,,,,,,,,,,,,
0.4438579,1.0421559,,,,,,,,,,,,,,,
0.4207135,1.0424602,,,,,,,,,,,,,,,
