rew_vec_envs,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/n_updates,train/std
0.84996253,,,,,,,,,,,,,,,
0.97248244,,,,,,,,,,,,,,,
1.2166564,,,,,,,,,,,,,,,
1.512079,,,,,,,,,,,,,,,
0.7546633,,,,,,,,,,,,,,,
0.9333814,,,,,,,,,,,,,,,
1.1574249,,,,,,,,,,,,,,,
1.5685589,,,,,,,,,,,,,,,
2.088035,,,,,,,,,,,,,,,
0.8619637,,,,,,,,,,,,,,,
1.1314275,,,,,,,,,,,,,,,
1.6143231,,,,,,,,,,,,,,,
1.9979023,,,,,,,,,,,,,,,
2.3223608,,,,,,,,,,,,,,,
0.94505525,,,,,,,,,,,,,,,
1.1903408,,,,,,,,,,,,,,,
1.546298,,,,,,,,,,,,,,,
2.0665774,,,,,,,,,,,,,,,
2.7776678,,,,,,,,,,,,,,,
0.8836975,,,,,,,,,,,,,,,
1.0758584,,,,,,,,,,,,,,,
1.3248332,,,,,,,,,,,,,,,
1.6800451,,,,,,,,,,,,,,,
0.6841457,,,,,,,,,,,,,,,
0.78008103,,,,,,,,,,,,,,,
1.0279746,,,,,,,,,,,,,,,
1.5486782,,,,,,,,,,,,,,,
1.7930263,,,,,,,,,,,,,,,
0.75407076,,,,,,,,,,,,,,,
0.9972199,,,,,,,,,,,,,,,
1.3483088,,,,,,,,,,,,,,,
1.6051447,,,,,,,,,,,,,,,
2.0920143,,,,,,,,,,,,,,,
0.7522194,,,,,,,,,,,,,,,
0.98301953,,,,,,,,,,,,,,,
1.1694969,,,,,,,,,,,,,,,
1.4685227,,,,,,,,,,,,,,,
1.8730693,,,,,,,,,,,,,,,
0.8613632,,,,,,,,,,,,,,,
1.1287861,,,,,,,,,,,,,,,
1.5291407,,,,,,,,,,,,,,,
2.0141697,,,,,,,,,,,,,,,
161.14516,,,,,,,,,,,,,,,
0.90693396,,,,,,,,,,,,,,,
1.245292,,,,,,,,,,,,,,,
1.5319357,,,,,,,,,,,,,,,
1.8742034,,,,,,,,,,,,,,,
0.7533316,,,,,,,,,,,,,,,
0.877615,,,,,,,,,,,,,,,
1.1293721,,,,,,,,,,,,,,,
1.4757245,,,,,,,,,,,,,,,
1.9117689,,,,,,,,,,,,,,,
0.8968856,,,,,,,,,,,,,,,
1.0996956,,,,,,,,,,,,,,,
1.3798673,,,,,,,,,,,,,,,
1.7217355,,,,,,,,,,,,,,,
1.6062572,,,,,,,,,,,,,,,
0.8638438,,,,,,,,,,,,,,,
1.1026927,,,,,,,,,,,,,,,
1.4503706,,,,,,,,,,,,,,,
1.8713464,,,,,,,,,,,,,,,
1.692151,,,,,,,,,,,,,,,
0.82429314,,,,,,,,,,,,,,,
1.0678589,,,,,,,,,,,,,,,
,82,790,1,1081344,,,,,,,,,,,
1.4062282,,,,,0.07983005046844482,-0.0016555654973672063,0.022808837890625,14728.3759765625,0.2,12822.410502743722,0.004200494,0.0001,-5.48444830365479,320,0.9509927034378052
2.0525718,,,,,,,,,,,,,,,
0.8603848,,,,,,,,,,,,,,,
1.0926735,,,,,,,,,,,,,,,
1.391175,,,,,,,,,,,,,,,
1.7951704,,,,,,,,,,,,,,,
1.7406182,,,,,,,,,,,,,,,
1.0315244,,,,,,,,,,,,,,,
1.3892014,,,,,,,,,,,,,,,
1.4167323,,,,,,,,,,,,,,,
1.9739923,,,,,,,,,,,,,,,
1.866173,,,,,,,,,,,,,,,
0.9524448,,,,,,,,,,,,,,,
1.21574,,,,,,,,,,,,,,,
1.6652193,,,,,,,,,,,,,,,
1.5892372,,,,,,,,,,,,,,,
2.0005615,,,,,,,,,,,,,,,
0.9290987,,,,,,,,,,,,,,,
1.0078094,,,,,,,,,,,,,,,
1.2889028,,,,,,,,,,,,,,,
1.5021977,,,,,,,,,,,,,,,
1.961682,,,,,,,,,,,,,,,
0.9037105,,,,,,,,,,,,,,,
