rew_vec_envs,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/entropy_loss,train/approx_kl,train/std,train/learning_rate,train/n_updates
-65.41324,,,,,,,,,,,,,,,
-58.666008,,,,,,,,,,,,,,,
,1,32768,42,763,,,,,,,,,,,
-64.01329,,,,,0.00018459558486938477,-0.00044958686812606173,1072870.0826171874,0.2,1.8310546875e-05,517501.53125,-5.676692916452884,0.0007480907,1.0003923177719116,0.0001,10
-58.333725,,,,,,,,,,,,,,,
,2,65536,71,910,,,,,,,,,,,
-63.12121,,,,,-0.0003390312194824219,-0.0008930335134209599,1035629.1203125,0.2,0.000341796875,510100.46875,-5.677496340870857,0.0015537573,1.0004384517669678,0.0001,20
-64.06022,,,,,,,,,,,,,,,
,3,98304,100,975,,,,,,,,,,,
-51.793373,,,,,8.744001388549805e-05,-0.0003052610336453654,1135463.298046875,0.2,0.0,563071.4375,-5.678152443468571,0.00035228403,1.000779151916504,0.0001,30
-60.943142,,,,,,,,,,,,,,,
,4,131072,129,1008,,,,,,,,,,,
-58.528633,,,,,-9.417533874511719e-06,-0.0008068923925748095,935481.2837890625,0.2,0.000927734375,456938.0,-5.6791965261101724,0.0019844552,1.0009140968322754,0.0001,40
-61.985744,,,,,,,,,,,,,,,
,5,163840,159,1030,,,,,,,,,,,
-66.50101,,,,,-2.3126602172851562e-05,-0.00027945290166826454,954534.803125,0.2,0.0,475391.4375,-5.679396839439869,0.00027085916,1.0009081363677979,0.0001,50
-60.633247,,,,,,,,,,,,,,,
,6,196608,188,1043,,,,,,,,,,,
-68.533295,,,,,-1.3828277587890625e-05,-0.00047961751733964774,1102517.12421875,0.2,6.103515625e-06,538379.0625,-5.6793565392494205,0.00051128375,1.0008893013000488,0.0001,60
-51.04421,,,,,,,,,,,,,,,
,7,229376,217,1055,,,,,,,,,,,
-60.068317,,,,,-5.245208740234375e-06,-0.0002625262190122157,1040844.454296875,0.2,0.0,508302.0,-5.678777535259724,0.00027565553,1.0006122589111328,0.0001,70
-62.50106,,,,,,,,,,,,,,,
,8,262144,246,1064,,,,,,,,,,,
-60.625206,,,,,0.00016558170318603516,-0.00027814337227027863,1133293.66796875,0.2,0.0,555237.1875,-5.6788138270378115,0.0003263997,1.000952124595642,0.0001,80
-64.51685,,,,,,,,,,,,,,,
,9,294912,276,1067,,,,,,,,,,,
-73.57948,,,,,2.980232238769531e-07,-0.0004183513836323982,1039569.4435546875,0.2,0.0,507921.3125,-5.679486963152885,0.000522923,1.0009195804595947,0.0001,90
-59.170223,,,,,,,,,,,,,,,
,10,327680,305,1073,,,,,,,,,,,
-58.892212,,,,,2.980232238769531e-07,-0.00041999692693934777,1194891.53828125,0.2,0.0,594988.3125,-5.67971318513155,0.0005447983,1.0010656118392944,0.0001,100
-59.750805,,,,,,,,,,,,,,,
,11,360448,334,1077,,,,,,,,,,,
-54.84149,,,,,-9.5367431640625e-07,-0.0004557889282295946,944706.7708984375,0.2,0.0,473971.6875,-5.679901883006096,0.0006730162,1.0010098218917847,0.0001,110
-61.635826,,,,,,,,,,,,,,,
,12,393216,363,1081,,,,,,,,,,,
-58.746147,,,,,-1.811981201171875e-05,-0.00028595609255717137,826139.8287109375,0.2,0.0,403489.65625,-5.6792005628347395,0.000425733,1.000715732574463,0.0001,120
-61.727192,,,,,,,,,,,,,,,
,13,425984,392,1085,,,,,,,,,,,
-57.78855,,,,,-3.0994415283203125e-06,-0.0004783210752066225,890672.7064453125,0.2,2.13623046875e-05,443407.4375,-5.678655259311199,0.0007283441,1.000772476196289,0.0001,130
-55.702835,,,,,,,,,,,,,,,
,14,458752,421,1088,,,,,,,,,,,
