rew_vec_envs,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/loss,train/clip_range,train/approx_kl,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance
0.87028706,,,,,,,,,,,,,,,
1.2661366,,,,,,,,,,,,,,,
,765,1,42,2064384,,,,,,,,,,,
2.4267478,,,,,1309.0943603515625,0.2,0.0049015074,0.9461694955825806,6709.770531082153,0.0340087890625,630,0.0001,-5.45213742852211,-0.0021966384192637634,0.7392638325691223
1.6514838,,,,,,,,,,,,,,,
,891,2,73,2097152,,,,,,,,,,,
1.570437,,,,,4339.9892578125,0.2,0.0037928792,0.9459816813468933,12155.19749698639,0.0090057373046875,640,0.0001,-5.454740798473358,-0.001244843555105035,0.6113046407699585
1.7503107,,,,,,,,,,,,,,,
,942,3,104,2129920,,,,,,,,,,,
1.9076278,,,,,8682.7998046875,0.2,0.0038409405,0.9454856514930725,21762.34473800659,0.0199066162109375,650,0.0001,-5.453333774209023,-0.0014190073947247584,0.5457717478275299
2.349511,,,,,,,,,,,,,,,
,971,4,134,2162688,,,,,,,,,,,
3.064972,,,,,7182.87158203125,0.2,0.00361514,0.944897472858429,9565.15202331543,0.0110992431640625,660,0.0001,-5.450806145370007,-0.0014064544513530564,0.6997503936290741
2.0588536,,,,,,,,,,,,,,,
,985,5,166,2195456,,,,,,,,,,,
1.8646903,,,,,16556.470703125,0.2,0.0044580013,0.9444584250450134,23464.187896728516,0.0209625244140625,670,0.0001,-5.448897990584373,-0.001923589547368465,0.5449453294277191
1.3095422,,,,,,,,,,,,,,,
,996,6,197,2228224,,,,,,,,,,,
1.2988145,,,,,2340.246826171875,0.2,0.0045982883,0.9426153302192688,17229.084668731688,0.0166748046875,680,0.0001,-5.4443900913000105,-0.0013414756758720614,0.6116126775741577
1.9143295,,,,,,,,,,,,,,,
,1003,7,228,2260992,,,,,,,,,,,
3.2481627,,,,,5016.18115234375,0.2,0.004161476,0.9405757188796997,15250.05986289978,0.016705322265625,690,0.0001,-5.436146230995655,-0.001760920341257588,0.6844928562641144
3.8731925,,,,,,,,,,,,,,,
,1010,8,259,2293760,,,,,,,,,,,
2.2727053,,,,,4739.7607421875,0.2,0.0057271384,0.939383327960968,12851.20334663391,0.0318603515625,700,0.0001,-5.4284246325492855,-0.0028811708398279734,0.6929070949554443
1.8337523,,,,,,,,,,,,,,,
,1016,9,290,2326528,,,,,,,,,,,
