rew_vec_envs,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/clip_range,train/value_loss,train/std,train/loss
0.3815124,,,,,,,,,,,,,,,
1.7037293,,,,,,,,,,,,,,,
,627,1,52,11206656,,,,,,,,,,,
0.63334453,,,,,0.0,-0.0003001707649673335,-5.138427774608135,0.6144837439060211,0.00026833505,3420,0.0001,0.2,15895.9210647583,0.874649167060852,2043.97314453125
0.7909858,,,,,,,,,,,,,,,
,719,2,91,11239424,,,,,,,,,,,
-24.373083,,,,,0.0,-0.00023096633194654714,-5.138888019323349,0.5798810422420502,0.00017748444,3430,0.0001,0.2,21405.140074157716,0.8746933341026306,2625.356201171875
0.93292403,,,,,,,,,,,,,,,
,752,3,130,11272192,,,,,,,,,,,
-5.3910975,,,,,3.0517578125e-05,-0.0004568786072923103,-5.139313048124313,0.518655925989151,0.0006222015,3440,0.0001,0.2,20437.757608032225,0.8748580813407898,2305.302490234375
0.72914183,,,,,,,,,,,,,,,
,772,4,169,11304960,,,,,,,,,,,
1.4261637,,,,,0.0,-0.00033924890085472724,-5.140063273906708,0.6059828996658325,0.0002937203,3450,0.0001,0.2,14099.780656433106,0.8750330209732056,4405.337890625
0.69208866,,,,,,,,,,,,,,,
,780,5,209,11337728,,,,,,,,,,,
0.8136052,,,,,0.0,-0.00025490542539046145,-5.140353612601757,0.5420467853546143,0.00023008925,3460,0.0001,0.2,19131.231254577637,0.874897301197052,4074.239990234375
1.0433996,,,,,,,,,,,,,,,
,789,6,249,11370496,,,,,,,,,,,
0.5962739,,,,,0.0,-0.0002011341006436851,-5.13966528326273,0.6468270123004913,0.00014061946,3470,0.0001,0.2,18829.521152496338,0.8747353553771973,3656.669677734375
0.9801007,,,,,,,,,,,,,,,
,795,7,288,11403264,,,,,,,,,,,
1.4335244,,,,,2.74658203125e-05,-0.0004676123771787388,-5.139037866890431,0.605691134929657,0.00074709364,3480,0.0001,0.2,14912.197564697266,0.8746598958969116,2756.194580078125
1.3173774,,,,,,,,,,,,,,,
,800,8,327,11436032,,,,,,,,,,,
0.7699445,,,,,9.1552734375e-06,-0.0004098845389307826,-5.1388263002038,0.523713618516922,0.00051632454,3490,0.0001,0.2,14940.382712554932,0.8746519684791565,2332.322998046875
0.9338726,,,,,,,,,,,,,,,
,804,9,366,11468800,,,,,,,,,,,
0.5736356,,,,,9.1552734375e-06,-0.0005222757696174085,-5.138454586267471,0.5234178900718689,0.00056518626,3500,0.0001,0.2,15805.927493286134,0.8744297027587891,2158.992431640625
0.46688586,,,,,,,,,,,,,,,
,807,10,405,11501568,,,,,,,,,,,
0.7430338,,,,,0.0,-0.00017428859500796535,-5.137850528955459,0.5158968865871429,0.00011586987,3510,0.0001,0.2,19559.518479156493,0.8744534254074097,4567.15185546875
-17.204819,,,,,,,,,,,,,,,
,806,11,446,11534336,,,,,,,,,,,
1.1182797,,,,,1.220703125e-05,-0.00043892397661693394,-5.1379716217517855,0.5657933056354523,0.00068180956,3520,0.0001,0.2,19398.408502197264,0.8744791150093079,3167.838623046875
1.9849291,,,,,,,,,,,,,,,
,808,12,486,11567104,,,,,,,,,,,
0.6665127,,,,,0.0,-0.0003096102798735956,-5.138040857017041,0.5676074922084808,0.00027954683,3530,0.0001,0.2,15487.696167755126,0.8744668364524841,1994.7073974609375
1.1069107,,,,,,,,,,,,,,,
,810,13,525,11599872,,,,,,,,,,,
0.9779641,,,,,0.0,-0.00019382785285415594,-5.137770016491413,0.4635489583015442,0.0001974465,3540,0.0001,0.2,20616.74457397461,0.8743356466293335,4390.6884765625
0.4795014,,,,,,,,,,,,,,,
,811,14,565,11632640,,,,,,,,,,,
1.6531825,,,,,0.0,-0.00037393116144812666,-5.137362100183964,0.619117021560669,0.00037829415,3550,0.0001,0.2,12335.8580078125,0.874336838722229,2963.642578125
1.6906172,,,,,,,,,,,,,,,
,812,15,604,11665408,,,,,,,,,,,
-5.2026477,,,,,2.74658203125e-05,-0.0004947625202476047,-5.137597745656967,0.5140046775341034,0.00073081104,3560,0.0001,0.2,16727.58892364502,0.8744752407073975,2731.585693359375
2.2905943,,,,,,,,,,,,,,,
,814,16,643,11698176,,,,,,,,,,,
0.47468394,,,,,0.0,-0.0001675987005000934,-5.137956443428993,0.5592102110385895,0.00015066114,3570,0.0001,0.2,19139.564037322998,0.8744150400161743,1992.8455810546875
0.53305143,,,,,,,,,,,,,,,
,815,17,682,11730944,,,,,,,,,,,
0.62862396,,,,,0.0,-0.00025113694428000597,-5.137832279503345,0.514802098274231,0.00028532677,3580,0.0001,0.2,17145.37320022583,0.8744572997093201,1554.6356201171875
0.6080531,,,,,,,,,,,,,,,
,817,18,721,11763712,,,,,,,,,,,
0.71508294,,,,,3.0517578125e-06,-0.00040889057927415704,-5.138086028397083,0.5915974378585815,0.0005797484,3590,0.0001,0.2,16385.074172973633,0.8745248317718506,1959.9039306640625
0.6519328,,,,,,,,,,,,,,,
,818,19,760,11796480,,,,,,,,,,,
0.7358695,,,,,0.0,-0.0002437508519506082,-5.138115775585175,0.5228721797466278,0.00016372222,3600,0.0001,0.2,17523.07738265991,0.874456524848938,2872.673828125
0.69517684,,,,,,,,,,,,,,,
,818,20,800,11829248,,,,,,,,,,,
0.54070765,,,,,1.8310546875e-05,-0.0005545980493479874,-5.137536013126374,0.5007845163345337,0.00067304453,3610,0.0001,0.2,17410.368354797363,0.8741880655288696,1600.3929443359375
0.4709819,,,,,,,,,,,,,,,
,819,21,840,11862016,,,,,,,,,,,
