rew_vec_envs,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/std,train/value_loss,train/clip_range,train/loss,train/entropy_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl
0.24335866,,,,,,,,,,,,,,,
0.22811359,,,,,,,,,,,,,,,
,1048576,42,778,1,,,,,,,,,,,
0.20488285,,,,,0.8466378152370453,-0.004038276770006633,0.9845523238182068,0.7103583622723818,0.2,0.34967291355133057,-5.609660986065864,320,0.0001,0.0517486572265625,0.005268819
0.18142709,,,,,,,,,,,,,,,
,1081344,70,932,2,,,,,,,,,,,
0.1509401,,,,,0.769628643989563,-0.0040594836915261116,0.9840172529220581,0.657915071817115,0.2,0.17984932661056519,-5.61137247979641,330,0.0001,0.0513275146484375,0.006005875
0.16827467,,,,,,,,,,,,,,,
,1114112,98,999,3,,,,,,,,,,,
0.0576393,,,,,0.6686213612556458,-0.0026339272335462738,0.983894407749176,2.4589448099955917,0.2,0.5129048228263855,-5.611159929633141,340,0.0001,0.0452484130859375,0.005897618
0.26823074,,,,,,,,,,,,,,,
,1146880,127,1031,4,,,,,,,,,,,
0.24520528,,,,,0.04061591625213623,-0.0015130761385080405,0.9829321503639221,819.1427603054792,0.2,906.6436157226562,-5.6089281544089316,350,0.0001,0.0279296875,0.005890085
0.21253684,,,,,,,,,,,,,,,
,1179648,155,1053,5,,,,,,,,,,,
0.44070384,,,,,0.7647470384836197,-0.0030278045596787706,0.9823175668716431,2.4260712426155804,0.2,0.34718388319015503,-5.604749809205532,360,0.0001,0.0324615478515625,0.005222453
0.14874548,,,,,,,,,,,,,,,
,1212416,183,1069,6,,,,,,,,,,,
0.14477113,,,,,0.034982383251190186,-0.0013975914822367485,0.9817465543746948,881.8092627502978,0.2,318.3452453613281,-5.602659797668457,370,0.0001,0.019854736328125,0.0041923425
0.090792365,,,,,,,,,,,,,,,
,1245184,212,1081,7,,,,,,,,,,,
0.26910374,,,,,0.8114797174930573,-0.004294156176183605,0.9771963953971863,1.1183605710975826,0.2,0.28312909603118896,-5.591964925825596,380,0.0001,0.043475341796875,0.0057244515
0.26470983,,,,,,,,,,,,,,,
,1277952,241,1085,8,,,,,,,,,,,
0.22816783,,,,,0.4398650527000427,-0.0033463704832684014,0.9763991236686707,30.424956907331943,0.2,2.326566219329834,-5.580898424983024,390,0.0001,0.034161376953125,0.0036237263
0.22615734,,,,,,,,,,,,,,,
