rew_vec_envs,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/value_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_range,train/std,train/clip_fraction,train/explained_variance
0.6377642,,,,,,,,,,,,,,,
1.0315897,,,,,,,,,,,,,,,
,48,6127616,1,681,,,,,,,,,,,
1.2083101,,,,,12868.526020622254,0.0001,-5.182032404839992,0.0023403927,-0.001268116860592272,3160.485595703125,1870,0.2,0.8835315108299255,0.0044036865234375,0.7277331352233887
1.1029506,,,,,,,,,,,,,,,
,81,6160384,2,807,,,,,,,,,,,
1.0737388,,,,,7675.83182182312,0.0001,-5.178147506713867,0.00368544,-0.001808814550167881,1018.145751953125,1880,0.2,0.8829116821289062,0.0156494140625,0.7614425420761108
1.0084656,,,,,,,,,,,,,,,
,114,6193152,3,857,,,,,,,,,,,
0.7954796,,,,,12719.372424316407,0.0001,-5.1764585971832275,0.0018209573,-0.0008347609793418087,5393.48876953125,1890,0.2,0.8829065561294556,0.001953125,0.7149478793144226
0.47455332,,,,,,,,,,,,,,,
,148,6225920,4,879,,,,,,,,,,,
0.6584984,,,,,10987.701322937011,0.0001,-5.176738536357879,0.0025384917,-0.000740622283774428,9022.8369140625,1900,0.2,0.8829156160354614,0.0018829345703125,0.6939301490783691
0.6183218,,,,,,,,,,,,,,,
,181,6258688,5,900,,,,,,,,,,,
1.2141948,,,,,4840.252072143555,0.0001,-5.175592643022537,0.0041266475,-0.0016204964253120125,1192.2310791015625,1910,0.2,0.8823485374450684,0.0165985107421875,0.7805324643850327
1.0029438,,,,,,,,,,,,,,,
,216,6291456,6,907,,,,,,,,,,,
1.1327932,,,,,12183.713599014281,0.0001,-5.1735899284482,0.0018008143,-0.0007020433884463273,4136.0224609375,1920,0.2,0.882206916809082,0.0012298583984375,0.7603513449430466
0.98067605,,,,,,,,,,,,,,,
,249,6324224,7,918,,,,,,,,,,,
1.0678957,,,,,16218.721066284179,0.0001,-5.1733767375349995,0.003275536,-0.0010845979199075374,9540.5712890625,1930,0.2,0.8822138905525208,0.0040863037109375,0.6917974650859833
1.0249306,,,,,,,,,,,,,,,
,283,6356992,8,925,,,,,,,,,,,
0.5741823,,,,,22676.516713714598,0.0001,-5.173669704794884,0.0022209194,-0.000995003643038217,16595.15625,1940,0.2,0.8823235034942627,0.0034820556640625,0.712778776884079
0.9207564,,,,,,,,,,,,,,,
,316,6389760,9,931,,,,,,,,,,,
1.0157741,,,,,15360.806730651855,0.0001,-5.173090881109237,0.0033809473,-0.0010995079588610678,5882.41455078125,1950,0.2,0.8817927837371826,0.005767822265625,0.7061602175235748
1.0449262,,,,,,,,,,,,,,,
,349,6422528,10,937,,,,,,,,,,,
1.1899608,,,,,13480.141314697266,0.0001,-5.171810747683049,0.0016925634,-0.0009611132743884809,9633.0927734375,1960,0.2,0.8820085525512695,0.001458740234375,0.7709673047065735
1.1585234,,,,,,,,,,,,,,,
,383,6455296,11,940,,,,,,,,,,,
1.7194438,,,,,18136.734230041504,0.0001,-5.172917093336582,0.0016825991,-0.0006792358006350696,7084.5927734375,1970,0.2,0.882305920124054,0.0012176513671875,0.7042197585105896
0.70989406,,,,,,,,,,,,,,,
,416,6488064,12,944,,,,,,,,,,,
1.4328015,,,,,5565.361854362488,0.0001,-5.17397033572197,0.0026326617,-0.00145862284625764,950.8718872070312,1980,0.2,0.8824424743652344,0.006219482421875,0.8138867765665054
1.9982247,,,,,,,,,,,,,,,
,449,6520832,13,947,,,,,,,,,,,
1.0110097,,,,,19440.81399307251,0.0001,-5.1743117168545725,0.0015079505,-0.0007630030911968788,13534.1083984375,1990,0.2,0.8824847936630249,0.0016571044921875,0.7258679866790771
1.0812857,,,,,,,,,,,,,,,
,483,6553600,14,949,,,,,,,,,,,
1.0016818,,,,,12533.647791862488,0.0001,-5.174890115857124,0.0024490352,-0.0010731556474638637,4583.64208984375,2000,0.2,0.8826068639755249,0.002130126953125,0.6685526072978973
1.6879573,,,,,,,,,,,,,,,
,516,6586368,15,951,,,,,,,,,,,
0.71439964,,,,,16208.874102783204,0.0001,-5.1739954695105554,0.002212599,-0.0007444752620358486,5584.892578125,2010,0.2,0.8819719552993774,0.00137939453125,0.7512411922216415
0.7525155,,,,,,,,,,,,,,,
,550,6619136,16,952,,,,,,,,,,,
1.3935555,,,,,17396.855058288573,0.0001,-5.171742574870587,0.002544879,-0.001007226148067275,8985.0390625,2020,0.2,0.8816090226173401,0.0016754150390625,0.7660663425922394
0.7149912,,,,,,,,,,,,,,,
,583,6651904,17,955,,,,,,,,,,,
1.367522,,,,,10626.015532684327,0.0001,-5.170046204328537,0.002744954,-0.0008605781411461066,10364.041015625,2030,0.2,0.8813391923904419,0.004656982421875,0.7972693592309952
0.98647463,,,,,,,,,,,,,,,
,615,6684672,18,957,,,,,,,,,,,
1.4015913,,,,,15495.591094207764,0.0001,-5.169269904494286,0.0017160354,-0.0007886295497883111,4199.61083984375,2040,0.2,0.8814154863357544,0.0021697998046875,0.709980696439743
1.8270656,,,,,,,,,,,,,,,
,649,6717440,19,958,,,,,,,,,,,
1.6892457,,,,,8480.925896835328,0.0001,-5.169439071416855,0.0029425346,-0.0010544559590925928,1407.3907470703125,2050,0.2,0.8813158869743347,0.00421142578125,0.793258011341095
0.78202593,,,,,,,,,,,,,,,
,682,6750208,20,960,,,,,,,,,,,
0.64502287,,,,,12893.169324493409,0.0001,-5.168460565805435,0.0028332158,-0.0011767283041990595,4060.914794921875,2060,0.2,0.8808531761169434,0.0053314208984375,0.6342126429080963
1.0505672,,,,,,,,,,,,,,,
,715,6782976,21,961,,,,,,,,,,,
0.6930878,,,,,14206.123516082764,0.0001,-5.167592577636242,0.0022267457,-0.000719266472151503,1269.3265380859375,2070,0.2,0.8811885118484497,0.00257568359375,0.7155417203903198
0.6149367,,,,,,,,,,,,,,,
,748,6815744,22,962,,,,,,,,,,,
0.9831023,,,,,14041.001152801513,0.0001,-5.1681735292077065,0.0020147432,-0.0009195819948217832,4603.59912109375,2080,0.2,0.8808786869049072,0.001763916015625,0.7711388170719147
0.5794308,,,,,,,,,,,,,,,
,782,6848512,23,962,,,,,,,,,,,
1.3064151,,,,,17696.22070617676,0.0001,-5.1672115415334705,0.002648146,-0.001186341695211013,3507.908203125,2090,0.2,0.8808668255805969,0.0030303955078125,0.7242669761180878
0.97765684,,,,,,,,,,,,,,,
,816,6881280,24,963,,,,,,,,,,,
0.82070243,,,,,15514.193000030518,0.0001,-5.166442507505417,0.0011359387,-0.0005087983889097813,1393.959228515625,2100,0.2,0.8803874254226685,0.0003631591796875,0.7115382254123688
1.0079252,,,,,,,,,,,,,,,
,849,6914048,25,964,,,,,,,,,,,
1.1219461,,,,,12801.613672637939,0.0001,-5.164505283534527,0.0025629061,-0.0009738225067849271,5229.9140625,2110,0.2,0.8801138401031494,0.0040618896484375,0.7808712273836136
1.7577939,,,,,,,,,,,,,,,
,883,6946816,26,963,,,,,,,,,,,
1.4310719,,,,,13131.286157798768,0.0001,-5.163209576904774,0.0023310534,-0.0008963226329797181,13699.5791015625,2120,0.2,0.8797973394393921,0.003253173828125,0.7614786475896835
1.6015399,,,,,,,,,,,,,,,
,917,6979584,27,964,,,,,,,,,,,
63.773895,,,,,17094.900888061522,0.0001,-5.1615529507398605,0.0021233088,-0.0007523320260588662,6020.46484375,2130,0.2,0.8793571591377258,0.00125732421875,0.7348649799823761
1.5069923,,,,,,,,,,,,,,,
,951,7012352,28,964,,,,,,,,,,,
1.625557,,,,,13571.147414016723,0.0001,-5.159737062454224,0.0017785802,-0.000864763918434619,9357.572265625,2140,0.2,0.879065990447998,0.001361083984375,0.7326314747333527
0.60037065,,,,,,,,,,,,,,,
,985,7045120,29,964,,,,,,,,,,,
0.9488281,,,,,15999.510057067871,0.0001,-5.158479765057564,0.0003321075,-0.00038418616313720124,5269.49267578125,2150,0.2,0.8788755536079407,0.0,0.7547136694192886
1.1421895,,,,,,,,,,,,,,,
,1018,7077888,30,964,,,,,,,,,,,
1.3060246,,,,,8721.087205314636,0.0001,-5.157981199026108,0.0028504508,-0.0008493792563967872,3835.59619140625,2160,0.2,0.8788316249847412,0.004632568359375,0.7702385783195496
1.313175,,,,,,,,,,,,,,,
,1052,7110656,31,965,,,,,,,,,,,
