time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,time/fps,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_fraction,train/explained_variance,train/std,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/value_loss
3178496,3.0868502,46,1,701,,,,,,,,,,,
3211264,4.405269,79,2,824,-0.0011198333679203643,0.002636375,13509.7265625,0.00693359375,0.7699092328548431,0.9546020030975342,-5.488097828626633,970,0.2,0.0001,25518.50772781372
3244032,2.8064861,112,3,870,-0.0009521846965071745,0.002905267,23188.916015625,0.0026397705078125,0.7405857145786285,0.9542447328567505,-5.489087888598442,980,0.2,0.0001,30555.665711975096
3276800,2.9682856,147,4,890,-0.000818808236363111,0.002082525,8477.0361328125,0.0024017333984375,0.7893109023571014,0.953891396522522,-5.487625460326671,990,0.2,0.0001,20534.97211303711
3309568,2.6794624,181,5,905,-0.001440846739569679,0.0029663565,8517.56640625,0.0063629150390625,0.7676388919353485,0.9538346529006958,-5.486655224859715,1000,0.2,0.0001,20208.930922698975
3342336,4.1059895,214,6,918,-0.000645545830775518,0.0012696513,26117.36328125,0.0001800537109375,0.7035379111766815,0.953557014465332,-5.485988689959049,1010,0.2,0.0001,39651.198901367185
3375104,1.7017753,247,7,927,-0.0008112735657050507,0.0016508424,27026.916015625,0.000897216796875,0.7311834990978241,0.9542062282562256,-5.486347243189812,1020,0.2,0.0001,39104.611981201175
3407872,3.0985703,280,8,934,-0.0007356470443482977,0.0020607847,22915.11328125,0.0019378662109375,0.7385965883731842,0.9541821479797363,-5.488016900420189,1030,0.2,0.0001,29335.07099609375
3440640,2.3389986,313,9,940,-0.0006635314064624253,0.0014915211,8830.916015625,0.000396728515625,0.7648500204086304,0.9545875787734985,-5.488555280864238,1040,0.2,0.0001,33875.34890441895
3473408,4.6522264,346,10,945,-0.0005695964391634334,0.0011444048,11445.77734375,0.000103759765625,0.7573586702346802,0.9544478058815002,-5.489372178912163,1050,0.2,0.0001,29427.767251586913
3506176,5.2193947,380,11,946,-0.0006038411411282141,0.0014291775,15264.0205078125,0.0001739501953125,0.7973147630691528,0.9540302753448486,-5.488331951200962,1060,0.2,0.0001,27070.95364074707
3538944,4.1119347,417,12,942,-0.0007940769333799836,0.0018182453,14813.6171875,0.0006072998046875,0.7913713306188583,0.9536221027374268,-5.48652201294899,1070,0.2,0.0001,25946.979734802248
3571712,5.7406216,450,13,945,-0.000654154069343349,0.0011315225,15534.140625,6.103515625e-05,0.7686498314142227,0.9537055492401123,-5.48559659421444,1080,0.2,0.0001,31570.838278198244
3604480,3.8698916,483,14,948,-0.0006277611031691776,0.0009893941,2805.547119140625,0.0001708984375,0.781020775437355,0.9540055990219116,-5.4864815577864645,1090,0.2,0.0001,21813.16156158447
3637248,2.5732474,517,15,949,-0.0006069988492527045,0.0009973429,12207.111328125,6.40869140625e-05,0.7673113346099854,0.9540900588035583,-5.4872785121202465,1100,0.2,0.0001,23389.863037109375
3670016,1.5935353,551,16,951,-0.0008243466269050259,0.0016570039,8288.7421875,0.0008880615234375,0.7705463171005249,0.9536292552947998,-5.486740177869796,1110,0.2,0.0001,25486.20202178955
3702784,3.6982894,587,17,947,-0.0004763616052514408,0.0008522264,18484.30859375,4.2724609375e-05,0.7770663052797318,0.9532791376113892,-5.484868788719178,1120,0.2,0.0001,29264.365383911132
3735552,2.780201,624,18,944,-0.0005586437982856296,0.00094066875,11481.2890625,5.79833984375e-05,0.7530853599309921,0.9531165361404419,-5.483635920286178,1130,0.2,0.0001,36673.44783935547
3768320,3.0200193,660,19,942,-0.0005917897455219645,0.001097203,13678.47265625,8.544921875e-05,0.7669602185487747,0.9533230066299438,-5.483715969324112,1140,0.2,0.0001,28132.19190979004
3801088,2.3938909,695,20,942,-0.0004847353378863772,0.0007162403,12030.47265625,1.8310546875e-05,0.785244956612587,0.9536299705505371,-5.4847643852233885,1150,0.2,0.0001,29867.986114501953
3833856,4.245332,730,21,942,-0.0006962491235753987,0.0012484028,14192.1669921875,0.00015869140625,0.7917626053094864,0.9535236358642578,-5.485457514226437,1160,0.2,0.0001,27024.683352661134
3866624,4.5562673,763,22,943,-0.00048195927156484685,0.00062754325,13222.4541015625,3.0517578125e-06,0.7458628118038177,0.9533066153526306,-5.484682881832123,1170,0.2,0.0001,40947.02824707031
3899392,3.1862013,800,23,941,-0.0006527448906126665,0.0009900036,19803.212890625,0.000115966796875,0.7657928168773651,0.9534482359886169,-5.484356127679348,1180,0.2,0.0001,33640.59655761719
3932160,2.3914146,834,24,942,-0.00033142638130811974,0.0005015192,19184.447265625,6.103515625e-06,0.7611603140830994,0.9533534049987793,-5.484600308537483,1190,0.2,0.0001,41305.1151763916
3964928,2.2268457,869,25,942,-0.00035185910819564016,0.0004151352,15408.76171875,0.0,0.7574363797903061,0.9535015821456909,-5.484598059952259,1200,0.2,0.0001,35364.73526306152
3997696,5.293117,902,26,943,-0.00032567750349699054,0.00035419606,11071.419921875,0.0,0.7981742024421692,0.9533719420433044,-5.484778000414371,1210,0.2,0.0001,30499.691821289063
4030464,4.390904,936,27,944,-0.0003543454429745907,0.0003777608,24380.16015625,0.0,0.7828855067491531,0.9528921842575073,-5.483556301891804,1220,0.2,0.0001,33802.15648803711
4063232,1.7702651,970,28,945,-0.0005630126761388965,0.00072817446,16547.67578125,2.13623046875e-05,0.7914514243602753,0.9526553153991699,-5.481950855255127,1230,0.2,0.0001,34719.801098632815
4096000,3.457682,1003,29,947,-0.0003162202556268312,0.00035958982,15090.755859375,0.0,0.8078218400478363,0.9523562788963318,-5.480844292044639,1240,0.2,0.0001,25844.11022338867
4128768,2.6131103,1037,30,947,-0.0005238375131739303,0.0011484581,12880.5419921875,0.0001800537109375,0.7788994908332825,0.9519696831703186,-5.479417926073074,1250,0.2,0.0001,22386.043214416502
4161536,1.9946198,1070,31,948,-0.0010598359178402462,0.0016712558,13065.232421875,0.0006683349609375,0.7983300685882568,0.9519727826118469,-5.478464217483998,1260,0.2,0.0001,29999.372259521486
4194304,2.9325843,1104,32,949,-0.0003318682895042002,0.0003729015,10938.9853515625,0.0,0.7636595517396927,0.9521406888961792,-5.47877613902092,1270,0.2,0.0001,35810.25141601563
