time/time_elapsed,time/total_timesteps,time/fps,time/iterations,rew_vec_envs,train/n_updates,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/loss,train/explained_variance,train/std
50,65536,1299,1,0.4611983,,,,,,,,,,,
95,131072,1376,2,0.8155118,10,0.006170095,0.0001,-0.00703120165708242,129.90828368961812,0.2,-5.650673976913095,0.06466217041015625,52.33019256591797,0.010471701622009277,0.9912399053573608
138,196608,1414,3,1.0164864,20,0.006072848,0.0001,-0.005857580439624144,169.41547806859018,0.2,-5.621412493288517,0.05459136962890625,87.6510009765625,0.183508038520813,0.9828976392745972
182,262144,1435,4,0.7958822,30,0.0056263492,0.0001,-0.005787687479642045,173.04154472351075,0.2,-5.591630981490016,0.049420166015625,56.556785583496094,0.3320276141166687,0.9760187268257141
226,327680,1445,5,1.3250482,40,0.00600237,0.0001,-0.005472586450741801,332.2551880836487,0.2,-5.561748760193586,0.0518402099609375,85.12885284423828,0.422607421875,0.9684802889823914
271,393216,1449,6,2.0002365,50,0.0059889117,0.0001,-0.0059238253410512694,259.461043715477,0.2,-5.528672524169087,0.0525787353515625,94.53369903564453,0.5561316013336182,0.9607831239700317
314,458752,1460,7,2.3720746,60,0.0055924226,0.0001,-0.005575765601861349,349.5679079771042,0.2,-5.494012020900845,0.05126190185546875,108.93919372558594,0.5998347699642181,0.9522628784179688
357,524288,1464,8,1.9474571,70,0.005780762,0.0001,-0.005522883868979989,397.1545226335526,0.2,-5.453200887143612,0.05041961669921875,150.22882080078125,0.6524626314640045,0.9418933987617493
403,589824,1462,9,1.68748,80,0.0056155478,0.0001,-0.00465825251339993,376.6161962389946,0.2,-5.410729322582483,0.04294891357421875,148.38555908203125,0.725939154624939,0.9324018955230713
450,655360,1455,10,2.1801558,90,0.0049287016,0.0001,-0.004325234406223899,500.63330590724945,0.2,-5.375462130457163,0.03576202392578125,180.7849884033203,0.7377068996429443,0.9250776767730713
496,720896,1451,11,1.8764095,100,0.004996725,0.0001,-0.004422306937158282,493.0206772565842,0.2,-5.344898534193635,0.03661956787109375,103.56448364257812,0.7671008110046387,0.9184785485267639
543,786432,1447,12,2.3816419,110,0.0043346393,0.0001,-0.003547183701994072,603.9856866121293,0.2,-5.318113191053271,0.02186279296875,345.3793029785156,0.7909412384033203,0.9128658771514893
592,851968,1437,13,1.8153994,120,0.00424851,0.0001,-0.003399281303427415,531.0968192219734,0.2,-5.294408567994833,0.02478179931640625,177.23001098632812,0.8300661593675613,0.9085016250610352
641,917504,1430,14,2.2033741,130,0.003945675,0.0001,-0.002974566012744617,509.65646424293516,0.2,-5.265623639523983,0.01913299560546875,134.8419189453125,0.852794349193573,0.9001994132995605
690,983040,1423,15,1.8470279,140,0.0040338,0.0001,-0.0031527163690043382,550.05817091465,0.2,-5.235172476619482,0.0242523193359375,148.08883666992188,0.851992204785347,0.8950825929641724
742,1048576,1411,16,2.1025224,150,0.0042245453,0.0001,-0.003140737352805445,639.7613406419754,0.2,-5.213702429831028,0.02480010986328125,267.0328674316406,0.8321138620376587,0.8908340930938721
