rew_vec_envs,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/clip_fraction,train/std,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/value_loss,train/clip_range,train/entropy_loss,train/loss,train/learning_rate,train/n_updates
1.9130214,,,,,,,,,,,,,,,
45.9119,,,,,,,,,,,,,,,
1.8048652,,,,,,,,,,,,,,,
3.6377115,,,,,,,,,,,,,,,
1.5042378,,,,,,,,,,,,,,,
2.761144,,,,,,,,,,,,,,,
2.5478687,,,,,,,,,,,,,,,
2.5651474,,,,,,,,,,,,,,,
2.6395893,,,,,,,,,,,,,,,
1.7653896,,,,,,,,,,,,,,,
2.5186691,,,,,,,,,,,,,,,
1.9454969,,,,,,,,,,,,,,,
1.8773447,,,,,,,,,,,,,,,
3.3433273,,,,,,,,,,,,,,,
2.1611664,,,,,,,,,,,,,,,
2.5577116,,,,,,,,,,,,,,,
1.4675337,,,,,,,,,,,,,,,
2.2559292,,,,,,,,,,,,,,,
2.7564156,,,,,,,,,,,,,,,
2.4269478,,,,,,,,,,,,,,,
2.615287,,,,,,,,,,,,,,,
2.2961285,,,,,,,,,,,,,,,
2.6510413,,,,,,,,,,,,,,,
1.7049443,,,,,,,,,,,,,,,
2.2718165,,,,,,,,,,,,,,,
2.9309254,,,,,,,,,,,,,,,
2.6200411,,,,,,,,,,,,,,,
2.8099277,,,,,,,,,,,,,,,
2.5385096,,,,,,,,,,,,,,,
2.6580172,,,,,,,,,,,,,,,
3.0283337,,,,,,,,,,,,,,,
2.4173367,,,,,,,,,,,,,,,
,111,880,1,3211264,,,,,,,,,,,
2.3509376,,,,,0.0009368896484375,0.893810510635376,-0.0005758392688827977,0.0017364597,0.18706899881362915,130789.02063191732,0.2,-5.2229348612328375,57165.328125,0.0001,640
130.53148,,,,,,,,,,,,,,,
2.3757336,,,,,,,,,,,,,,,
2.571409,,,,,,,,,,,,,,,
2.1694174,,,,,,,,,,,,,,,
2.6095097,,,,,,,,,,,,,,,
2.1396043,,,,,,,,,,,,,,,
2.526638,,,,,,,,,,,,,,,
2.1122282,,,,,,,,,,,,,,,
2.6090322,,,,,,,,,,,,,,,
1.7018925,,,,,,,,,,,,,,,
1.7369782,,,,,,,,,,,,,,,
24.362228,,,,,,,,,,,,,,,
2.5738232,,,,,,,,,,,,,,,
2.8049567,,,,,,,,,,,,,,,
2.5495698,,,,,,,,,,,,,,,
2.8292515,,,,,,,,,,,,,,,
2.2643569,,,,,,,,,,,,,,,
2.222216,,,,,,,,,,,,,,,
2.4881713,,,,,,,,,,,,,,,
2.3853319,,,,,,,,,,,,,,,
3.304787,,,,,,,,,,,,,,,
2.5610776,,,,,,,,,,,,,,,
2.133372,,,,,,,,,,,,,,,
3.298329,,,,,,,,,,,,,,,
2.440329,,,,,,,,,,,,,,,
2.497865,,,,,,,,,,,,,,,
1.9426479,,,,,,,,,,,,,,,
2.7773855,,,,,,,,,,,,,,,
2.3542306,,,,,,,,,,,,,,,
2.4781764,,,,,,,,,,,,,,,
3.0344026,,,,,,,,,,,,,,,
,227,865,2,3309568,,,,,,,,,,,
