ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
[-1.98246444  0.68487602  0.35747229],[ 0.59333389 -0.07391408  0.8701932 ],[-0.08140527 -0.54508116 -0.18055233],[-4.8567407  -0.75552791  7.49957477],[0.25495214 0.38725364 0.53674755 0.40620832],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[ 0.04182012  0.21866272 -0.01591018],[ 0.59352185 -0.07787851  0.87194778],[ 0.46628197  0.2311464  -0.17828883],[ 9.52652212 -7.0132377  -0.64874756],11.847404789942594,0.8537617106150004
[-1.03507008  0.50903559  1.48636076],[ 0.58288931 -0.0760022   0.88094401],[-0.09286659 -0.58874383 -0.14980071],[-4.85450699 -0.75798384  7.49577221],[0.32160765 0.36111862 0.47024121 0.48713894],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.0030379  -0.21973324  0.12094973],[ 0.58245834 -0.07891688  0.88185965],[ 0.51330464  0.26400276 -0.15385307],[ 9.45884409 -7.09822206 -0.67631099],11.845331760321091,0.8449954604193164
[-1.21633218  0.77665328  2.19048344],[ 0.57206828 -0.0804975   0.89896961],[-0.10935025 -0.63067248 -0.14375368],[-4.85197227 -0.76075375  7.49193465],[0.21944525 0.19276539 0.20499732 0.27270151],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.1255683 -0.151262   0.1518962],[ 0.57249164 -0.08198958  0.89858182],[ 0.56615759  0.29410719 -0.113673  ],[ 9.3381345  -7.25135655 -0.68614221],11.842876287201081,0.8367325676190452
[-1.58311583  0.84813664  1.98910869],[ 0.5579754  -0.08386128  0.91750648],[-0.12629983 -0.67040054 -0.19045385],[-4.84931924 -0.76364498  7.4876732 ],[0.26788709 0.27025126 0.1645828  0.1927281 ],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.11899165 -0.03918372  0.10756445],[ 0.5594644  -0.08482839  0.91610721],[ 0.61308175  0.28808471 -0.12221033],[ 9.21649503 -7.39884102 -0.71187031],11.840328899815253,0.8354834548836382
[-1.63051517  0.90540604  1.46847619],[ 0.54288747 -0.08447415  0.93268733],[-0.14076511 -0.70853329 -0.24232068],[-4.84657138 -0.76663132  7.48294016],[0.17358124 0.25827339 0.16034558 0.09705593],[ 2.11885285  0.3899906   1.31485796 -0.01790684],[False False False],[False False False],[False False False],[False False False],[-0.03491007  0.00076211  0.02181127],[ 0.54493292 -0.08538426  0.93084161],[ 0.65725336  0.29081199 -0.12002698],[ 9.12442913 -7.50467693 -0.74609043],11.83773769909343,0.8337694835788674
[-1.41004482  0.99582896  1.13519074],[ 0.52970532 -0.082566    0.94549822],[-0.15263541 -0.74552412 -0.30493764],[-4.84376144 -0.76967833  7.47766593],[0.11483851 0.18032949 0.13943709 0.08470999],[ 2.11885285  0.3899906   1.31485796 -0.01790684],[False False False],[False False False],[False False False],[False False False],[ 0.25467252 -0.1373137  -0.02794393],[ 0.53040175 -0.08253952  0.94393848],[ 0.70670689  0.34820666 -0.02812937],[ 9.05630238 -7.58075759 -0.76167993],11.834891410280305,0.8252611801071005
[-1.29060517  0.96080159  1.02701321],[ 0.51776951 -0.07985789  0.95713704],[-0.16314953 -0.78130486 -0.36734787],[-4.84090397 -0.77277027  7.47182009],[0.22196637 0.23983929 0.25382779 0.2437638 ],[ 2.11885285  0.3899906   1.31485796 -0.01790684],[False False False],[False False False],[False False False],[False False False],[ 0.30948635 -0.09694141 -0.10932736],[ 0.51572241 -0.07882704  0.95632218],[0.75380684 0.40515211 0.06748487],[ 8.99765702 -7.64452991 -0.76923289],11.831668888250201,0.8159733113989225
[-1.32138637  0.9271851   1.14292023],[ 0.5059535  -0.07753794  0.96894253],[-0.17400682 -0.81582037 -0.40054091],[-4.83792732 -0.7759736   7.46557368],[0.33566881 0.32602146 0.37577643 0.37947466],[ 2.11885285  0.3899906   1.31485796 -0.01790684],[False False False],[False False False],[False False False],[False False False],[ 0.17684041 -0.0461918  -0.12059442],[ 0.50218076 -0.0760074   0.96915635],[0.78918923 0.39376905 0.04936891],[ 8.93497636 -7.71151686 -0.78039387],11.828368845563277,0.8158157543482703
[-0.90107244  0.83985232  1.42868248],[ 0.49528305 -0.07665938  0.98233117],[-0.18760543 -0.8502293  -0.33515401],[-4.83462543 -0.77947523  7.45942653],[0.6833788  0.76929532 0.80410264 0.72751244],[ 2.4186666   0.22926453  1.42615163 -0.3492704 ],[False False False],[False False False],[False False False],[False False False],[-0.02048806 -0.03213015 -0.04311462],[ 0.49104053 -0.07490856  0.98319797],[ 0.82040917  0.33752968 -0.04403285],[ 8.85447266 -7.79791213 -0.78932276],11.825064486727157,0.8175145592979428
[0.49843847 0.70600655 1.74633512],[ 0.49633622 -0.07776896  0.99801342],[-0.20594286 -0.88708777 -0.16361218],[-4.83054148 -0.78368303  7.45450222],[0.27712755 0.32199321 0.34128093 0.2856453 ],[ 2.4186666   0.22926453  1.42615163 -0.3492704 ],[False False False],[False False False],[False False False],[False False False],[-0.33542458 -0.21779676  0.00452431],[ 0.49439586 -0.07470463  0.99875935],[ 0.85725524  0.27518852 -0.1425823 ],[ 8.74867084 -7.91840943 -0.71397082],11.821599031365173,0.8127994610276845
