time/total_timesteps,rew_vec_envs,time/time_elapsed,time/fps,time/iterations,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/std,train/explained_variance,train/value_loss
1081344,-4501.625686645508,50,648,1,,,,,,,,,,,
1114112,-4504.905990600586,90,727,2,-0.011021922220243141,0.001,-4.484347442537546,0.1069366455078125,631.1197509765625,0.0107389055,330,0.2,0.7388480305671692,0.6333436369895935,10827.304973697663
1146880,-4537.9422607421875,129,757,3,-0.009138057441668934,0.001,-4.446356668323278,0.0600738525390625,2351.6923828125,0.007878374,340,0.2,0.7341665029525757,0.680958092212677,14017.418636322021
1179648,-4582.321578979492,169,771,4,-0.007562978126952657,0.001,-4.411700043827295,0.049786376953125,6202.1396484375,0.006948678,350,0.2,0.726389467716217,0.7886284589767456,31301.735278320313
1212416,-4423.806564331055,211,774,5,-0.008794832164130639,0.001,-4.3648700304329395,0.0588775634765625,8224.4267578125,0.0074242563,360,0.2,0.718591570854187,0.7764951288700104,31180.743650817873
1245184,-4406.796447753906,252,779,6,-0.007990012704613036,0.001,-4.3232228808104995,0.04254150390625,7180.7216796875,0.006288671,370,0.2,0.7111244201660156,0.8106629103422165,24833.44159851074
1277952,-4384.683242797852,294,779,7,-0.008139290570397861,0.001,-4.287775110453367,0.04783935546875,5879.4609375,0.0065926407,380,0.2,0.7052725553512573,0.8122193217277527,21205.20277709961
1310720,-4281.827194213867,337,776,8,-0.008406486746389418,0.001,-4.244388148188591,0.0518280029296875,4663.92529296875,0.007401759,390,0.2,0.6977982521057129,0.7909165471792221,17873.232359313966
1343488,-4288.166809082031,379,777,9,-0.008180508009536425,0.001,-4.203983053565025,0.04698486328125,3303.598388671875,0.0067578927,400,0.2,0.6905380487442017,0.8299619406461716,13220.476459503174
1376256,-4285.479629516602,420,778,10,-0.008815187589789275,0.001,-4.158714286983013,0.053533935546875,2556.072265625,0.007975752,410,0.2,0.6830171942710876,0.8485442996025085,11098.834000396728
1409024,-4302.932540893555,463,777,11,-0.009766848581421073,0.001,-4.121423215419054,0.0675323486328125,1729.1356201171875,0.008752106,420,0.2,0.6781843900680542,0.8648378103971481,8250.650454330444
1441792,-4210.100296020508,505,778,12,-0.00975691962739802,0.001,-4.092872171849012,0.0638458251953125,3165.98291015625,0.007896623,430,0.2,0.6730313301086426,0.8686518520116806,8428.121785736084
1474560,-4278.820266723633,548,776,13,-0.010250107694082545,0.001,-4.052098412066698,0.0642852783203125,1644.859130859375,0.00835591,440,0.2,0.6654998064041138,0.8865236043930054,7160.018631362915
1507328,-4346.299514770508,592,774,14,-0.010533439049686422,0.001,-4.004030142724514,0.07327880859375,977.992919921875,0.009224303,450,0.2,0.6576839089393616,0.9084630310535431,4378.764511299133
1540096,-4370.530334472656,638,769,15,-0.010261824501867522,0.001,-3.9745823957026003,0.0680816650390625,1146.6669921875,0.009105653,460,0.2,0.6546999216079712,0.8800407499074936,5462.347455596924
1572864,-4390.600677490234,679,771,16,-0.009117728503770194,0.001,-3.949757396429777,0.0544677734375,1127.50732421875,0.0069390493,470,0.2,0.6493567228317261,0.8736265599727631,5307.8408828735355
1605632,-4216.477691650391,720,772,17,-0.009758595910534495,0.001,-3.917467875033617,0.0612579345703125,730.0001831054688,0.007890672,480,0.2,0.6442935466766357,0.8806235566735268,4761.054708862304
1638400,-4127.223037719727,761,774,18,-0.010441498993895949,0.001,-3.8873125236481427,0.0673309326171875,747.7161254882812,0.008718149,490,0.2,0.6394043564796448,0.9142617508769035,3828.1954374313354
1671168,-4206.91242980957,803,775,19,-0.010562277694771183,0.001,-3.8471957691013814,0.0793365478515625,551.96630859375,0.0095886,500,0.2,0.6321402788162231,0.9019316956400871,4115.4568706512455
1703936,-4340.672348022461,844,775,20,-0.010140924065126455,0.001,-3.801807200908661,0.0654327392578125,658.7401123046875,0.008087741,510,0.2,0.6249522566795349,0.8988200798630714,4401.565650558472
1736704,-4102.828384399414,887,774,21,-0.010787589645042317,0.001,-3.760153362900019,0.0695068359375,3133.641845703125,0.009043531,520,0.2,0.6189515590667725,0.897303082048893,5063.989077186585
1769472,-4084.4212036132812,930,774,22,-0.011583752837759675,0.001,-3.7187110166996717,0.0815399169921875,429.9925537109375,0.009741804,530,0.2,0.6128538250923157,0.9144019037485123,3504.789238739014
1802240,-4221.896957397461,972,774,23,-0.011500080323821748,0.001,-3.691208368167281,0.0813873291015625,523.788330078125,0.00964834,540,0.2,0.609442949295044,0.9113899767398834,3550.3956203460693
1835008,-4167.932815551758,1015,774,24,-0.010138276650832268,0.001,-3.659399877488613,0.066131591796875,649.2830810546875,0.0086537395,550,0.2,0.6047150492668152,0.904347762465477,4237.2178014755245
1867776,-4081.439453125,1058,773,25,-0.010888422398420517,0.001,-3.6286792509257793,0.0795440673828125,620.1791381835938,0.009733299,560,0.2,0.5996187329292297,0.9174393638968468,3442.9206161499023
