time/fps,rew_vec_envs,time/iterations,time/time_elapsed,time/total_timesteps,train/explained_variance,train/approx_kl,train/std,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction
638,161.82717818021774,1,51,1081344,,,,,,,,,,,
708,391.7564551830292,2,92,1114112,0.8063317537307739,0.023062484,0.7430169582366943,93.21868133544922,-0.014496907801003545,330,0.001,0.2,-4.486428256332874,383.8180854320526,0.19718017578125
737,237.73320984840393,3,133,1146880,0.7748988270759583,0.019316621,0.7362141609191895,65.50030517578125,-0.014074187957885443,340,0.001,0.2,-4.452888212352991,495.25815136432647,0.1689910888671875
755,268.72776997089386,4,173,1179648,0.80425725877285,0.023000397,0.7292463779449463,79.26510620117188,-0.013986573182046413,350,0.001,0.2,-4.413116452097893,438.93290277719495,0.20089111328125
762,267.4771743416786,5,214,1212416,0.8232810795307159,0.02455139,0.7217507362365723,29.640026092529297,-0.013584456595708616,360,0.001,0.2,-4.376749764382839,374.0488375902176,0.199053955078125
765,330.593337059021,6,256,1245184,0.8262802213430405,0.023607152,0.7150646448135376,58.08156967163086,-0.01407183947703743,370,0.001,0.2,-4.341250548511743,424.83106474876405,0.2203399658203125
766,367.3090229034424,7,299,1277952,0.802937239408493,0.021710563,0.7142873406410217,68.56378173828125,-0.013923221022560028,380,0.001,0.2,-4.321123243868351,493.47204797267915,0.1978851318359375
766,362.5557767152786,8,342,1310720,0.7902948707342148,0.025248144,0.7084822058677673,64.29077911376953,-0.014415462418764947,390,0.001,0.2,-4.2923663154244425,488.2776298165321,0.2080322265625
768,493.22422325611115,9,383,1343488,0.7903844565153122,0.022597421,0.7045168876647949,73.4628677368164,-0.0149618460698548,400,0.001,0.2,-4.274077302962541,518.083663034439,0.200714111328125
771,363.4510204195976,10,424,1376256,0.7902134209871292,0.023398608,0.7012948989868164,65.51763153076172,-0.01434640777297318,410,0.001,0.2,-4.24695935100317,499.5165467381477,0.2030548095703125
