step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
0,0,[1.74645123 0.21369241 0.05520612],[-0.71546944  0.0081832  -2.48181068],[ 0.00879747  0.60260394 -0.19703701],[3.9987771  4.72193257 3.12264053],[0.17294396 0.14162923 0.13948711 0.26543082],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0.01883491 0.057548   0.01795522],[-0.72325621  0.00658231 -2.48214455],[0.37706625 0.33806339 0.32719739],[ 6.47701846  0.3827066  -0.72466146],6.528657340673271,0.8506310847176706
0,0,[1.22660072 0.50794979 0.21982929],[-0.70465497  0.0120148  -2.48306665],[ 0.01140631  0.65366466 -0.2470261 ],[4.00046075 4.71970176 3.11768826],[0.08925386 0.15383238 0.15374936 0.17560021],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.34412363 -0.17385339 -0.11548929],[-0.71045344  0.01181175 -2.4827997 ],[0.40850162 0.29141997 0.44362032],[ 6.48018322  0.36028459 -0.70341731],6.5281984838927745,0.8388427801008116
0,0,[1.25849355 0.64551245 0.3048277 ],[-0.69441004  0.01753892 -2.48456172],[ 0.01567274  0.70353914 -0.30438649],[4.002188   4.71741284 3.11213902],[0.06076945 0.14845807 0.14777501 0.11004771],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.62638749 -0.21069181 -0.22663673],[-0.69535222  0.0192735  -2.48229465],[0.43897555 0.24986998 0.55502976],[ 6.48448746  0.33206342 -0.67122808],6.527586912554388,0.8273483286029635
0,0,[1.38904895 0.6887165  0.33045678],[-0.68310455  0.02364651 -2.48606208],[ 0.02124691  0.75171308 -0.36723397],[4.00394464 4.71508396 3.10596726],[0.05360102 0.12923957 0.1282844  0.07842986],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.52097966 -0.12728306 -0.16154727],[-0.67945487  0.02660696 -2.48230848],[0.47002948 0.27413019 0.58558663],[ 6.48892414  0.30124769 -0.63566731],6.526941055790383,0.8250171079327623
1,0,[1.47618148 0.70732664 0.30897632],[-0.67101113  0.02987165 -2.48761912],[ 0.02786779  0.79805778 -0.43347848],[4.00572255 4.71272534 3.09915846],[0.08881499 0.15724434 0.10529136 0.05900462],[-1.66080296 -1.95537829  0.33891895 -0.5983032 ],[False False False],[False False False],[False False False],[False False False],[-0.22854342  0.07004492 -0.07142936],[-0.66455415  0.03291055 -2.48303725],[0.49994083 0.29115962 0.62243205],[ 6.49312338  0.27046101 -0.59874545],6.526277388720794,0.8219993711164258
1,0,[1.54071629 0.74921088 0.20958648],[-0.65834809  0.03594618 -2.48987708],[ 0.03507707  0.84252327 -0.50063954],[4.00752223 4.71033558 3.09171548],[0.10037069 0.15538127 0.09827417 0.05347493],[-1.66080296 -1.95537829  0.33891895 -0.5983032 ],[False False False],[False False False],[False False False],[False False False],[ 0.27410124  0.34452133 -0.01517483],[-0.65295064  0.03644937 -2.48521145],[0.52516444 0.25389719 0.72904285],[ 6.49697886  0.24392966 -0.55867039],6.52551519410232,0.8109660062454882
1,0,[1.56036523 0.76797213 0.10882533],[-0.64546682  0.04168946 -2.49287478],[ 0.04264357  0.8851644  -0.56954634],[4.0093428  4.70791514 3.08363837],[0.09598381 0.14232363 0.09370015 0.05092674],[-1.66080296 -1.95537829  0.33891895 -0.5983032 ],[False False False],[False False False],[False False False],[False False False],[0.45977243 0.10024279 0.06946983],[-0.64377703  0.04084936 -2.48857777],[0.54783523 0.21895198 0.83560251],[ 6.50036329  0.22273581 -0.5160168 ],6.524615506202109,0.7999196573089988
1,0,[1.56815654 0.76687409 0.0214598 ],[-0.63259066  0.04704684 -2.4964115 ],[ 0.05049719  0.92605928 -0.63905888],[4.01118311 4.70546485 3.07492669],[0.12524763 0.1696874  0.12490934 0.08225409],[-1.66080296 -1.95537829  0.33891895 -0.5983032 ],[False False False],[False False False],[False False False],[False False False],[ 0.38382308 -0.00598552  0.11073871],[-0.6343405   0.04616344 -2.49300544],[0.57284296 0.24364436 0.86472266],[ 6.50325715  0.20677574 -0.47265494],6.52368855823515,0.7979312690367134
2,0,[ 1.59210684  0.76361037 -0.07390432],[-0.61954574  0.05195539 -2.50050978],[ 0.05844322  0.96510895 -0.70796837],[4.01304922 4.70297478 3.0655972 ],[0.101222   0.14215119 0.10106536 0.05906539],[-1.97179782 -2.06524348 -0.10286923 -0.70459127],[False False False],[False False False],[False False False],[False False False],[ 0.16032025 -0.05023606  0.06779867],[-0.62329122  0.05132514 -2.49783732],[0.59580324 0.26143882 0.90288294],[ 6.50565298  0.1964187  -0.42916411],6.522751169605155,0.7948390391880105
2,0,[ 1.65096224  0.76394573 -0.18039204],[-0.6063073   0.05643986 -2.50517174],[ 0.06636876  1.00230836 -0.77115194],[4.01494678 4.70043475 3.05566803],[0.2599592  0.29483951 0.26736846 0.2327107 ],[-1.97179782 -2.06524348 -0.10286923 -0.70459127],[False False False],[False False False],[False False False],[False False False],[-0.11027505 -0.02771993  0.00880376],[-0.60939655  0.05615567 -2.50278106],[0.61111048 0.22202677 1.02304011],[ 6.50753078  0.19115573 -0.38498529],6.521710744756305,0.7821032452505321
