ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
[-1.13481016  1.50285931  0.26839038],[ 0.10114916 -0.47398938 -2.57998897],[-0.43354624 -0.10636308 -0.20159722],[-2.11108511  4.19936876  6.31808503],[0.22122459 0.13577796 0.31583651 0.24681997],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[ 0.02960279 -0.06285135 -0.02854639],[ 0.09268814 -0.47861294 -2.58252521],[-0.36400262  0.16386609  0.20437924],[-2.41577119  3.78541409 -0.92358296],4.5845736665023695,0.8630870278620957
[-1.16232652  0.97698696  0.70575604],[ 0.08862381 -0.46575851 -2.57348368],[-0.46939079 -0.10907606 -0.2489127 ],[-2.10935755  4.20132169  6.31453418],[0.10796163 0.12258365 0.23972487 0.24412859],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.42335442 -0.17984321 -0.09832787],[ 0.08271129 -0.46878864 -2.57504239],[-0.34078285  0.19164069  0.31931794],[-2.38544169  3.80700745 -0.90717056],4.583295341940824,0.8537359313136714
[-1.24191818  0.99514095  1.08058152],[ 0.07399064 -0.45831853 -2.56346711],[-0.50462419 -0.10828123 -0.30686192],[-2.10756963  4.20333335  6.31046394],[0.06997815 0.12399627 0.18825124 0.21222156],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.56268913 -0.13695923 -0.09780915],[ 0.07291649 -0.45988368 -2.56412144],[-0.31700522  0.22017439  0.43254472],[-2.34233413  3.83673073 -0.88547886],4.581605035230783,0.8437338535246616
[-1.31833067  1.09560648  1.27853875],[ 0.05780738 -0.45009189 -2.55129993],[-0.53867761 -0.10412886 -0.37229088],[-2.10573979  4.20538431  6.30582548],[0.05464548 0.12671209 0.12859189 0.15893981],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.42341462 -0.00835835 -0.0671503 ],[ 0.06050871 -0.45141345 -2.55131933],[-0.33685366  0.242308    0.45321058],[-2.2904581   3.87110178 -0.86203833],4.579818485655603,0.8420394203948101
[-1.35801381  1.09475841  1.26463564],[ 0.04118012 -0.4412828  -2.53893194],[-0.57128421 -0.09730528 -0.44182437],[-2.10388087  4.2074613   6.30058447],[0.18570904 0.1580859  0.15635581 0.08793141],[ 1.80072606 -1.91985095  1.30246329 -1.04808259],[False False False],[False False False],[False False False],[False False False],[-0.21424026 -0.02391726 -0.01277037],[ 0.04628316 -0.44252847 -2.53870471],[-0.34983719  0.26575267  0.48255313],[-2.23667319  3.90575967 -0.83680362],4.577980542701234,0.8396545554074957
[-1.37416032  0.92917874  1.05277543],[ 0.02523933 -0.43379507 -2.52844652],[-0.6031821  -0.0889687  -0.50851669],[-2.10198643  4.20956869  6.29475912],[0.1291748  0.1998989  0.08619415 0.08625945],[ 1.80072606 -1.91985095  1.30246329 -1.04808259],[False False False],[False False False],[False False False],[False False False],[0.06709838 0.10205902 0.05204434],[ 0.03038482 -0.4356568  -2.52837756],[-0.32419096  0.29116709  0.59190406],[-2.18947675  3.93643382 -0.8057824 ],4.575872045629832,0.8296334374539152
[-1.30221996  1.07167826  0.81823045],[ 0.01084492 -0.42530777 -2.52028192],[-0.63323977 -0.07990501 -0.57894386],[-2.10006225  4.21170025  6.28833381],[0.09934506 0.1771877  0.06157777 0.07145518],[ 1.80072606 -1.91985095  1.30246329 -1.04808259],[False False False],[False False False],[False False False],[False False False],[0.35808133 0.06472839 0.02908204],[ 0.01334392 -0.42798821 -2.52050593],[-0.29727588  0.31296886  0.70523025],[-2.14892296  3.96161686 -0.77680054],4.573368244478912,0.8189893649073877
[-1.24974585  1.17902628  0.65453819],[-2.25306673e-03 -4.15689506e-01 -2.51394427e+00],[-0.66116827 -0.0700646  -0.65365439],[-2.09811668  4.21384825  6.28128572],[0.06734308 0.14364048 0.05312298 0.05939084],[ 1.80072606 -1.91985095  1.30246329 -1.04808259],[False False False],[False False False],[False False False],[False False False],[ 0.37567309 -0.03075441  0.01980251],[-0.00297653 -0.41826239 -2.51434251],[-0.3115625   0.33183217  0.72652668],[-2.11362282  3.98252763 -0.75107426],4.570781146772339,0.8174162672903933
[-1.06824801  1.30359435  0.46275696],[-0.01374129 -0.40518529 -2.50921177],[-0.68692314 -0.05988682 -0.7271815 ],[-2.09615085  4.21601082  6.27361202],[0.14560102 0.29481363 0.14322047 0.05451459],[ 2.27442575 -1.75187922  0.59195381 -1.60703611],[False False False],[False False False],[False False False],[False False False],[ 0.19585786 -0.08321754 -0.00320703],[-0.01667326 -0.40716846 -2.50966295],[-0.31930233  0.34961661  0.76008412],[-2.08305898  3.99948441 -0.73001347],4.568142941709059,0.8145449776397935
[-0.62007911  1.53747294  0.05395828],[-0.01997136 -0.39267256 -2.50805283],[-0.70944528 -0.05340531 -0.79260765],[-2.09413599  4.21820731  6.26539379],[0.18772868 0.24376716 0.07886868 0.07246701],[ 2.27442575 -1.75187922  0.59195381 -1.60703611],[False False False],[False False False],[False False False],[False False False],[-0.68993948 -0.26258636 -0.00591504],[-0.01910211 -0.39274012 -2.50839147],[-0.29016525  0.36148589  0.88823575],[-2.0633277   4.00684921 -0.7271867 ],4.5651902822700565,0.8019478349775917
