step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
0,0,[ 0.21698312 -0.23649507 -0.03669531],[-0.00404969 -0.00020944  0.00209457],[-9.75710336e-05 -5.99202550e-05 -1.78066579e-01],[-1.75931116  1.87451669  1.86163062],[0.47736709 0.5009172  0.57037676 0.42256476],[0. 0. 0. 0.],[ 0.2897441  -0.19197645 -0.05414509],[-0.00642035 -0.00084484  0.00359753],[ 0.00070283 -0.00201363  0.02672231],[ 0.21704232 -0.83045219  0.63702448],[0. 0. 0.],[-0.00404969 -0.00020944  0.00209457],[ 1.34990974e-04 -6.61397891e-04  1.78065336e-01],[ 2.40044306  0.07085978 -0.65483478],2.489167845309294,0.8821933384656417
0,1,[-0.24920366  0.35304567  0.09246934],[-0.00169476  0.00273697  0.00457856],[ 0.00233594 -0.00138107 -0.1421876 ],[-1.73059601  3.13033322  2.63660769],[0.65173335 0.69472355 0.59422868 0.7139069 ],[0. 0. 0. 0.],[ 0.21698312 -0.23649507 -0.03669531],[0.00235493 0.00294641 0.00248399],[-0.00232922  0.00139309 -0.03588318],[-0.03234344 -1.25435653 -0.77719545],[0. 0. 0.],[-0.00169476  0.00273697  0.00457856],[-0.00271874  0.00115078  0.14218284],[ 2.37018145 -1.19101424 -1.42512942],3.011190614087167,0.8857786511323543
0,2,[ 0.2897441  -0.19197645 -0.05414509],[ 0.00237066  0.0006354  -0.00150296],[ 0.00060365 -0.00196385 -0.15133619],[-1.54066943  1.0471072   2.50205839],[0.63355716 0.62739935 0.68592396 0.59941371],[0. 0. 0. 0.],[-0.28231609 -0.20214827  0.63877997],[ 0.00609792 -0.00135137 -0.00064143],[ 0.00019495  0.00263769 -0.01671159],[ 0.5287882  -0.22364135 -0.66317982],[0. 0. 0.],[ 0.00237066  0.0006354  -0.00150296],[-0.00070276  0.0023217   0.15133069],[ 2.18214009  0.31307068 -1.29440092],2.556408102700831,0.8848649866590713
0,3,[ 0.26818636  0.26056252 -0.13733698],[0.00632737 0.0047061  0.00179948],[-0.00049879  0.00118864 -0.21065694],[-1.25947156  3.21636888  1.22278812],[0.32349184 0.37581408 0.08681379 0.10060282],[0. 0. 0. 0.],[-0.24920366  0.35304567  0.09246934],[ 0.00802213  0.00196913 -0.00277908],[ 0.00250784 -0.00214145  0.06849682],[-0.47792685 -0.07625447  1.41209679],[0. 0. 0.],[0.00632737 0.0047061  0.00179948],[-4.94726392e-04  1.43380853e-04  2.10660250e-01],[ 1.89835975e+00 -1.27205266e+00  1.21137642e-03],2.285145325786343,0.8789339120613747
0,4,[-0.28231609 -0.20214827  0.63877997],[-0.00372726  0.00198677 -0.00086154],[ 0.000792    0.00071317 -0.1680416 ],[-1.01263741  0.82424479  1.8380144 ],[0.49328592 0.40769736 0.70591294 0.6823871 ],[0. 0. 0. 0.],[ 0.2897441  -0.19197645 -0.05414509],[-0.00609792  0.00135137  0.00064143],[-0.00021924 -0.00273943  0.01669492],[-0.52954208  0.21993472  0.66381758],[0. 0. 0.],[-0.00372726  0.00198677 -0.00086154],[-0.00112525 -0.00134017  0.16803587],[ 1.65454656  0.53948249 -0.62570497],1.8493437717784924,0.883195501741697
0,0,[ 1.42407955 -1.26387853  0.06380559],[ 0.00573396 -0.00860938  0.00245113],[-0.00092561 -0.00069176 -0.10542446],[-1.75931124  1.87451464  1.86059502],[0.51337232 0.52244934 0.55742032 0.45650581],[0. 0. 0. 0.],[ 1.51909093 -1.58971862  0.29836937],[-0.00596283  0.00025637  0.0026553 ],[0.00405302 0.00050375 0.1864762 ],[ 0.22213425 -0.82427612  0.64437088],[0. 0. 0.],[ 0.00573396 -0.00860938  0.00245113],[0.00183489 0.00129391 0.10540688],[ 2.39488866  0.06348637 -0.67459636],2.4888958335071143,0.8894569211211224
0,1,[-0.64286069  2.16589882 -0.09736488],[-0.00713126  0.01695164  0.00403807],[ 0.000852   -0.00195944  0.106042  ],[-1.73057609  3.13032191  2.6368558 ],[0.84813246 0.90011515 0.83148549 0.89160242],[0. 0. 0. 0.],[ 1.42407955 -1.26387853  0.06380559],[-0.01286523  0.02556102  0.00158694],[ 0.00181231  0.00278282 -0.21145165],[-0.02064282 -1.25011011 -0.78565705],[0. 0. 0.],[-0.00713126  0.01695164  0.00403807],[ 0.00095354  0.00271902 -0.10602438],[ 2.39079927 -1.18219806 -1.39797843],3.0112882846905977,0.8893936473193748
0,2,[ 1.51909093 -1.58971862  0.29836937],[ 0.01169679 -0.00886574 -0.00020416],[ 0.00152322 -0.00125126  0.08107955],[-1.54066322  1.04709074  2.50211768],[0.86639062 0.83132565 0.8865111  0.79844493],[0. 0. 0. 0.],[-0.57976159 -1.34040231  3.78742607],[ 0.01983215 -0.00265493 -0.02340781],[-0.0010512   0.00122393 -0.07371401],[ 0.52216689 -0.2305444  -0.66650609],[0. 0. 0.],[ 0.01169679 -0.00886574 -0.00020416],[-0.00224223  0.00030271 -0.08107194],[ 2.17015259  0.29792624 -1.31796694],2.556434856771529,0.8918896490046733
0,3,[ 0.5997381   0.61956697 -1.27069181],[ 0.01047164  0.0091117  -0.00632805],[ 0.00095433 -0.00035997 -0.25174039],[-1.259483    3.21638845  1.22077601],[0.32968844 0.39453726 0.0621183  0.07049092],[0. 0. 0. 0.],[-0.64286069  2.16589882 -0.09736488],[ 0.0176029  -0.00783994 -0.01036612],[-0.00335216  0.00214634  0.35776384],[-0.48342222 -0.07425813  1.41258869],[0. 0. 0.],[ 0.01047164  0.0091117  -0.00632805],[-0.0032503   0.00298979  0.25170371],[ 1.90863995 -1.25647704  0.01678992],2.285152706575291,0.8748257547436676
0,4,[-0.57976159 -1.34040231  3.78742607],[-0.00813536 -0.00621082  0.02320365],[0.00112584 0.00083487 0.00737848],[-1.01262984  0.8242501   1.83761625],[0.63704149 0.57232003 0.90631725 0.87779297],[0. 0. 0. 0.],[ 1.51909093 -1.58971862  0.29836937],[-0.01983215  0.00265493  0.02340781],[ 0.00080661 -0.00269426  0.073678  ],[-0.51858383  0.22959187  0.66962507],[0. 0. 0.],[-0.00813536 -0.00621082  0.02320365],[-0.00119071 -0.00074853 -0.00737756],[ 1.66178641  0.50240057 -0.63686649],1.8491996476358699,0.8992489575286114
0,0,[ 1.83209388 -1.75055384 -0.01062063],[ 0.02113734 -0.02285214  0.00230431],[-0.00216095 -0.00171568 -0.06740963],[-1.75931503  1.87451312  1.86004371],[0.25524427 0.25641357 0.22801075 0.27535732],[0. 0. 0. 0.],[ 1.37005051 -3.15447568  0.11235851],[-0.0040613   0.00946932  0.00142743],[0.02767261 0.01851568 0.53525683],[ 0.23142229 -0.81425261  0.65735161],[0. 0. 0.],[ 0.02113734 -0.02285214  0.00230431],[0.00370465 0.00313365 0.06729136],[ 2.38504979  0.05273426 -0.70898317],2.4887548150820304,0.893253392689078
0,1,[-0.82562118  2.29448917 -0.05249579],[-0.01354957  0.03871146  0.00276525],[-0.01083644 -0.00522421  0.50413977],[-1.7305212   3.13032808  2.64019768],[0.91739532 0.85843837 0.95002171 0.8760654 ],[0. 0. 0. 0.],[ 1.83209388 -1.75055384 -0.01062063],[-0.03468691  0.06156359  0.00046093],[ 0.03079863  0.01121786 -0.57068545],[-0.00204882 -1.24503584 -0.79776065],[0. 0. 0.],[-0.01354957  0.03871146  0.00276525],[ 0.03035382  0.01201361 -0.50322554],[ 2.42205523 -1.1708586  -1.3564357 ],3.0128357434982673,0.8495716721120197
0,2,[ 1.37005051 -3.15447568  0.11235851],[ 0.02519864 -0.03232145  0.00087688],[0.0132509  0.00551833 0.46861147],[-1.54066983  1.04705041  2.50515956],[0.96860399 0.8970601  0.86636421 0.91789696],[0. 0. 0. 0.],[-0.89546081 -1.05490418  6.58867989],[ 0.04054205 -0.01437629 -0.07401174],[-0.01356039 -0.01091713 -0.17202831],[ 0.50605861 -0.24036393 -0.6765705 ],[0. 0. 0.],[ 0.02519864 -0.03232145  0.00087688],[-0.02839238 -0.01729513 -0.46765105],[ 2.13897407  0.27643677 -1.37538148],2.5579877995886164,0.8531168738635878
0,3,[ 0.91772457  0.92990103 -2.3861503 ],[ 0.01735814  0.01661228 -0.02407003],[ 0.00383518 -0.0032249  -0.29660107],[-1.25949231  3.21640539  1.2184087 ],[0.27383949 0.30352555 0.05634462 0.05799065],[0. 0. 0. 0.],[-0.82562118  2.29448917 -0.05249579],[ 0.03090771 -0.02209917 -0.02683527],[-0.02791875  0.01154106  0.80030775],[-0.49237415 -0.07283449  1.41528239],[0. 0. 0.],[ 0.01735814  0.01661228 -0.02407003],[-0.00883814  0.00827754  0.29639614],[ 1.9305191  -1.22199934  0.04189691],2.2851568254069106,0.8703356606988476
0,4,[-0.89546081 -1.05490418  6.58867989],[-0.01534341 -0.01794516  0.07488863],[ 0.00526972 -0.00106791  0.29601446],[-1.01262727  0.82427259  1.83945777],[0.7219223  0.83359856 0.75710889 0.92488095],[0. 0. 0. 0.],[ 1.37005051 -3.15447568  0.11235851],[-0.04054205  0.01437629  0.07401174],[0.01154733 0.00332457 0.17248888],[-0.49786702  0.25127756  0.67867945],[0. 0. 0.],[-0.01534341 -0.01794516  0.07488863],[-0.01048596  0.00599856 -0.29581672],[ 1.67757229  0.42058014 -0.6562745 ],1.8498196290846145,0.8703936716216722
0,0,[ 1.39645953 -1.66306549 -0.01046882],[ 0.03377027 -0.03698832  0.00179416],[-0.00553007 -0.00476059 -0.11639012],[-1.75932397  1.87450732  1.85918959],[0.16304577 0.17157256 0.11555053 0.23865931],[0. 0. 0. 0.],[-0.61876009 -2.77188063 -0.41396164],[0.00965624 0.0214369  0.00432333],[0.0802152  0.04257638 1.00629902],[ 0.24106124 -0.8057497   0.67166243],[0. 0. 0.],[ 0.03377027 -0.03698832  0.00179416],[0.0098389  0.00866813 0.1158791 ],[ 2.3748132   0.04389641 -0.74240478],2.4885396344129536,0.8883381365731748
