step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
0,0,[ 0.10687409 -0.08085503  1.03674818],[ 0.00641363 -0.00945824  0.00495195],[-0.00387992 -0.00396123 -0.1872734 ],[-1.00005039 -1.0000818   0.99027253],[0.06644127 0.07837044 0.64939182 0.70216156],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.00641363 -0.00945824  0.00495195],[0.00567056 0.00514269 0.187199  ],[ 1.00503751  0.99509831 -0.00616054],1.4143404830470303,0.8812644536267796
0,0,[-0.4814993   0.5199154   6.39856608],[ 0.00332636 -0.00655175  0.04503653],[-0.00450683 -0.0040105  -0.09407745],[-1.00007732 -1.00011125  0.98922703],[0.05672038 0.05916406 0.87070579 0.91181316],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.00332636 -0.00655175  0.04503653],[0.00529908 0.00411633 0.09403157],[1.04413776e+00 9.54080175e-01 7.58574722e-04],1.4143879289746972,0.8905729318644582
0,0,[-0.8434557   0.74687336 13.34034113],[-3.84896472e-03 -3.02456697e-05  1.42361744e-01],[-0.00626992 -0.00450786  0.07961995],[-1.00012057 -1.00015133  0.98950956],[0.05213549 0.05286205 0.92614547 0.9417619 ],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-3.84896472e-03 -3.02456697e-05  1.42361744e-01],[ 0.00684366  0.0038791  -0.07960581],[1.13190616 0.84808847 0.01372056],1.414444723156611,0.8920006445693668
0,0,[-1.35031595  0.97715321 16.3379786 ],[-0.01322744  0.00849167  0.27540585],[-0.0093982  -0.00623085  0.26631749],[-1.00017133 -1.00019133  0.99134394],[0.04953566 0.05882572 0.94983866 0.95362342],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.01322744  0.00849167  0.27540585],[ 0.0129995   0.00696127 -0.26614791],[1.23435132 0.69020137 0.02827013],1.414496490789828,0.8733443898714717
1,0,[-1.71047693  0.91469785 15.47857944],[-0.0247425   0.01853665  0.4064777 ],[-0.01395919 -0.01066863  0.47235916],[-1.00021731 -1.0002099   0.99483752],[0.04980671 0.0662752  0.94649268 0.97589445],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.0247425   0.01853665  0.4064777 ],[ 0.02579244  0.01595523 -0.47171181],[1.31385677 0.52235905 0.0424568 ],1.414525068579494,0.852731421498859
1,0,[-2.13404668  0.80182115 15.34714932],[-0.03914286  0.03019453  0.53263823],[-0.02015786 -0.0196623   0.69291099],[-1.00024814 -1.00017297  1.00012215],[0.04922834 0.07579156 1.00947031 0.97129011],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.03914286  0.03019453  0.53263823],[ 0.04825655  0.03376796 -0.69097729],[1.36895923 0.35180131 0.0550346 ],1.4145113436864754,0.8306517063870686
1,0,[-2.27993765  0.35397797 15.8376616 ],[-0.05239415  0.03903635  0.66403302],[-0.02404049 -0.03125365  0.91184715],[-1.00026092 -1.0000354   1.00727604],[0.04878974 0.09036528 0.97944575 0.98108642],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.05239415  0.03903635  0.66403302],[ 0.07375081  0.05742227 -0.90790057],[1.40325263 0.16835865 0.05641851],1.4144418115117,0.8087300732484864
1,0,[-2.24403513 -0.20151921 15.45099821],[-0.06618634  0.04690601  0.79367432],[-0.02621412 -0.04714131  1.12685356],[-1.00026734 -0.99975657  1.01622556],[0.05000673 0.104577   1.04108725 0.9375081 ],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.06618634  0.04690601  0.79367432],[ 0.10477045  0.08862118 -1.11976688],[ 1.41338441 -0.01535262  0.04919378],1.4143235872421862,0.7871856200902977
2,0,[-1.16147796 -1.60922078 15.66424495],[-0.0713646   0.0443032   0.92382731],[-0.01308846 -0.05593258  1.35418895],[-1.00029335 -0.99929187  1.02702786],[0.04697125 0.12132812 1.01645434 0.98845955],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.0713646   0.0443032   0.92382731],[ 0.1124425   0.11951037 -1.34543726],[ 1.40011998 -0.19780303  0.02096521],1.4141787501879008,0.7644593249022801
2,0,[-0.76256955 -1.96140024 15.70816016],[-0.07258682  0.03768157  1.05647774],[ 0.0095824  -0.06147069  1.57482363],[-1.00037621 -0.99862268  1.03970478],[0.04865424 0.09786202 0.9556171  0.98816461],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.07258682  0.03768157  1.05647774],[ 0.10809728  0.15247778 -1.56492986],[ 1.36208504 -0.37953419 -0.01595017],1.4140637464819785,0.7423947987355094
