aviary_steps,physics_steps,step_count,agent_id,elapsed_time,rew_closing_distance,rew_close_to_target,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,rel_vel_magnitudade,approaching,chasing,in_range,in_cone,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[is_success],info[mission_complete],info[out_of_bounds],info[timeover]
11,22,0,0,0.09166666666666666,0.04465848096403846,0.008176821274736503,0.0,-0.4417377286845972,0.0,-0.5642951276966087,0.9083521830456861,0.5313236102267996,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,22,0,1,0.09166666666666666,0.051253426268965896,0.007847785293831717,0.0,-0.4487279724218902,0.0,-0.5619525422716887,0.5856891490346465,0.40257966039563575,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,24,0,0,0.1,0.009650793797982615,0.008178972693961967,0.0,-0.43860676788093517,0.0,-1.1939068219586881,0.9130019950640188,0.6532714653528495,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,24,0,1,0.1,0.010598189188169016,0.007849961625389463,0.0,-0.445768736226251,0.0,-1.2007743104467987,0.6418554584445149,0.5126102999669082,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,26,0,0,0.10833333333333334,0.011336118827498964,0.008181501263461175,0.0,-0.4352549050255967,0.0,-1.815117290452278,0.9205953020796278,0.7554057991747674,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,26,0,1,0.10833333333333334,0.011920246515547461,0.007852410883372072,0.0,-0.4426219419939958,0.0,-1.8322290784349882,0.6942460334416714,0.6089398994313532,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,28,0,0,0.11666666666666667,0.011769695007513903,0.008184128198780716,0.0,-0.4318033920106305,0.0,-2.430280447434537,0.9286987576941756,0.775028530857898,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,28,0,1,0.11666666666666667,0.012287404936669688,0.00785493718178169,0.0,-0.43926323924842375,0.0,-2.4579086965343246,0.7435029732101168,0.6270184001408209,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,30,1,0,0.125,0.012032340507433403,0.008186815499607538,0.0,-0.42829810995558115,0.0,-3.0396574343034737,0.9365795272592424,0.8030246264015527,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,30,1,1,0.125,0.012513598871835896,0.007857511657054365,0.0,-0.435768563005128,0.0,-3.077891080475585,0.7866693087044434,0.654463805698981,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,32,1,0,0.13333333333333333,0.013242685523842113,0.00818977515940429,0.0,-0.4247906260123411,0.0,-3.6413492495989566,0.9437602803519066,0.9159087322953818,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,32,1,1,0.13333333333333333,0.01344631750496994,0.007860279906061581,0.0,-0.4322260820097908,0.0,-3.6906912605836637,0.8226030611558891,0.7669549689279959,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17,34,1,0,0.14166666666666666,0.014905204569632957,0.008193108942919759,0.0,-0.42133299940952423,0.0,-4.2345259197367655,0.9499421386353162,1.0272400093849179,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17,34,1,1,0.14166666666666666,0.014712685806040682,0.00786331110315527,0.0,-0.4285729872317658,0.0,-4.29547572760576,0.8547988335577239,0.8818068940406399,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,36,1,0,0.15,0.01530303488204865,0.008196534532398417,0.0,-0.4179963804653306,0.0,-4.821898232685026,0.954734751600174,1.0429324681163816,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,36,1,1,0.15,0.015050891991045035,0.007866414399600587,0.0,-0.424890890692185,0.0,-4.894057223822387,0.8822348190398972,0.9036052179003629,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,38,2,0,0.15833333333333333,0.015521645900760106,0.00820001198546229,0.0,-0.4149494949002462,0.0,-5.404259170049866,0.9572605074457549,1.0641137440434052,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,38,2,1,0.15833333333333333,0.015277250569512901,0.007869566874217892,0.0,-0.42124958624600795,0.0,-5.486720578490734,0.904865317619879,0.9354180919065015,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,40,2,0,0.16666666666666666,0.01663739650119922,0.008203742688059032,0.0,-0.41233565368137115,0.0,-5.9804637406126595,0.9570559447152446,1.1673083620015268,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,40,2,1,0.16666666666666666,0.01621354898722771,0.00787291531978894,0.0,-0.41770482534441056,0.0,-6.072190511681126,0.9231409381816711,1.057362728448195,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,42,2,0,0.175,0.01812801848817891,0.008207811508130798,0.0,-0.40956220855159947,0.0,-6.549522423804757,0.9581430092879437,1.2657683597368892,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,42,2,1,0.175,0.017414082748302917,0.007876514876555291,0.0,-0.41448718809598734,0.0,-6.65042896196429,0.9353094573526032,1.1654962855659816,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,44,2,0,0.18333333333333332,0.018411720970240353,0.00821194813836767,0.0,-0.4072116274614417,0.0,-7.114483280104235,0.9569419111588916,1.2629393624580274,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,44,2,1,0.18333333333333332,0.017745406968671773,0.007880186306891546,0.0,-0.41250012292249716,0.0,-7.225020127473112,0.9323851659820113,1.154301427545837,1,1,0,0,0,0,0,0,0,0,0,0,0,0
23,46,3,0,0.19166666666666668,0.018376816665828244,0.008216081086382655,0.0,-0.40633839111028935,0.0,-7.678199544242991,0.9478468991739929,1.242436721775874,1,1,0,0,0,0,0,0,0,0,0,0,0,0
23,46,3,1,0.19166666666666668,0.01794021068675633,0.007883901521968929,0.0,-0.4116235589771977,0.0,-7.79790275289123,0.9179507438798951,1.1326800199167104,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,48,3,0,0.2,0.019133625095284046,0.008220388663624924,0.0,-0.4057373640226081,0.0,-8.239495912556349,0.9378363543590773,1.301857146156826,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,48,3,1,0.2,0.01881716227928898,0.007887802109901781,0.0,-0.4098700900121426,0.0,-8.366396981029974,0.9144866395038593,1.2161599008959576,1,1,0,0,0,0,0,0,0,0,0,0,0,0
